model_name,unit_no,game,medals,BB,RB,ART,合成確率,BB確率,RB確率,ART確率
ガールズ&パンツァー 最終章,263,763,719,14,5,0,1/40.2,1/54.5,1/152.6,1/0.0
かぐや様は告らせたい,185,7133,-756,36,6,32,1/96.4,1/198.1,1/1188.8,1/222.9
かぐや様は告らせたい,186,4013,3056,30,5,16,1/78.7,1/133.8,1/802.6,1/250.8
かぐや様は告らせたい,187,4424,2301,30,7,19,1/79.0,1/147.5,1/632.0,1/232.8
キン肉マン～7人の悪魔超人編～,270,2196,-1649,4,4,0,1/274.5,1/549.0,1/549.0,1/0.0
キン肉マン～7人の悪魔超人編～,271,2770,-2684,5,5,0,1/277.0,1/554.0,1/554.0,1/0.0
キン肉マン～7人の悪魔超人編～,272,1070,-257,2,2,0,1/267.5,1/535.0,1/535.0,1/0.0
ゴジラ対エヴァンゲリオン,278,2143,-523,11,0,12,1/93.2,1/194.8,1/0.0,1/178.6
ゴジラ対エヴァンゲリオン,280,3993,3429,22,0,42,1/62.4,1/181.5,1/0.0,1/95.1
ゴジラ対エヴァンゲリオン,281,2815,230,7,0,21,1/100.5,1/402.1,1/0.0,1/134.0
スーパーブラックジャック,316,6356,2521,0,9,67,1/83.6,1/0.0,1/706.2,1/94.9
スーパーブラックジャック,317,8204,3842,0,10,86,1/85.5,1/0.0,1/820.4,1/95.4
スーパーブラックジャック,318,5497,-3848,0,4,25,1/189.6,1/0.0,1/1374.2,1/219.9
チバリヨ2,133,2785,-2225,11,7,0,1/154.7,1/253.2,1/397.9,1/0.0
チバリヨ2,135,796,-1088,1,2,0,1/265.3,1/796.0,1/398.0,1/0.0
チバリヨ2,136,2960,-4542,3,5,0,1/370.0,1/986.7,1/592.0,1/0.0
ミスタージャグラー,121,8830,521,32,30,0,1/142.4,1/275.9,1/294.3,1/0.0
ミスタージャグラー,122,3333,1565,21,5,0,1/128.2,1/158.7,1/666.6,1/0.0
ミスタージャグラー,123,2255,-1401,3,5,0,1/281.9,1/751.7,1/451.0,1/0.0
モンスターハンターライズ,305,7364,1426,0,12,57,1/106.7,1/0.0,1/613.7,1/129.2
モンスターハンターライズ,306,7738,-2458,0,21,48,1/112.1,1/0.0,1/368.5,1/161.2
モンスターハンターライズ,307,4192,-1505,0,7,24,1/135.2,1/0.0,1/598.9,1/174.7
主役は銭形4,286,1932,-1287,0,4,7,1/175.6,1/0.0,1/483.0,1/276.0
主役は銭形4,287,797,-648,0,2,4,1/132.8,1/0.0,1/398.5,1/199.2
