model_name,unit_no,2025-03-18,2025-03-19,2025-03-20,2025-03-21,2025-03-22,2025-03-23,2025-03-24,2025-03-25,2025-03-26,2025-03-27,2025-03-28,2025-03-29,2025-03-30,2025-03-31,2025-04-01,2025-04-02,2025-04-03,2025-04-04,2025-04-05,2025-04-06,2025-04-07,2025-04-08,2025-04-09,2025-04-10,2025-04-11,2025-04-12,2025-04-13,2025-04-14,2025-04-15,2025-04-16,2025-04-17
マイジャグラーV,1031,inf,868.0,533.5,239.6,348.2,451.5,200.1,371.9,624.3,405.8,685.8,inf,483.4,396.3,299.6,344.4,396.3,274.1,372.8,318.6,230.1,328.7,279.4,243.9,223.0,581.0,704.5,599.5,372.5,416.5,699.0
マイジャグラーV,1032,376.2,530.6,450.7,379.0,401.4,435.6,285.8,605.8,662.9,217.7,254.2,376.9,676.5,410.4,234.9,339.0,410.4,536.6,357.9,490.5,257.0,292.0,533.0,463.0,244.3,286.3,319.5,395.0,334.4,462.4,313.2
マイジャグラーV,1033,307.7,513.8,406.3,378.0,309.6,318.6,336.7,385.5,435.7,304.4,366.1,420.0,388.8,526.2,356.0,441.5,526.2,937.3,245.1,438.9,2274.0,638.6,383.7,412.3,457.6,435.3,387.2,423.1,456.4,360.1,300.8
マイジャグラーV,1034,311.1,686.6,280.1,440.5,283.1,253.9,871.0,318.0,334.1,inf,794.0,267.8,678.0,445.5,402.5,589.0,445.5,277.2,221.4,448.2,338.8,344.4,775.0,330.2,368.4,412.5,254.9,492.9,276.5,313.6,301.0
マイジャグラーV,1035,267.0,572.0,338.8,313.5,403.0,462.8,438.0,1627.0,318.5,385.0,741.0,329.2,297.6,363.3,375.5,400.8,363.3,409.6,264.2,370.6,522.7,945.0,290.2,272.9,351.9,1311.0,379.0,376.4,385.1,412.0,616.0
マイジャグラーV,1036,824.2,507.2,301.7,423.6,370.6,296.6,inf,549.4,450.0,287.4,342.6,603.5,608.3,318.7,288.2,328.1,318.7,256.2,336.3,406.8,364.0,339.6,inf,1475.0,399.8,385.5,1245.0,262.1,287.9,315.8,560.4
マイジャグラーV,1037,328.1,1119.0,512.8,301.7,968.5,326.9,581.5,620.5,249.5,692.0,326.7,1181.0,355.4,579.0,288.1,1195.0,579.0,291.5,329.0,246.7,368.1,1396.0,465.3,672.3,440.0,352.3,331.4,inf,263.7,614.3,328.2
マイジャグラーV,1038,315.6,317.2,1298.0,627.1,377.0,446.9,375.1,292.7,447.2,415.2,660.5,inf,298.9,463.0,343.0,481.9,463.0,361.9,395.0,277.4,354.5,261.8,263.3,452.7,631.3,351.3,503.5,374.0,355.9,385.9,287.5
マイジャグラーV,1039,515.0,400.4,320.1,264.5,514.7,711.5,845.0,299.8,230.8,423.0,297.8,411.9,inf,267.1,194.9,850.8,267.1,547.0,246.9,379.8,497.8,345.0,306.7,257.8,427.2,299.8,393.0,565.9,653.0,963.0,595.0
マイジャグラーV,1040,313.8,172.3,257.8,309.2,386.5,450.1,752.0,403.5,281.8,304.8,467.7,inf,571.8,306.6,342.8,370.5,306.6,491.2,325.4,274.0,639.7,inf,455.5,inf,2258.0,1456.0,234.8,495.2,341.8,511.4,359.6
マイジャグラーV,1041,720.0,464.2,537.8,284.5,310.0,358.2,378.5,361.0,328.4,376.8,286.2,372.5,565.6,210.2,352.5,413.4,210.2,397.1,259.3,748.7,398.2,1507.5,404.4,449.0,386.1,312.6,310.7,444.5,356.0,235.6,426.1
