model_name,unit_no,2024-05-05,2024-05-04,2024-05-03,2024-05-02,2024-05-01,2024-04-30,2024-04-29,2024-04-28,2024-04-27,2024-04-26,2024-04-25
マイジャグラーV,1037,799.5,218.5,384.7,738.6,218.5,223.7,728.8,242.9,228.7,318.0,243.0
マイジャグラーV,1038,244.2,329.3,1970.0,244.1,216.0,308.4,203.8,808.2,300.2,192.7,311.7
マイジャグラーV,1039,305.5,410.6,229.4,276.3,337.3,716.5,180.7,234.6,569.5,225.2,378.2
マイジャグラーV,1040,299.5,345.0,292.0,398.5,468.7,246.7,320.6,328.5,306.2,392.4,195.8
マイジャグラーV,1041,318.7,460.6,319.6,242.2,458.2,1101.2,284.5,271.3,440.8,250.8,307.6
マイジャグラーV,1042,428.4,370.4,386.7,319.9,475.4,535.4,417.6,298.3,333.3,249.7,388.8
マイジャグラーV,1043,555.4,494.1,279.9,511.1,338.6,260.3,198.4,216.1,294.4,305.9,386.1
マイジャグラーV,1044,378.0,590.0,260.0,317.7,309.7,190.1,510.5,492.2,222.7,248.2,328.2
マイジャグラーV,1045,218.0,209.8,909.2,446.1,323.6,234.1,205.4,343.5,588.0,218.6,232.1
マイジャグラーV,1046,403.1,498.8,359.3,299.2,467.0,409.3,358.8,350.8,484.8,178.9,347.5
マイジャグラーV,1047,300.6,210.7,209.7,437.9,348.1,605.3,405.7,216.0,371.8,567.3,346.8
マイジャグラーV,1048,231.5,276.0,438.0,322.4,377.8,249.8,279.4,406.3,425.7,336.8,331.8
マイジャグラーV,1049,367.0,376.5,454.2,508.2,334.4,318.1,371.1,421.8,377.2,522.1,220.6
マイジャグラーV,1050,424.4,308.5,274.3,258.8,428.2,308.7,301.5,289.2,412.0,365.5,356.0
マイジャグラーV,1069,362.6,313.6,193.6,339.4,800.0,346.5,409.2,479.9,458.8,281.1,252.0
マイジャグラーV,1070,273.1,296.5,985.5,405.7,224.0,356.2,511.1,350.3,455.9,313.4,535.6
マイジャグラーV,1071,367.2,303.9,235.9,513.5,808.2,429.7,267.4,222.4,658.9,326.3,295.7
マイジャグラーV,1072,269.3,569.6,385.9,700.0,286.1,252.9,279.2,224.2,180.0,693.1,387.9
マイジャグラーV,1073,501.5,307.9,414.6,360.8,336.1,468.1,194.6,290.6,335.1,216.8,188.2
マイジャグラーV,1074,547.2,365.8,341.7,229.9,429.4,399.2,408.2,213.6,640.8,252.9,267.0
マイジャグラーV,1075,319.9,221.7,405.5,319.3,804.7,329.7,178.7,358.1,314.2,389.8,296.9
マイジャグラーV,1076,268.1,722.2,367.2,357.5,254.2,341.4,581.9,288.3,297.7,242.0,659.6
マイジャグラーV,1077,223.2,287.6,414.3,404.8,602.7,235.3,329.4,347.6,404.8,325.8,274.0
マイジャグラーV,1078,365.5,449.3,437.1,260.8,405.4,437.2,440.2,412.0,241.4,217.1,429.7
マイジャグラーV,1079,287.0,325.7,225.3,301.4,318.8,504.3,188.0,293.1,420.6,200.1,181.3
マイジャグラーV,1080,389.5,228.4,296.5,693.1,343.7,271.6,292.6,251.3,354.8,548.6,346.1
マイジャグラーV,1081,486.7,721.8,358.6,352.4,291.3,299.9,305.6,387.2,2266.5,250.6,285.2
マイジャグラーV,1082,684.4,310.7,241.2,326.8,582.2,434.0,329.3,387.8,311.8,277.3,355.9
マイジャグラーV,1083,278.7,311.3,444.3,298.8,417.6,209.8,515.4,381.8,324.3,190.8,509.2
マイジャグラーV,1084,331.2,344.4,317.7,368.5,983.7,360.4,294.4,301.8,458.6,396.2,310.7
マイジャグラーV,1085,315.3,281.6,339.6,302.1,471.0,374.7,431.1,243.8,173.0,256.6,332.7
マイジャグラーV,1086,231.6,458.6,509.0,232.6,275.2,912.0,234.2,222.7,682.3,448.5,339.1
マイジャグラーV,1087,565.2,329.5,218.2,209.9,233.1,352.4,390.9,374.7,331.6,296.5,431.4
マイジャグラーV,1088,369.2,436.2,332.1,282.6,465.3,574.5,250.2,175.6,385.1,236.3,601.0
マイジャグラーV,1089,363.3,320.2,365.4,272.4,427.7,853.2,291.2,234.8,203.5,250.8,676.0
マイジャグラーV,1090,231.1,478.5,222.5,325.8,439.6,274.5,179.5,346.0,471.8,386.6,240.0
マイジャグラーV,1091,272.0,0.0,406.8,556.4,261.0,228.0,436.7,520.5,267.2,267.9,413.9
マイジャグラーV,1092,362.3,324.2,571.6,345.7,198.9,212.9,400.9,426.9,295.1,314.4,366.5
マイジャグラーV,1093,431.9,317.2,206.1,400.2,268.0,506.5,412.4,413.7,287.4,306.9,351.5
マイジャグラーV,1094,233.9,266.5,644.2,396.1,375.3,346.0,365.4,353.2,396.0,252.9,391.9
マイジャグラーV,1095,233.4,258.9,229.4,383.1,413.4,424.9,267.8,276.3,249.7,295.0,301.1
マイジャグラーV,1096,286.0,298.2,827.5,233.5,376.4,272.5,245.8,257.0,374.5,376.1,554.2
マイジャグラーV,1097,517.6,401.8,371.8,401.7,243.5,363.6,330.7,362.0,279.6,213.4,248.6
マイジャグラーV,1098,311.7,366.8,320.4,415.5,278.9,227.1,430.5,340.6,229.4,438.6,404.7
マイジャグラーV,1099,244.2,766.4,367.5,559.6,524.9,403.5,241.7,306.3,487.6,276.5,320.9
,,,,,,,,,,,,
マイジャグラーV,1001,157.9,163.0,141.7,145.3,117.7,151.1,143.7,136.8,151.0,136.0,132.6
マイジャグラーV,1002,185.4,141.9,130.4,127.4,183.1,145.4,138.1,121.9,182.8,134.6,139.2
マイジャグラーV,1003,148.6,138.8,160.4,116.6,111.8,179.8,151.1,137.8,146.3,115.3,123.9
マイジャグラーV,1004,149.1,138.4,107.4,250.9,156.2,125.3,134.8,162.1,151.9,135.6,165.8
マイジャグラーV,1005,194.0,156.7,124.4,190.2,143.4,158.6,114.8,102.6,172.3,178.1,134.1
マイジャグラーV,1006,154.8,149.6,232.3,146.1,149.6,104.6,162.1,266.1,127.8,140.7,143.1
マイジャグラーV,1007,145.2,150.3,141.0,153.3,155.7,110.9,192.8,160.4,127.4,121.2,183.4
マイジャグラーV,1008,131.1,373.8,173.9,99.6,104.8,190.2,180.2,136.0,132.4,145.4,142.6
マイジャグラーV,1009,114.7,192.4,191.8,251.7,155.6,147.2,115.5,162.9,190.8,163.0,165.1
マイジャグラーV,1010,164.5,163.5,147.6,136.4,144.7,143.2,129.8,283.8,197.4,149.3,147.4
マイジャグラーV,1011,119.3,142.8,175.9,168.9,147.4,161.2,115.4,130.5,168.7,138.8,215.7
マイジャグラーV,1012,159.2,194.8,122.6,144.5,212.4,131.0,146.1,136.0,217.4,222.6,116.3
マイジャグラーV,1013,133.3,209.3,183.9,143.0,159.8,140.2,194.6,143.4,131.8,145.1,172.5
マイジャグラーV,1014,151.0,159.6,123.8,174.9,288.1,129.1,126.1,299.4,141.6,137.1,142.2
マイジャグラーV,1015,129.5,197.9,151.2,141.9,212.7,114.0,179.7,121.2,185.3,116.4,113.7
マイジャグラーV,1016,155.0,174.2,188.4,144.6,112.1,244.3,127.6,157.3,139.9,125.5,120.3
マイジャグラーV,1017,212.4,203.8,144.0,142.7,208.4,143.7,122.9,165.3,145.4,99.7,242.7
マイジャグラーV,1018,155.4,141.1,97.4,137.7,173.3,164.6,119.6,107.1,168.4,167.4,121.1
マイジャグラーV,1019,150.6,166.2,143.2,195.1,140.0,142.8,112.4,149.0,143.4,144.3,197.7
マイジャグラーV,1020,138.5,205.5,189.5,134.9,168.5,199.5,135.0,135.9,139.1,143.2,136.8
マイジャグラーV,1021,189.3,138.3,143.8,128.5,136.1,148.5,206.8,163.7,125.5,153.6,131.5
マイジャグラーV,1022,150.9,128.6,168.2,148.8,119.7,174.3,115.7,119.9,202.2,180.0,141.6
マイジャグラーV,1023,118.8,173.6,180.4,114.9,119.4,161.2,138.7,110.9,119.5,125.2,241.5
マイジャグラーV,1024,159.0,151.7,133.9,126.1,153.2,100.9,159.9,176.3,163.8,143.4,167.1
マイジャグラーV,1025,118.3,209.0,152.2,134.8,177.5,231.9,140.4,116.3,163.8,131.8,167.9
マイジャグラーV,1026,212.2,128.6,171.9,182.7,125.9,144.1,154.8,155.1,147.9,150.3,132.0
マイジャグラーV,1027,136.5,201.8,157.0,139.7,244.7,175.7,128.7,157.5,158.5,130.5,161.6
マイジャグラーV,1028,209.0,147.2,165.1,128.7,166.3,161.6,132.2,110.8,174.1,129.9,109.3
マイジャグラーV,1029,130.2,140.5,151.4,159.8,110.5,122.6,259.9,132.6,149.1,116.7,99.4
マイジャグラーV,1030,157.7,116.6,167.4,144.9,134.1,160.2,165.7,106.9,124.8,118.1,145.0
マイジャグラーV,1031,130.3,168.6,152.3,162.6,115.0,151.0,112.9,194.1,148.0,123.8,127.0
マイジャグラーV,1032,132.3,151.5,173.0,181.3,164.7,145.3,169.6,125.2,138.2,116.9,113.5
マイジャグラーV,1033,128.6,164.8,177.5,157.8,145.6,154.1,154.4,184.1,140.8,143.8,116.8
マイジャグラーV,1034,211.0,136.3,141.7,243.5,145.3,119.4,148.4,223.5,152.1,117.5,148.7
