,,ndays_ago,ndays_ago,ndays_ago,ndays_ago,ndays_ago,ndays_ago,ndays_ago,ndays_ago,ndays_ago,ndays_ago,ndays_ago,ndays_ago,ndays_ago,ndays_ago,ndays_ago,GAME,BB,RB,TOTAL_RATE,RB_RATE
date,,2025-04-11 00:00:00,2025-04-12 00:00:00,2025-04-13 00:00:00,2025-04-14 00:00:00,2025-04-15 00:00:00,total5,total4,total3,total2,total1,rank5,rank4,rank3,rank2,rank1,2025-04-16 00:00:00,2025-04-16 00:00:00,2025-04-16 00:00:00,2025-04-16 00:00:00,2025-04-16 00:00:00
model_name,unit_no,,,,,,,,,,,,,,,,,,,,
マイジャグラーV,1048,-574.0,-312.0,-721.0,109.0,782.0,-716.0,-142.0,170.0,891.0,782.0,31,42,54,65,62,4126.0,6.0,17.0,179.4,242.7
マイジャグラーV,1049,-782.0,-782.0,-571.0,-150.0,-615.0,-2900.0,-2118.0,-1336.0,-765.0,-615.0,7,12,18,22,21,7624.0,27.0,21.0,158.8,363.0
マイジャグラーV,1050,-1006.0,-935.0,-974.0,615.0,2338.0,38.0,1044.0,1979.0,2953.0,2338.0,42,60,73,78,78,3092.0,7.0,7.0,220.9,441.7
マイジャグラーV,1069,-2515.0,-356.0,-315.0,-603.0,1932.0,-1857.0,658.0,1014.0,1329.0,1932.0,18,55,60,67,73,4708.0,18.0,8.0,181.1,588.5
マイジャグラーV,1070,-1300.0,700.0,268.0,994.0,-1488.0,-826.0,474.0,-226.0,-494.0,-1488.0,30,48,49,25,6,3368.0,14.0,11.0,134.7,306.2
マイジャグラーV,1071,1315.0,-650.0,-179.0,-138.0,-1288.0,-940.0,-2255.0,-1605.0,-1426.0,-1288.0,29,10,15,12,11,1243.0,1.0,2.0,414.3,621.5
マイジャグラーV,1072,3753.0,-309.0,-685.0,-2815.0,-1476.0,-1532.0,-5285.0,-4976.0,-4291.0,-1476.0,23,2,1,1,7,8229.0,30.0,26.0,146.9,316.5
マイジャグラーV,1073,3118.0,-632.0,-974.0,171.0,-582.0,1101.0,-2017.0,-1385.0,-411.0,-582.0,57,13,16,28,23,3710.0,15.0,6.0,176.7,618.3
マイジャグラーV,1074,315.0,-385.0,-574.0,-1100.0,1826.0,82.0,-233.0,152.0,726.0,1826.0,45,41,53,60,72,4596.0,17.0,10.0,170.2,459.6
マイジャグラーV,1075,-618.0,818.0,-403.0,-303.0,315.0,-191.0,427.0,-391.0,12.0,315.0,39,46,40,54,59,1272.0,3.0,2.0,254.4,636.0
マイジャグラーV,1076,-1218.0,-397.0,829.0,182.0,-1288.0,-1892.0,-674.0,-277.0,-1106.0,-1288.0,16,33,45,16,11,7286.0,34.0,25.0,123.5,291.4
マイジャグラーV,1077,2850.0,1029.0,1065.0,-303.0,2126.0,6767.0,3917.0,2888.0,1823.0,2126.0,81,80,78,74,75,3635.0,17.0,6.0,158.0,605.8
マイジャグラーV,1078,1088.0,-615.0,-650.0,-203.0,450.0,70.0,-1018.0,-403.0,247.0,450.0,44,28,38,57,60,6229.0,25.0,20.0,138.4,311.4
マイジャグラーV,1079,-1500.0,606.0,-650.0,-1547.0,1147.0,-1944.0,-444.0,-1050.0,-400.0,1147.0,14,37,20,29,67,2748.0,7.0,8.0,183.2,343.5
マイジャグラーV,1080,2294.0,-691.0,-312.0,-762.0,2285.0,2814.0,520.0,1211.0,1523.0,2285.0,71,51,64,71,77,3947.0,19.0,5.0,164.5,789.4
マイジャグラーV,1081,3847.0,3165.0,-850.0,-462.0,-335.0,5365.0,1518.0,-1647.0,-797.0,-335.0,80,67,13,21,27,3570.0,8.0,11.0,187.9,324.5
マイジャグラーV,1082,-1512.0,-276.0,-488.0,771.0,3071.0,1566.0,3078.0,3354.0,3842.0,3071.0,62,76,81,81,81,6222.0,30.0,16.0,135.3,388.9
マイジャグラーV,1083,-2568.0,1088.0,-865.0,2906.0,476.0,1037.0,3605.0,2517.0,3382.0,476.0,55,79,76,79,61,1318.0,4.0,2.0,219.7,659.0
マイジャグラーV,1084,-1335.0,568.0,-712.0,-1359.0,-2409.0,-5247.0,-3912.0,-4480.0,-3768.0,-2409.0,2,4,3,2,1,5051.0,15.0,18.0,153.1,280.6
マイジャグラーV,1085,1276.0,359.0,915.0,656.0,1194.0,4400.0,3124.0,2765.0,1850.0,1194.0,78,77,77,75,68,3429.0,8.0,8.0,214.3,428.6
マイジャグラーV,1086,1782.0,179.0,-374.0,597.0,-2038.0,146.0,-1636.0,-1815.0,-1441.0,-2038.0,46,18,12,10,2,6034.0,23.0,16.0,154.7,377.1
マイジャグラーV,1087,-532.0,-479.0,621.0,291.0,1065.0,966.0,1498.0,1977.0,1356.0,1065.0,54,66,72,68,66,2460.0,5.0,3.0,307.5,820.0
マイジャグラーV,1088,1041.0,-797.0,-515.0,-994.0,-994.0,-2259.0,-3300.0,-2503.0,-1988.0,-994.0,9,5,6,7,17,6245.0,22.0,22.0,141.9,283.9
マイジャグラーV,1089,-1135.0,-1582.0,-726.0,3.0,79.0,-3361.0,-2226.0,-644.0,82.0,79.0,6,11,29,55,54,3917.0,10.0,13.0,170.3,301.3
マイジャグラーV,1090,2303.0,1844.0,-285.0,-815.0,-1862.0,1185.0,-1118.0,-2962.0,-2677.0,-1862.0,59,24,5,4,3,1947.0,10.0,2.0,162.2,973.5
マイジャグラーV,1091,-1135.0,-915.0,-562.0,182.0,-1229.0,-3659.0,-2524.0,-1609.0,-1047.0,-1229.0,4,7,14,19,14,6004.0,27.0,16.0,139.6,375.2
マイジャグラーV,1092,321.0,-38.0,1738.0,-709.0,-382.0,930.0,609.0,647.0,-1091.0,-382.0,53,52,57,17,25,2101.0,7.0,4.0,191.0,525.2
マイジャグラーV,1093,-1888.0,444.0,-321.0,-50.0,-76.0,-1891.0,-3.0,-447.0,-126.0,-76.0,17,43,36,32,31,7422.0,36.0,26.0,119.7,285.5
マイジャグラーV,1094,853.0,1347.0,-1147.0,-1959.0,2726.0,1820.0,967.0,-380.0,767.0,2726.0,65,58,41,63,79,2027.0,4.0,3.0,289.6,675.7
マイジャグラーV,1095,-656.0,-403.0,-385.0,-1688.0,2976.0,-156.0,500.0,903.0,1288.0,2976.0,40,49,58,66,80,5898.0,19.0,23.0,140.4,256.4
マイジャグラーV,1096,-1253.0,-74.0,-174.0,2691.0,-1253.0,-63.0,1190.0,1264.0,1438.0,-1253.0,41,62,65,70,13,1402.0,4.0,3.0,200.3,467.3
マイジャグラーV,1097,-644.0,268.0,-1288.0,-656.0,912.0,-1408.0,-764.0,-1032.0,256.0,912.0,24,32,21,58,65,6686.0,31.0,27.0,115.3,247.6
マイジャグラーV,1098,2797.0,185.0,-809.0,197.0,38.0,2408.0,-389.0,-574.0,235.0,38.0,69,39,31,56,53,3787.0,11.0,12.0,164.7,315.6
マイジャグラーV,1099,3165.0,2765.0,-426.0,-362.0,124.0,5266.0,2101.0,-664.0,-238.0,124.0,79,71,28,30,55,5819.0,18.0,15.0,176.3,387.9
