台番号,累計スタート,BB回数,RB回数,ART回数,最大持玉,BB確率,RB確率,ART確率,合成確率,前日最終スタート
1028,1480,4,7,0,767,1/370.0,1/211.4,0.0,134.5,216
1029,1127,3,2,0,335,1/375.7,1/563.5,0.0,225.4,349
1030,2406,7,5,0,649,1/343.7,1/481.2,0.0,200.5,35
1031,539,2,0,0,254,1/269.5,1/0.0,0.0,269.5,252
1032,7147,30,19,0,1820,1/238.2,1/376.2,0.0,145.9,225
1033,2154,6,7,0,828,1/359.0,1/307.7,0.0,165.7,108
1034,4667,13,15,0,596,1/359.0,1/311.1,0.0,166.7,345
1035,5606,23,21,0,2801,1/243.7,1/267.0,0.0,127.4,284
1036,3297,14,4,0,826,1/235.5,1/824.3,0.0,183.2,449
1037,2625,8,8,0,701,1/328.1,1/328.1,0.0,164.1,590
1038,5680,25,18,0,2015,1/227.2,1/315.6,0.0,132.1,271
1039,2060,7,4,0,723,1/294.3,1/515.0,0.0,187.3,388
1040,5021,18,16,0,827,1/278.9,1/313.8,0.0,147.7,191
1041,1440,5,2,0,354,1/288.0,1/720.0,0.0,205.7,102
1042,5306,18,21,0,1420,1/294.8,1/252.7,0.0,136.1,122
1043,2082,8,6,0,1019,1/260.3,1/347.0,0.0,148.7,139
1044,3602,13,8,0,829,1/277.1,1/450.3,0.0,171.5,0
1045,718,1,1,0,245,1/718.0,1/718.0,0.0,359.0,461
1046,5214,22,22,0,2486,1/237.0,1/237.0,0.0,118.5,168
1047,4293,20,18,0,2549,1/214.7,1/238.5,0.0,113.0,118
1048,465,1,0,0,242,1/465.0,1/0.0,0.0,465.0,261
1049,3324,10,5,0,737,1/332.4,1/664.8,0.0,221.6,65
1050,4324,19,11,0,1147,1/227.6,1/393.1,0.0,144.1,255
1069,1816,5,4,0,728,1/363.2,1/454.0,0.0,201.8,68
1070,1691,11,2,0,1549,1/153.7,1/845.5,0.0,130.1,260
1071,6643,21,22,0,1050,1/316.3,1/302.0,0.0,154.5,172
1072,1670,1,7,0,266,1/1670.0,1/238.6,0.0,208.8,45
1073,2615,12,4,0,1138,1/217.9,1/653.8,0.0,163.4,218
1074,6601,20,22,0,1141,1/330.1,1/300.0,0.0,157.2,176
1075,745,3,1,0,372,1/248.3,1/745.0,0.0,186.3,318
1076,4444,19,13,0,1520,1/233.9,1/341.8,0.0,138.9,212
1077,5059,21,16,0,1784,1/240.9,1/316.2,0.0,136.7,209
1078,975,4,1,0,627,1/243.8,1/975.0,0.0,195.0,427
1079,2315,5,5,0,565,1/463.0,1/463.0,0.0,231.5,208
1080,6016,24,17,0,1873,1/250.7,1/353.9,0.0,146.7,181
1081,595,1,1,0,281,1/595.0,1/595.0,0.0,297.5,103
1082,4173,22,8,0,2020,1/189.7,1/521.6,0.0,139.1,417
1083,1284,2,3,0,321,1/642.0,1/428.0,0.0,256.8,281
1084,1002,1,0,0,254,1/1002.0,1/0.0,0.0,1002.0,619
1085,1485,5,3,0,733,1/297.0,1/495.0,0.0,185.6,86
1086,1242,2,2,0,249,1/621.0,1/621.0,0.0,310.5,219
1087,2168,5,7,0,585,1/433.6,1/309.7,0.0,180.7,371
1088,4390,18,13,0,1953,1/243.9,1/337.7,0.0,141.6,128
1089,874,3,2,0,382,1/291.3,1/437.0,0.0,174.8,181
1090,7751,29,21,0,1424,1/267.3,1/369.1,0.0,155.0,212
1091,2434,8,4,0,1027,1/304.3,1/608.5,0.0,202.8,359
1092,1445,4,1,0,397,1/361.3,1/1445.0,0.0,289.0,153
1093,595,0,1,0,112,1/0.0,1/595.0,0.0,595.0,252
1094,7780,34,24,0,3525,1/228.8,1/324.2,0.0,134.1,175
1095,255,0,0,0,16,1/0.0,1/0.0,0.0,0.0,217
1096,3839,14,9,0,1202,1/274.2,1/426.6,0.0,166.9,249
1097,1408,4,4,0,347,1/352.0,1/352.0,0.0,176.0,210
1098,2566,10,9,0,1033,1/256.6,1/285.1,0.0,135.1,120
1099,1648,6,1,0,686,1/274.7,1/1648.0,0.0,235.4,421
