,,GAME,MEDALS,MEDAL_RATE,RB_RATE,TOTAL_RATE,GAME,MEDALS,MEDAL_RATE,RB_RATE,TOTAL_RATE,GAME,MEDALS,MEDAL_RATE,RB_RATE,TOTAL_RATE,GAME,MEDALS,MEDAL_RATE,RB_RATE,TOTAL_RATE,GAME,MEDALS,MEDAL_RATE,RB_RATE,TOTAL_RATE,GAME,MEDALS,MEDAL_RATE,RB_RATE,TOTAL_RATE,GAME,MEDALS,MEDAL_RATE,RB_RATE,TOTAL_RATE
d: マイジャグラーV,795,18246,1147,1.021,325.8,144.8,8121.0,610.0,1.025,280.0,135.4,486.0,-85.0,0.942,,243.0,404.0,-517.0,0.573,,,3033.0,-390.0,0.957,337.0,168.5,5584.0,1605.0,1.096,328.5,129.9,618.0,-76.0,0.959,618.0,206.0
d: マイジャグラーV,796,17176,-2291,0.956,373.4,162.0,4835.0,-227.0,0.984,371.9,156.0,1787.0,-122.0,0.977,357.4,148.9,4231.0,477.0,1.038,384.6,145.9,4679.0,-1174.0,0.916,334.2,167.1,1197.0,-797.0,0.778,399.0,239.4,447.0,-448.0,0.666,,447.0
d: マイジャグラーV,797,18358,-3528,0.936,382.5,176.5,8672.0,151.0,1.006,346.9,152.1,3942.0,-2767.0,0.766,262.8,219.0,866.0,-390.0,0.85,866.0,288.7,1964.0,-738.0,0.875,654.7,218.2,1018.0,-424.0,0.861,509.0,254.5,1896.0,640.0,1.113,948.0,145.8
d: マイジャグラーV,798,22080,1600,1.024,424.6,149.2,2689.0,-1616.0,0.8,896.3,336.1,2814.0,297.0,1.035,469.0,148.1,3119.0,-250.0,0.973,311.9,156.0,7293.0,2721.0,1.124,405.2,121.6,5248.0,663.0,1.042,374.9,141.8,917.0,-215.0,0.922,917.0,229.2
d: マイジャグラーV,799,17092,1326,1.026,416.9,148.6,5473.0,953.0,1.058,390.9,140.3,943.0,-52.0,0.982,943.0,188.6,3275.0,547.0,1.056,545.8,148.9,4695.0,-110.0,0.992,391.2,151.5,2236.0,517.0,1.077,279.5,124.2,470.0,-529.0,0.625,,
d: マイジャグラーV,800,18602,-1232,0.978,413.4,164.6,7178.0,-1244.0,0.942,312.1,163.1,3163.0,709.0,1.075,632.6,150.6,921.0,-448.0,0.838,307.0,230.2,2171.0,-645.0,0.901,1085.5,241.2,3802.0,541.0,1.047,380.2,135.8,1367.0,-145.0,0.965,683.5,195.3
d: マイジャグラーV,801,10273,-2285,0.926,410.9,183.4,3581.0,-1453.0,0.865,397.9,223.8,541.0,250.0,1.154,,180.3,1936.0,692.0,1.119,387.2,121.0,2843.0,-634.0,0.926,355.4,177.7,1015.0,-634.0,0.792,338.3,203.0,357.0,-506.0,0.528,,
d: マイジャグラーV,802,20789,-1884,0.97,358.4,159.9,4241.0,-1453.0,0.886,302.9,184.4,878.0,-785.0,0.702,878.0,439.0,2322.0,-401.0,0.942,580.5,193.5,5126.0,1872.0,1.122,512.6,131.4,3939.0,-576.0,0.951,393.9,171.3,4283.0,-541.0,0.958,225.4,138.2
d: マイジャグラーV,803,13200,-1547,0.961,455.2,180.8,3653.0,-738.0,0.933,608.8,202.9,2668.0,-238.0,0.97,444.7,177.9,2659.0,610.0,1.076,241.7,120.9,1745.0,-448.0,0.914,581.7,218.1,1734.0,-483.0,0.907,578.0,216.8,741.0,-250.0,0.888,,370.5
d: マイジャグラーV,804,18942,-2478,0.956,315.7,161.9,5570.0,-1547.0,0.907,348.1,192.1,616.0,-320.0,0.827,,308.0,551.0,-134.0,0.919,,275.5,7028.0,872.0,1.041,281.1,132.6,1142.0,-855.0,0.75,380.7,285.5,4035.0,-494.0,0.959,252.2,149.4
d: マイジャグラーV,805,15000,1901,1.042,375.0,141.5,4386.0,-413.0,0.969,365.5,156.6,547.0,-157.0,0.904,,273.5,5476.0,2721.0,1.166,273.8,109.5,1370.0,-878.0,0.786,1370.0,342.5,2032.0,52.0,1.009,508.0,169.3,1189.0,576.0,1.161,396.3,118.9
d: マイジャグラーV,806,16351,-4174,0.915,467.2,190.1,5358.0,-2488.0,0.845,382.7,206.1,1075.0,-99.0,0.969,1075.0,179.2,482.0,-355.0,0.754,,482.0,5368.0,35.0,1.002,447.3,153.4,2967.0,-715.0,0.92,593.4,228.2,1101.0,-552.0,0.833,367.0,220.2
d: マイジャグラーV,807,16320,-1750,0.964,544.0,181.3,3650.0,-238.0,0.978,1825.0,202.8,926.0,-634.0,0.772,,463.0,3585.0,-692.0,0.936,512.1,199.2,6539.0,965.0,1.049,327.0,136.2,822.0,-517.0,0.79,,411.0,798.0,-634.0,0.735,798.0,399.0
d: マイジャグラーV,808,21563,-1494,0.977,371.8,159.7,6468.0,1337.0,1.069,380.5,137.6,1064.0,-1244.0,0.61,,,1928.0,52.0,1.009,482.0,160.7,4037.0,-994.0,0.918,576.7,201.8,5645.0,-267.0,0.984,313.6,148.6,2421.0,-378.0,0.948,201.8,134.5
e: ファンキージャグラー2,819,15299,-2044,0.955,347.7,161.0,3678.0,-797.0,0.928,408.7,175.1,645.0,-8.0,0.996,645.0,161.2,474.0,17.0,1.012,,158.0,6622.0,-1884.0,0.905,315.3,179.0,2012.0,773.0,1.128,223.6,105.9,1868.0,-145.0,0.974,467.0,169.8
e: ファンキージャグラー2,820,19465,4616,1.079,304.1,128.1,6368.0,802.0,1.042,374.6,144.7,1830.0,-215.0,0.961,228.8,140.8,678.0,273.0,1.134,,169.5,7680.0,3279.0,1.142,232.7,109.7,1531.0,564.0,1.123,765.5,127.6,1378.0,-87.0,0.979,344.5,153.1
e: ファンキージャグラー2,821,11407,40,1.001,356.5,152.1,1816.0,785.0,1.144,454.0,121.1,275.0,-157.0,0.81,,275.0,615.0,-41.0,0.978,205.0,123.0,7638.0,-616.0,0.973,332.1,159.1,607.0,-355.0,0.805,607.0,303.5,456.0,424.0,1.31,456.0,114.0
e: ファンキージャグラー2,822,11661,-1674,0.952,343.0,171.5,625.0,-297.0,0.842,,312.5,278.0,122.0,1.146,,139.0,1370.0,76.0,1.018,685.0,195.7,5830.0,-17.0,0.999,265.0,149.5,2549.0,-738.0,0.903,364.1,169.9,1009.0,-820.0,0.729,336.3,336.3
e: ファンキージャグラー2,823,9776,-1797,0.939,391.0,171.5,1726.0,-924.0,0.822,431.5,215.8,200.0,-262.0,0.563,,,346.0,-122.0,0.882,346.0,173.0,6337.0,-221.0,0.988,352.1,150.9,319.0,-53.0,0.945,,319.0,848.0,-215.0,0.915,424.0,212.0
e: ファンキージャグラー2,824,19037,3645,1.064,352.5,136.0,3677.0,-901.0,0.918,245.1,159.9,105.0,-134.0,0.575,,,1102.0,331.0,1.1,1102.0,157.4,7065.0,2674.0,1.126,307.2,119.7,1819.0,1291.0,1.237,909.5,113.7,5269.0,384.0,1.024,405.3,150.5
e: ファンキージャグラー2,825,10489,2152,1.068,317.8,134.5,1329.0,-145.0,0.964,332.2,166.1,209.0,-81.0,0.871,,209.0,1236.0,-401.0,0.892,412.0,176.6,6614.0,2907.0,1.147,300.6,120.3,413.0,-273.0,0.78,413.0,206.5,688.0,145.0,1.07,229.3,137.6
e: ファンキージャグラー2,826,28974,4727,1.054,408.1,143.4,6221.0,779.0,1.042,691.2,151.7,4774.0,471.0,1.033,477.4,159.1,4224.0,1198.0,1.095,528.0,140.8,8509.0,3326.0,1.13,303.9,121.6,3402.0,-890.0,0.913,243.0,154.6,1844.0,-157.0,0.972,922.0,204.9
f: ウルトラミラクルジャグラー,860,12455,-337,0.991,541.5,168.3,1626.0,-680.0,0.861,542.0,203.2,301.0,-134.0,0.852,,301.0,683.0,-203.0,0.901,683.0,227.7,5375.0,500.0,1.031,488.6,158.1,4470.0,180.0,1.013,558.8,159.6,,,,,
f: ウルトラミラクルジャグラー,861,15127,3104,1.068,420.2,137.5,7108.0,2860.0,1.134,473.9,124.7,1922.0,87.0,1.015,274.6,147.8,2330.0,180.0,1.026,291.2,129.4,1683.0,-87.0,0.983,1683.0,187.0,2084.0,64.0,1.01,416.8,160.3,,,,,
f: ウルトラミラクルジャグラー,862,13013,960,1.025,433.8,154.9,3030.0,355.0,1.039,336.7,131.7,3341.0,1826.0,1.182,278.4,119.3,492.0,-517.0,0.65,492.0,492.0,2780.0,-919.0,0.89,926.7,231.7,3370.0,215.0,1.021,674.0,168.5,,,,,
f: ウルトラミラクルジャグラー,863,6228,-1784,0.905,1038.0,222.4,1351.0,-436.0,0.892,1351.0,270.2,787.0,-41.0,0.983,393.5,157.4,1089.0,-517.0,0.842,1089.0,272.2,1236.0,-52.0,0.986,1236.0,176.6,1765.0,-738.0,0.861,1765.0,252.1,,,,,
f: ウルトラミラクルジャグラー,864,14758,588,1.013,328.0,139.2,3623.0,110.0,1.01,452.9,157.5,679.0,-203.0,0.9,679.0,226.3,4191.0,-151.0,0.988,279.4,144.5,5273.0,1663.0,1.105,277.5,109.9,992.0,-831.0,0.721,496.0,330.7,,,,,
f: ウルトラミラクルジャグラー,865,17556,3611,1.069,351.1,133.0,7745.0,1012.0,1.044,407.6,140.8,848.0,-203.0,0.92,848.0,212.0,2218.0,-262.0,0.961,277.2,147.9,1586.0,-169.0,0.964,528.7,176.2,5159.0,3233.0,1.209,271.5,105.3,,,,,
g: ジャグラーガールズ,816,10016,-3442,0.885,477.0,208.7,3798.0,-1221.0,0.893,379.8,189.9,436.0,-99.0,0.924,218.0,145.3,554.0,-41.0,0.975,554.0,184.7,1367.0,-517.0,0.874,683.5,227.8,2570.0,-366.0,0.953,428.3,171.3,1291.0,-1198.0,0.691,,1291.0
g: ジャグラーガールズ,817,9445,-231,0.992,449.8,160.1,774.0,-203.0,0.913,,258.0,1919.0,-227.0,0.961,383.8,174.5,1659.0,227.0,1.046,276.5,127.6,2874.0,390.0,1.045,410.6,136.9,1330.0,-645.0,0.838,665.0,266.0,889.0,227.0,1.085,889.0,148.2
g: ジャグラーガールズ,818,16340,-377,0.992,495.2,163.4,5389.0,506.0,1.031,489.9,149.7,291.0,-459.0,0.474,,,1185.0,-157.0,0.956,592.5,197.5,1172.0,-843.0,0.76,293.0,234.4,4513.0,-471.0,0.965,564.1,173.6,3790.0,1047.0,1.092,473.8,140.4
h: ハッピージャグラーVIII,849,10870,-721,0.978,543.5,175.3,3002.0,483.0,1.054,600.4,166.8,785.0,-297.0,0.874,,261.7,926.0,-843.0,0.697,463.0,308.7,2040.0,157.0,1.026,408.0,156.9,1483.0,-471.0,0.894,741.5,211.9,2634.0,250.0,1.032,439.0,146.3
h: ハッピージャグラーVIII,850,6005,-1873,0.896,428.9,193.7,1173.0,-506.0,0.856,586.5,234.6,362.0,-227.0,0.791,362.0,362.0,718.0,-494.0,0.771,239.3,239.3,988.0,17.0,1.006,494.0,164.7,1769.0,-762.0,0.856,442.2,196.6,995.0,99.0,1.033,497.5,142.1
h: ハッピージャグラーVIII,851,13909,-262,0.994,356.6,151.2,1825.0,-773.0,0.859,365.0,202.8,2475.0,17.0,1.002,353.6,145.6,2896.0,1174.0,1.135,289.6,111.4,4236.0,-471.0,0.963,353.0,162.9,1547.0,-529.0,0.886,515.7,221.0,930.0,320.0,1.115,465.0,132.9
h: ハッピージャグラーVIII,852,7468,-156,0.993,414.9,155.6,5092.0,709.0,1.046,318.2,130.6,215.0,-85.0,0.868,,215.0,287.0,-343.0,0.602,,,1067.0,203.0,1.063,1067.0,177.8,501.0,-448.0,0.702,,501.0,306.0,-192.0,0.791,306.0,306.0
h: ハッピージャグラーVIII,853,10241,-786,0.974,353.1,150.6,586.0,-762.0,0.567,,,2829.0,-448.0,0.947,314.3,148.9,840.0,-355.0,0.859,420.0,210.0,3863.0,1523.0,1.131,321.9,117.1,701.0,-517.0,0.754,350.5,233.7,1422.0,-227.0,0.947,355.5,158.0
h: ハッピージャグラーVIII,854,7302,-509,0.977,486.8,166.0,1154.0,-994.0,0.713,384.7,288.5,868.0,90.0,1.035,868.0,173.6,2786.0,831.0,1.099,398.0,126.6,1203.0,134.0,1.037,1203.0,171.9,1074.0,-436.0,0.865,537.0,214.8,217.0,-134.0,0.794,217.0,217.0
h: ハッピージャグラーVIII,855,8990,-890,0.967,359.6,160.5,907.0,-610.0,0.776,907.0,302.3,1381.0,599.0,1.145,345.2,125.5,2457.0,1058.0,1.144,351.0,122.8,1741.0,-890.0,0.83,348.2,193.4,1813.0,-750.0,0.862,259.0,181.3,691.0,-297.0,0.857,691.0,230.3
i: ゴーゴージャグラー3,809,16906,4064,1.08,319.0,123.4,5549.0,2581.0,1.155,346.8,111.0,518.0,-238.0,0.847,,259.0,553.0,215.0,1.13,138.2,92.2,6129.0,965.0,1.052,266.5,120.2,1787.0,-285.0,0.947,255.3,148.9,2370.0,826.0,1.116,790.0,148.1
i: ゴーゴージャグラー3,810,10583,-1308,0.959,378.0,162.8,2684.0,-913.0,0.887,335.5,157.9,374.0,-76.0,0.932,374.0,187.0,386.0,-180.0,0.845,,386.0,2950.0,105.0,1.012,245.8,128.3,2592.0,227.0,1.029,648.0,172.8,1597.0,-471.0,0.902,532.3,228.1
i: ゴーゴージャグラー3,811,6433,-2849,0.852,459.5,207.5,1004.0,-459.0,0.848,251.0,167.3,488.0,-285.0,0.805,488.0,244.0,1738.0,-122.0,0.977,579.3,158.0,1158.0,-483.0,0.861,386.0,193.0,846.0,-645.0,0.746,423.0,282.0,1199.0,-855.0,0.762,1199.0,399.7
i: ゴーゴージャグラー3,812,19076,2447,1.043,328.9,130.7,4916.0,2395.0,1.162,234.1,102.4,5973.0,1500.0,1.084,259.7,114.9,1192.0,29.0,1.008,1192.0,170.3,2826.0,-250.0,0.971,471.0,157.0,2802.0,-29.0,0.997,560.4,164.8,1367.0,-1198.0,0.708,683.5,341.8
i: ゴーゴージャグラー3,813,10984,390,1.012,392.3,148.4,2852.0,134.0,1.016,356.5,142.6,484.0,-250.0,0.828,484.0,242.0,924.0,-355.0,0.872,308.0,154.0,5001.0,1791.0,1.119,357.2,125.0,779.0,-901.0,0.614,779.0,779.0,944.0,-29.0,0.99,944.0,188.8
i: ゴーゴージャグラー3,814,8290,-3692,0.852,394.8,212.6,1531.0,-669.0,0.854,765.5,255.2,291.0,-122.0,0.86,291.0,145.5,1748.0,-785.0,0.85,249.7,194.2,598.0,-285.0,0.841,598.0,199.3,1493.0,-657.0,0.853,497.7,248.8,2629.0,-1174.0,0.851,375.6,202.2
i: ゴーゴージャグラー3,815,11900,-231,0.994,476.0,165.3,1846.0,-459.0,0.917,,263.7,596.0,169.0,1.095,596.0,119.2,1096.0,169.0,1.051,1096.0,156.6,5004.0,-41.0,0.997,312.8,151.6,2159.0,169.0,1.026,308.4,143.9,1199.0,-238.0,0.934,,239.8
i: ゴーゴージャグラー3,827,23307,1018,1.015,342.8,141.3,7464.0,686.0,1.031,355.4,138.2,782.0,-366.0,0.844,391.0,195.5,4604.0,1128.0,1.082,328.9,124.4,3238.0,-64.0,0.993,269.8,140.8,6093.0,-267.0,0.985,358.4,148.6,1126.0,-99.0,0.971,563.0,187.7
i: ゴーゴージャグラー3,828,9609,1817,1.063,369.6,133.5,6353.0,3000.0,1.157,334.4,113.4,87.0,-91.0,0.651,,,144.0,-203.0,0.53,,,695.0,-424.0,0.797,347.5,231.7,1298.0,-529.0,0.864,324.5,185.4,1032.0,64.0,1.021,1032.0,172.0
i: ゴーゴージャグラー3,829,17330,-3622,0.93,333.3,162.0,3077.0,-576.0,0.938,279.7,146.5,6172.0,-1151.0,0.938,440.9,171.4,1478.0,547.0,1.123,369.5,113.7,5748.0,-1872.0,0.891,261.3,164.2,558.0,-343.0,0.795,,558.0,297.0,-227.0,0.745,297.0,297.0
i: ゴーゴージャグラー3,830,9024,-454,0.983,361.0,147.9,4733.0,436.0,1.031,430.3,139.2,125.0,-180.0,0.52,,,313.0,-41.0,0.956,313.0,156.5,1011.0,-87.0,0.971,1011.0,168.5,2557.0,-297.0,0.961,232.5,142.1,285.0,-285.0,0.667,285.0,285.0
i: ゴーゴージャグラー3,831,15030,-325,0.993,326.7,144.5,4664.0,-494.0,0.965,259.1,137.2,268.0,-413.0,0.486,,,221.0,-308.0,0.535,,,4710.0,-174.0,0.988,294.4,138.5,2231.0,122.0,1.018,446.2,139.4,2936.0,942.0,1.107,419.4,146.8
i: ゴーゴージャグラー3,832,8012,-992,0.959,308.2,148.4,2814.0,0.0,1.0,201.0,122.3,41.0,-63.0,0.488,,,620.0,-52.0,0.972,620.0,155.0,2511.0,-424.0,0.944,358.7,156.9,386.0,-401.0,0.654,386.0,386.0,1640.0,-52.0,0.989,546.7,164.0
i: ゴーゴージャグラー3,833,5421,-1159,0.929,492.8,180.7,1684.0,-41.0,0.992,336.8,153.1,767.0,145.0,1.063,767.0,153.4,136.0,-169.0,0.586,,,1081.0,-1128.0,0.652,1081.0,540.5,1399.0,424.0,1.101,466.3,127.2,354.0,-390.0,0.633,354.0,354.0
i: ゴーゴージャグラー3,834,9892,488,1.016,282.6,135.5,6921.0,1453.0,1.07,209.7,113.5,729.0,-517.0,0.764,729.0,364.5,383.0,-76.0,0.934,,383.0,610.0,-320.0,0.825,,305.0,835.0,0.0,1.0,835.0,167.0,414.0,-52.0,0.958,,207.0
i: ゴーゴージャグラー3,835,16004,-1313,0.973,313.8,148.2,5213.0,-453.0,0.971,306.6,148.9,1422.0,-413.0,0.903,474.0,177.8,181.0,-238.0,0.562,,,4946.0,1384.0,1.093,290.9,117.8,1862.0,-669.0,0.88,266.0,169.3,2380.0,-924.0,0.871,340.0,198.3
i: ゴーゴージャグラー3,836,16929,1088,1.021,273.0,131.2,1896.0,436.0,1.077,632.0,145.8,5045.0,76.0,1.005,252.2,129.4,693.0,-366.0,0.824,346.5,231.0,7591.0,1686.0,1.074,253.0,118.6,490.0,-552.0,0.624,490.0,490.0,1214.0,-192.0,0.947,202.3,134.9
