,,7RANK,5RANK,3RANK,1RANK,7ROLLING,5ROLLING,3ROLLING,MEDALS,RATE_MEDAL,GAME,RB_RATE,TOTAL_RATE,GRAPE_RATE
date,,2025-06-07 00:00:00,2025-06-07 00:00:00,2025-06-07 00:00:00,2025-06-07 00:00:00,2025-06-07 00:00:00,2025-06-07 00:00:00,2025-06-07 00:00:00,2025-06-07 00:00:00,2025-06-07 00:00:00,2025-06-07 00:00:00,2025-06-07 00:00:00,2025-06-07 00:00:00,2025-06-07 00:00:00
model_name,unit_no,,,,,,,,,,,,,
マイジャグラーV,1081,28,40,5,11,819.0,878.0,-2633.0,-1112,0.901,3743,467.9,187.2,6.25
マイジャグラーV,1082,34,23,25,52,1420.0,-398.0,-418.0,1076,1.049,7261,268.9,129.7,5.78
マイジャグラーV,1083,12,2,3,11,-1756.0,-3914.0,-3238.0,-1112,0.955,8244,317.1,158.5,5.9
マイジャグラーV,1084,18,25,42,54,-705.0,-278.0,940.0,1276,1.055,7697,285.1,128.3,5.91
 , ,,,,,,,,,,,,,
マイジャグラーV,1085,9,17,4,10,-1859.0,-850.0,-2738.0,-1276,0.924,5569,397.8,179.6,5.94
マイジャグラーV,1086,57,61,40,61,4247.0,4765.0,806.0,2991,1.134,7419,337.2,121.6,5.67
マイジャグラーV,1087,31,55,59,47,1118.0,2624.0,4421.0,838,1.036,7760,431.1,146.4,5.91
マイジャグラーV,1088,25,28,32,17,292.0,-123.0,80.0,-603,0.833,1205,1205.0,301.2,5.83
マイジャグラーV,1089,56,58,61,36,3813.0,4201.0,5624.0,253,1.012,7080,393.3,147.5,6.03
マイジャグラーV,1090,55,38,30,15,3578.0,666.0,2.0,-921,0.88,2549,424.8,212.4,5.72
マイジャグラーV,1091,30,48,44,56,1094.0,1606.0,1203.0,1465,1.087,5616,401.1,130.6,5.99
マイジャグラーV,1092,41,26,21,22,1679.0,-147.0,-968.0,-403,0.975,5359,446.6,162.4,6.06
 , ,,,,,,,,,,,,,
マイジャグラーV,1093,11,22,35,40,-1796.0,-502.0,315.0,421,1.019,7216,313.7,138.8,5.97
マイジャグラーV,1094,53,59,60,43,3474.0,4392.0,4909.0,500,1.031,5410,491.8,150.3,5.97
マイジャグラーV,1095,39,45,49,31,1621.0,1398.0,2015.0,-103,0.991,3809,476.1,173.1,5.55
マイジャグラーV,1096,45,30,19,30,2126.0,29.0,-1045.0,-174,0.981,3016,232.0,131.1,6.22
マイジャグラーV,1097,49,47,50,55,3076.0,1470.0,2182.0,1406,1.057,8234,294.1,128.7,5.94
マイジャグラーV,1098,23,46,47,37,61.0,1440.0,1546.0,276,1.049,1890,270.0,135.0,5.5
マイジャグラーV,1099,4,10,8,26,-3870.0,-2488.0,-2397.0,-265,0.988,7256,302.3,154.4,5.57
 , ,,,,,,,,,,,,,
 , ,,,,,,,,,,,,,
ファンキージャグラー2,1051,2,3,3,13,-2512.0,-1771.0,-1265.0,1100,1.065,5673,515.7,141.8,6.01
ファンキージャグラー2,1052,9,13,5,5,-606.0,1520.0,-580.0,-274,0.957,2100,525.0,161.5,6.62
ファンキージャグラー2,1053,8,15,16,9,-700.0,1906.0,2671.0,297,1.023,4234,264.6,128.3,6.18
ファンキージャグラー2,1054,7,11,12,7,-806.0,873.0,1656.0,-32,0.997,3527,293.9,147.0,5.72
ファンキージャグラー2,1055,3,2,2,3,-2225.0,-2242.0,-1318.0,-441,0.963,4027,402.7,175.1,5.6
 , ,,,,,,,,,,,,,
ファンキージャグラー2,1056,11,9,9,12,51.0,-276.0,183.0,759,1.043,5839,449.2,149.7,5.72
ファンキージャグラー2,1057,1,6,6,6,-3238.0,-1103.0,-485.0,-250,0.978,3768,269.1,139.6,6.15
ファンキージャグラー2,1058,5,7,7,2,-1797.0,-761.0,-244.0,-491,0.95,3259,325.9,155.2,6.18
ファンキージャグラー2,1059,16,14,14,10,2170.0,1549.0,2091.0,338,1.062,1827,913.5,166.1,5.53
ファンキージャグラー2,1060,14,8,11,15,768.0,-662.0,320.0,2035,1.082,8233,433.3,135.0,5.91
 , ,,,,,,,,,,,,,
ファンキージャグラー2,1061,10,10,15,16,-46.0,360.0,2180.0,2144,1.104,6872,361.7,127.3,5.81
ファンキージャグラー2,1062,17,16,17,17,3377.0,2804.0,4421.0,2603,1.125,6941,433.8,123.9,6.05
ファンキージャグラー2,1063,12,12,10,1,333.0,945.0,218.0,-915,0.846,1986,283.7,198.6,5.76
ファンキージャグラー2,1064,15,5,4,4,1615.0,-1500.0,-706.0,-429,0.964,3992,499.0,173.6,5.93
 , ,,,,,,,,,,,,,
ファンキージャグラー2,1065,4,4,8,8,-2153.0,-1620.0,-150.0,9,1.001,2598,519.6,152.8,6.35
ファンキージャグラー2,1066,6,1,1,11,-941.0,-2444.0,-1567.0,421,1.027,5250,328.1,138.2,6.0
ファンキージャグラー2,1067,13,17,13,14,406.0,3323.0,1938.0,1324,1.093,4734,591.8,143.5,5.71
 , ,,,,,,,,,,,,,
 , ,,,,,,,,,,,,,
アイムジャグラーEX-TP,1100,12,2,1,4,323.0,-2112.0,-1929.0,-779,0.867,1951,650.3,216.8,6.5
アイムジャグラーEX-TP,1101,9,15,17,17,-8.0,306.0,471.0,-309,0.974,3953,329.4,152.0,6.19
アイムジャグラーEX-TP,1102,7,5,4,8,-254.0,-1607.0,-1242.0,-674,0.937,3552,394.7,177.6,5.97
アイムジャグラーEX-TP,1103,25,24,25,21,4532.0,3247.0,3300.0,115,1.022,1736,1736.0,173.6,6.36
アイムジャグラーEX-TP,1104,11,13,13,13,257.0,-202.0,-190.0,-526,0.95,3483,870.8,193.5,6.26
アイムジャグラーEX-TP,1105,3,16,6,12,-1140.0,339.0,-997.0,-544,0.862,1311,437.0,218.5,5.97
アイムジャグラーEX-TP,1106,1,9,8,24,-2392.0,-992.0,-539.0,841,1.044,6328,275.1,129.1,6.14
 , ,,,,,,,,,,,,,
アイムジャグラーEX-TP,1123,24,23,11,14,2427.0,3033.0,-341.0,-438,0.935,2241,560.2,186.8,6.22
アイムジャグラーEX-TP,1124,5,3,5,1,-779.0,-2100.0,-1047.0,-1088,0.831,2145,429.0,214.5,6.49
アイムジャグラーEX-TP,1125,8,20,23,8,-104.0,1320.0,2343.0,-674,0.795,1095,547.5,273.8,6.15
アイムジャグラーEX-TP,1126,23,22,22,11,2065.0,2892.0,2206.0,-574,0.868,1447,482.3,206.7,6.35
アイムジャグラーEX-TP,1127,20,14,16,26,1121.0,-141.0,430.0,1641,1.126,4352,362.7,124.3,5.99
アイムジャグラーEX-TP,1128,18,21,24,23,823.0,1514.0,2485.0,582,1.034,5630,469.2,152.2,6.0
アイムジャグラーEX-TP,1129,4,6,14,10,-839.0,-1486.0,0.0,-609,0.938,3259,407.4,163.0,6.65
 , ,,,,,,,,,,,,,
アイムジャグラーEX-TP,1130,6,17,18,22,-661.0,383.0,794.0,429,1.027,5353,205.9,124.5,5.85
アイムジャグラーEX-TP,1131,10,7,9,19,16.0,-1145.0,-421.0,-26,0.992,1020,510.0,170.0,5.92
アイムジャグラーEX-TP,1132,14,18,19,25,590.0,558.0,829.0,1182,1.079,4989,383.8,142.5,5.6
アイムジャグラーEX-TP,1133,2,1,2,5,-2099.0,-2379.0,-1867.0,-756,0.815,1365,1365.0,273.0,6.73
アイムジャグラーEX-TP,1134,22,8,7,6,2047.0,-1024.0,-941.0,-709,0.849,1570,785.0,261.7,5.99
アイムジャグラーEX-TP,1135,26,26,26,18,6486.0,4862.0,3306.0,-162,0.983,3211,1605.5,214.1,5.63
アイムジャグラーEX-TP,1136,16,12,15,7,643.0,-212.0,418.0,-688,0.927,3142,392.8,174.6,6.21
 , ,,,,,,,,,,,,,
アイムジャグラーEX-TP,1151,13,4,3,2,509.0,-1738.0,-1732.0,-926,0.752,1245,0.0,622.5,5.71
アイムジャグラーEX-TP,1152,17,11,12,3,719.0,-305.0,-335.0,-903,0.877,2454,350.6,188.8,6.18
アイムジャグラーEX-TP,1153,15,10,10,16,621.0,-847.0,-394.0,-391,0.893,1219,304.8,203.2,5.32
アイムジャグラーEX-TP,1154,19,25,21,20,985.0,3382.0,1341.0,44,1.004,4182,298.7,144.2,5.97
アイムジャグラーEX-TP,1155,21,19,20,15,1365.0,597.0,1280.0,-426,0.951,2890,289.0,152.1,6.21
 , ,,,,,,,,,,,,,
 , ,,,,,,,,,,,,,
ミスタージャグラー,1107,5,6,6,5,3044.0,1359.0,1900.0,726,1.039,6142,361.3,142.8,0.0
