,,GAME,MEDALS,MEDAL_RATE,RB_RATE,TOTAL_RATE,GAME,MEDALS,MEDAL_RATE,RB_RATE,TOTAL_RATE,GAME,MEDALS,MEDAL_RATE,RB_RATE,TOTAL_RATE
date,,total,total,total,total,total,2025-05-03 00:00:00,2025-05-03 00:00:00,2025-05-03 00:00:00,2025-05-03 00:00:00,2025-05-03 00:00:00,2025-04-03 00:00:00,2025-04-03 00:00:00,2025-04-03 00:00:00,2025-04-03 00:00:00,2025-04-03 00:00:00
area,unit_no,,,,,,,,,,,,,,,
k: マイジャグラーV,1083,4483,-1509,0.888,373.6,186.8,3393,-1441,0.858,377.0,199.6,1090,-68,0.979,363.3,155.7
k: マイジャグラーV,1084,11511,341,1.01,411.1,159.9,4716,-806,0.943,471.6,181.4,6795,1147,1.056,377.5,147.7
l: マイジャグラーV,1085,10163,-338,0.989,308.0,143.1,7306,-112,0.995,270.6,137.8,2857,-226,0.974,476.2,158.7
l: マイジャグラーV,1086,13551,-285,0.993,288.3,144.2,5332,-276,0.983,444.3,166.6,8219,-9,1.0,234.8,132.6
l: マイジャグラーV,1087,10799,1200,1.037,360.0,147.9,5396,1241,1.077,449.7,142.0,5403,-41,0.997,300.2,154.4
l: マイジャグラーV,1088,12538,-1965,0.948,272.6,160.7,5622,-1841,0.891,330.7,193.9,6916,-124,0.994,238.5,141.1
l: マイジャグラーV,1089,8422,-164,0.994,421.1,158.9,6501,462,1.024,433.4,147.8,1921,-626,0.891,384.2,213.4
l: マイジャグラーV,1090,4403,-1256,0.905,550.4,191.4,2566,-1735,0.775,855.3,320.8,1837,479,1.087,367.4,122.5
l: マイジャグラーV,1091,14329,1329,1.031,349.5,144.7,6634,-253,0.987,331.7,154.3,7695,1582,1.069,366.4,137.4
l: マイジャグラーV,1092,8138,-1373,0.944,452.1,180.8,6313,-1135,0.94,394.6,175.4,1825,-238,0.957,912.5,202.8
m: マイジャグラーV,1093,6853,-773,0.962,428.3,167.1,3736,-38,0.997,622.7,169.8,3117,-735,0.921,311.7,164.1
