,GAME,MEDALS,BB,RB,MEDAL_RATE,RB_RATE,TOTAL_RATE,GAME,MEDALS,BB,RB,MEDAL_RATE,RB_RATE,TOTAL_RATE,GAME,MEDALS,BB,RB,MEDAL_RATE,RB_RATE,TOTAL_RATE
391,11496,1294,46,38,1.038,302.5,136.9,3360,-2074,7,5,0.794,672.0,280.0,8136,3368,39,33,1.138,246.5,113.0
392,14308,2903,61,48,1.068,298.1,131.3,6020,-175,23,12,0.99,501.7,172.0,8288,3078,38,36,1.124,230.2,112.0
393,14577,-1422,48,43,0.967,339.0,160.2,4875,-996,16,9,0.932,541.7,195.0,9702,-426,32,34,0.985,285.4,147.0
394,14666,4536,76,34,1.103,431.4,133.3,6154,-196,26,8,0.989,769.2,181.0,8512,4732,50,26,1.185,327.4,112.0
395,16934,3269,80,41,1.064,413.0,140.0,8174,1839,40,21,1.075,389.2,134.0,8760,1430,40,20,1.054,438.0,146.0
396,14775,1860,66,34,1.042,434.6,147.8,6525,477,27,18,1.024,362.5,145.0,8250,1383,39,16,1.056,515.6,150.0
397,13591,2003,55,48,1.049,283.1,132.0,8775,2857,39,36,1.109,243.8,117.0,4816,-854,16,12,0.941,401.3,172.0
398,13480,1432,56,40,1.035,337.0,140.4,7280,2039,35,21,1.093,346.7,130.0,6200,-607,21,19,0.967,326.3,155.0
413,11190,1390,56,24,1.041,466.2,139.9,6450,1232,33,17,1.064,379.4,129.0,4740,158,23,7,1.011,677.1,158.0
414,8608,-1919,30,16,0.926,538.0,187.1,5518,-971,20,11,0.941,501.6,178.0,3090,-948,10,5,0.898,618.0,206.0
415,11175,2711,52,38,1.081,294.1,124.2,8325,2730,38,37,1.109,225.0,111.0,2850,-19,14,1,0.998,2850.0,190.0
416,13596,940,61,42,1.023,323.7,132.0,6072,259,27,19,1.014,319.6,132.0,7524,681,34,23,1.03,327.1,132.0
417,14122,-410,58,44,0.99,321.0,138.5,7830,490,37,21,1.021,372.9,135.0,6292,-900,21,23,0.952,273.6,143.0
418,9404,-2749,31,19,0.903,494.9,188.1,3780,-2561,7,5,0.774,756.0,315.0,5624,-188,24,14,0.989,401.7,148.0
419,14444,29,58,48,1.001,300.9,136.3,8280,135,36,24,1.005,345.0,138.0,6164,-106,22,24,0.994,256.8,134.0
total,543214,816,2121,1497,1.001,362.9,150.1,290422,3498,1153,793,1.004,366.2,149.2,252792,-2682,968,704,0.996,359.1,151.2
