,,GAME,MEDALS,MEDAL_RATE,RB_RATE,TOTAL_RATE,GAME,MEDALS,MEDAL_RATE,RB_RATE,TOTAL_RATE,GAME,MEDALS,MEDAL_RATE,RB_RATE,TOTAL_RATE,GAME,MEDALS,MEDAL_RATE,RB_RATE,TOTAL_RATE,GAME,MEDALS,MEDAL_RATE,RB_RATE,TOTAL_RATE,GAME,MEDALS,MEDAL_RATE,RB_RATE,TOTAL_RATE
date,,total,total,total,total,total,2025-03-07 00:00:00,2025-03-07 00:00:00,2025-03-07 00:00:00,2025-03-07 00:00:00,2025-03-07 00:00:00,2025-02-07 00:00:00,2025-02-07 00:00:00,2025-02-07 00:00:00,2025-02-07 00:00:00,2025-02-07 00:00:00,2025-01-07 00:00:00,2025-01-07 00:00:00,2025-01-07 00:00:00,2025-01-07 00:00:00,2025-01-07 00:00:00,2024-12-07 00:00:00,2024-12-07 00:00:00,2024-12-07 00:00:00,2024-12-07 00:00:00,2024-12-07 00:00:00,2024-11-07 00:00:00,2024-11-07 00:00:00,2024-11-07 00:00:00,2024-11-07 00:00:00,2024-11-07 00:00:00
area,unit_no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
h: ハッピージャグラーVIII,854,5228,1250,1.08,522.8,137.6,1383.0,541.0,1.13,230.5,106.4,1367.0,517.0,1.126,683.5,136.7,282.0,-459.0,0.457,,,1098.0,180.0,1.055,1098.0,156.9,1098.0,471.0,1.143,1098.0,137.2
h: ハッピージャグラーVIII,855,8767,684,1.026,515.7,156.6,372.0,-65.0,0.942,372.0,186.0,747.0,-227.0,0.899,249.0,149.4,2296.0,994.0,1.144,765.3,135.1,3336.0,-378.0,0.962,476.6,175.6,2016.0,360.0,1.06,672.0,155.1
i: ゴーゴージャグラー3,809,5262,-1483,0.906,526.2,194.9,108.0,-192.0,0.407,,,2057.0,-366.0,0.941,293.9,146.9,971.0,-262.0,0.91,971.0,242.8,1738.0,-378.0,0.928,869.0,217.2,388.0,-285.0,0.755,,388.0
i: ゴーゴージャグラー3,810,7837,-2215,0.906,435.4,195.9,531.0,-76.0,0.952,265.5,132.8,572.0,-657.0,0.617,572.0,572.0,972.0,-331.0,0.886,,324.0,1822.0,-785.0,0.856,1822.0,303.7,3940.0,-366.0,0.969,281.4,151.5
i: ゴーゴージャグラー3,811,8122,214,1.009,427.5,156.2,986.0,-169.0,0.943,986.0,197.2,263.0,-134.0,0.83,,263.0,1037.0,-227.0,0.927,345.7,172.8,4244.0,808.0,1.063,471.6,146.3,1592.0,-64.0,0.987,265.3,144.7
i: ゴーゴージャグラー3,812,15488,2047,1.044,309.8,134.7,7103.0,872.0,1.041,273.2,126.8,278.0,-366.0,0.561,,,3101.0,523.0,1.056,310.1,134.8,3751.0,826.0,1.073,375.1,138.9,1255.0,192.0,1.051,313.8,139.4
i: ゴーゴージャグラー3,813,4895,-501,0.966,349.6,163.2,286.0,17.0,1.02,286.0,143.0,1787.0,-948.0,0.823,297.8,198.6,297.0,-250.0,0.719,297.0,297.0,2139.0,872.0,1.136,356.5,125.8,386.0,-192.0,0.834,,386.0
i: ゴーゴージャグラー3,814,6652,459,1.023,415.8,147.8,67.0,-110.0,0.453,,,221.0,-273.0,0.588,,,347.0,-169.0,0.838,,347.0,4616.0,517.0,1.037,419.6,144.2,1401.0,494.0,1.118,280.2,116.8
i: ゴーゴージャグラー3,815,7578,349,1.015,329.5,151.6,327.0,-308.0,0.686,327.0,327.0,108.0,-122.0,0.623,,,290.0,-250.0,0.713,290.0,290.0,2177.0,134.0,1.021,544.2,167.5,4676.0,895.0,1.064,275.1,133.6
i: ゴーゴージャグラー3,827,18964,-860,0.985,332.7,145.9,6338.0,965.0,1.051,264.1,121.9,1265.0,-808.0,0.787,421.7,253.0,5192.0,1105.0,1.071,346.1,126.6,4032.0,-1663.0,0.863,366.5,201.6,2137.0,-459.0,0.928,534.2,178.1
