,,GAME,MEDALS,MEDAL_RATE,RB_RATE,TOTAL_RATE,GAME,MEDALS,MEDAL_RATE,RB_RATE,TOTAL_RATE,GAME,MEDALS,MEDAL_RATE,RB_RATE,TOTAL_RATE,GAME,MEDALS,MEDAL_RATE,RB_RATE,TOTAL_RATE,GAME,MEDALS,MEDAL_RATE,RB_RATE,TOTAL_RATE,GAME,MEDALS,MEDAL_RATE,RB_RATE,TOTAL_RATE
date,,total,total,total,total,total,2025-04-23 00:00:00,2025-04-23 00:00:00,2025-04-23 00:00:00,2025-04-23 00:00:00,2025-04-23 00:00:00,2025-03-23 00:00:00,2025-03-23 00:00:00,2025-03-23 00:00:00,2025-03-23 00:00:00,2025-03-23 00:00:00,2025-02-23 00:00:00,2025-02-23 00:00:00,2025-02-23 00:00:00,2025-02-23 00:00:00,2025-02-23 00:00:00,2025-01-23 00:00:00,2025-01-23 00:00:00,2025-01-23 00:00:00,2025-01-23 00:00:00,2025-01-23 00:00:00,2024-12-23 00:00:00,2024-12-23 00:00:00,2024-12-23 00:00:00,2024-12-23 00:00:00,2024-12-23 00:00:00
area,unit_no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e: ゴーゴージャグラー3,368,22272,733,1.011,318.2,139.2,4505.0,-277.0,0.98,346.5,150.2,7152.0,1104.0,1.051,376.4,137.5,4641.0,206.0,1.015,273.0,132.6,1273.0,-529.0,0.861,424.3,181.9,4701.0,229.0,1.016,261.2,130.6
f: ファンキージャグラー2,337,19558,-427,0.993,383.5,155.2,2646.0,-393.0,0.95,529.2,189.0,4394.0,62.0,1.005,549.2,162.7,3655.0,855.0,1.078,365.5,130.5,5332.0,-848.0,0.947,266.6,152.3,3531.0,-103.0,0.99,441.4,160.5
f: ファンキージャグラー2,338,16670,-1010,0.98,362.4,155.8,2115.0,-764.0,0.88,302.1,176.2,4171.0,1029.0,1.082,320.8,126.4,5893.0,4.0,1.0,420.9,155.1,1492.0,-457.0,0.898,497.3,213.1,2999.0,-822.0,0.909,333.2,176.4
f: ファンキージャグラー2,339,17011,-1856,0.964,405.0,166.8,5960.0,-1000.0,0.944,397.3,170.3,3742.0,878.0,1.078,534.6,143.9,4088.0,-803.0,0.935,340.7,170.3,1542.0,-593.0,0.872,514.0,220.3,1679.0,-338.0,0.933,335.8,167.9
f: ファンキージャグラー2,340,16462,967,1.02,457.3,153.9,2268.0,-91.0,0.987,378.0,151.2,4882.0,1006.0,1.069,488.2,143.6,6058.0,623.0,1.034,504.8,155.3,1985.0,-442.0,0.926,397.0,180.5,1269.0,-129.0,0.966,423.0,158.6
f: ファンキージャグラー2,341,16071,76,1.002,422.9,159.1,2680.0,-59.0,0.993,670.0,191.4,6864.0,658.0,1.032,361.3,146.0,2413.0,-233.0,0.968,603.2,201.1,785.0,-462.0,0.804,785.0,261.7,3329.0,172.0,1.017,332.9,133.2
f: ファンキージャグラー2,342,18121,-596,0.989,549.1,169.4,3705.0,530.0,1.048,926.2,161.1,3852.0,-519.0,0.955,550.3,183.4,3961.0,199.0,1.017,660.2,165.0,3671.0,855.0,1.078,367.1,131.1,2932.0,-1661.0,0.811,488.7,266.5
f: ファンキージャグラー2,343,24402,366,1.005,381.3,149.7,2772.0,123.0,1.015,924.0,163.1,9286.0,1243.0,1.045,273.1,130.8,2935.0,-755.0,0.914,733.8,209.6,7804.0,322.0,1.014,410.7,147.2,1605.0,-567.0,0.882,401.2,200.6
g: ハッピージャグラーVIII,399,10240,-3579,0.883,465.5,209.0,785.0,-570.0,0.758,785.0,392.5,2112.0,-335.0,0.947,704.0,176.0,2258.0,-1116.0,0.835,451.6,225.8,3687.0,-1128.0,0.898,409.7,204.8,1398.0,-430.0,0.897,349.5,199.7
g: ハッピージャグラーVIII,400,15553,-746,0.984,444.4,160.3,2860.0,312.0,1.036,408.6,143.0,3498.0,-865.0,0.918,388.7,174.9,4487.0,-148.0,0.989,407.9,154.7,939.0,-546.0,0.806,,469.5,3769.0,501.0,1.044,471.1,145.0
g: ハッピージャグラーVIII,401,24068,-395,0.995,334.3,148.6,4158.0,-988.0,0.921,297.0,166.3,7432.0,1778.0,1.08,337.8,126.0,3998.0,-958.0,0.92,499.8,199.9,3280.0,-172.0,0.983,364.4,164.0,5200.0,-55.0,0.996,273.7,136.8
g: ハッピージャグラーVIII,402,10997,-693,0.979,282.0,141.0,1158.0,190.0,1.055,579.0,144.8,2265.0,-688.0,0.899,377.5,188.8,2731.0,112.0,1.014,273.1,130.0,3940.0,477.0,1.04,207.4,115.9,903.0,-784.0,0.711,451.5,301.0
g: ハッピージャグラーVIII,403,19890,87,1.001,315.7,146.2,3350.0,-675.0,0.933,372.2,176.3,7226.0,2639.0,1.122,277.9,118.5,5416.0,-1075.0,0.934,386.9,174.7,3004.0,-59.0,0.993,214.6,130.6,894.0,-743.0,0.723,,447.0
g: ハッピージャグラーVIII,404,17622,-5339,0.899,463.7,204.9,2236.0,-1951.0,0.709,745.3,447.2,4603.0,-1678.0,0.878,460.3,219.2,3831.0,367.0,1.032,319.2,141.9,4041.0,-381.0,0.969,505.1,175.7,2911.0,-1696.0,0.806,582.2,291.1
h: ジャグラーガールズ,333,26670,2403,1.03,325.2,137.5,4182.0,541.0,1.043,321.7,139.4,8420.0,1725.0,1.068,336.8,131.6,5837.0,-462.0,0.974,307.2,149.7,5815.0,-152.0,0.991,264.3,135.2,2416.0,751.0,1.104,805.3,134.2
h: ジャグラーガールズ,334,17186,-1391,0.973,350.7,153.4,5109.0,-1017.0,0.934,283.8,164.8,2128.0,-355.0,0.944,1064.0,193.5,6052.0,-409.0,0.977,288.2,140.7,1334.0,-158.0,0.961,333.5,148.2,2563.0,548.0,1.071,640.8,142.4
h: ジャグラーガールズ,335,14586,2520,1.058,303.9,131.4,4085.0,1307.0,1.107,255.3,116.7,2842.0,306.0,1.036,315.8,135.3,5379.0,1533.0,1.095,316.4,125.1,770.0,-642.0,0.722,256.7,256.7,1510.0,16.0,1.004,503.3,167.8
h: ジャグラーガールズ,336,19274,-674,0.988,377.9,154.2,4959.0,193.0,1.013,275.5,134.0,4944.0,-88.0,0.994,353.1,149.8,4470.0,-1139.0,0.915,496.7,186.2,1918.0,564.0,1.098,383.6,137.0,2983.0,-204.0,0.977,596.6,175.5
i: ミスタージャグラー,344,23472,-111,0.998,313.0,144.9,4046.0,-213.0,0.982,269.7,139.5,8208.0,1875.0,1.076,241.4,122.5,6601.0,-2804.0,0.858,388.3,200.0,2622.0,1093.0,1.139,524.4,124.9,1995.0,-62.0,0.99,498.8,166.2
i: ミスタージャグラー,345,19667,-623,0.989,339.1,153.6,3333.0,-312.0,0.969,333.3,158.7,4339.0,-207.0,0.984,361.6,155.0,7356.0,2100.0,1.095,319.8,129.1,1688.0,-862.0,0.83,422.0,241.1,2951.0,-1342.0,0.848,327.9,196.7
i: ミスタージャグラー,346,16260,980,1.02,524.5,157.9,1329.0,-810.0,0.797,1329.0,332.2,4531.0,1545.0,1.114,647.3,137.3,4605.0,-477.0,0.965,354.2,164.5,1411.0,51.0,1.012,705.5,176.4,4384.0,671.0,1.051,548.0,146.1
i: ミスタージャグラー,347,20360,1899,1.031,339.3,140.4,6188.0,2109.0,1.114,229.2,112.5,4366.0,-246.0,0.981,363.8,150.6,3586.0,-312.0,0.971,448.2,170.8,5464.0,935.0,1.057,455.3,143.8,756.0,-587.0,0.741,756.0,378.0
その他,348,21777,-3640,0.944,351.2,163.7,1386.0,42.0,1.01,693.0,173.2,4759.0,-86.0,0.994,317.3,144.2,3669.0,-935.0,0.915,366.9,183.4,5597.0,-1087.0,0.935,279.8,155.5,6366.0,-1574.0,0.918,424.4,176.8
その他,349,17525,-3191,0.939,438.1,177.0,2748.0,-1336.0,0.838,458.0,229.0,5324.0,-101.0,0.994,409.5,152.1,2899.0,-1122.0,0.871,414.1,207.1,1785.0,-184.0,0.966,892.5,223.1,4769.0,-448.0,0.969,397.4,159.0
その他,379,13490,-1110,0.973,345.9,156.9,,,,,,3030.0,-1330.0,0.854,378.8,202.0,4863.0,-787.0,0.946,324.2,162.1,3297.0,1075.0,1.109,471.0,131.9,2300.0,-68.0,0.99,255.6,143.8
total,,1500322,-51845,0.988,374.7,155.6,283952.0,-8394.0,0.99,370.2,154.2,366883.0,1999.0,1.002,385.0,152.8,364388.0,-16136.0,0.985,362.9,155.6,239859.0,-17821.0,0.975,367.9,158.8,245240.0,-11493.0,0.984,390.5,158.1
