,,GAME,MEDALS,MEDAL_RATE,RB_RATE,TOTAL_RATE,GAME,MEDALS,MEDAL_RATE,RB_RATE,TOTAL_RATE,GAME,MEDALS,MEDAL_RATE,RB_RATE,TOTAL_RATE
e: マイジャグラーV,1037,12660,2471,1.065,342.2,139.1,7026,1547,1.073,351.3,135.1,5634,924,1.055,331.4,144.5
e: マイジャグラーV,1038,1746,-688,0.869,582.0,218.2,739,-385,0.826,739.0,246.3,1007,-303,0.9,503.5,201.4
e: マイジャグラーV,1039,13594,4289,1.105,357.7,128.2,8485,4015,1.158,339.4,117.8,5109,274,1.018,393.0,150.3
e: マイジャグラーV,1040,9293,1659,1.06,244.6,125.6,369,-379,0.658,,,8924,2038,1.076,234.8,120.6
e: マイジャグラーV,1041,9825,1535,1.052,258.6,122.8,6407,2882,1.15,237.3,105.0,3418,-1347,0.869,310.7,179.9
f: マイジャグラーV,1042,6738,1044,1.052,374.3,137.5,2793,1335,1.159,349.1,116.4,3945,-291,0.975,394.5,157.8
f: マイジャグラーV,1043,7724,-220,0.991,454.4,157.6,6614,665,1.034,413.4,143.8,1110,-885,0.734,1110.0,370.0
f: マイジャグラーV,1044,7793,1753,1.075,371.1,134.4,1423,-585,0.863,711.5,237.2,6370,2338,1.122,335.3,122.5
f: マイジャグラーV,1045,8696,309,1.012,322.1,142.6,3615,91,1.008,361.5,144.6,5081,218,1.014,298.9,141.1
f: マイジャグラーV,1046,3699,-1070,0.904,616.5,205.5,2190,-391,0.94,547.5,182.5,1509,-679,0.85,754.5,251.5
f: マイジャグラーV,1047,2796,-1612,0.808,349.5,215.1,574,-697,0.595,574.0,574.0,2222,-915,0.863,317.4,185.2
f: マイジャグラーV,1048,6201,1085,1.058,326.4,137.8,4566,1806,1.132,285.4,120.2,1635,-721,0.853,545.0,233.6
f: マイジャグラーV,1049,9902,-1221,0.959,412.6,167.8,2754,-650,0.921,393.4,172.1,7148,-571,0.973,420.5,166.2
f: マイジャグラーV,1050,8377,-1980,0.921,349.0,171.0,2818,-1006,0.881,313.1,176.1,5559,-974,0.942,370.6,168.5
g: ファンキージャグラー2,1051,7621,-477,0.979,262.8,141.1,536,-521,0.676,536.0,536.0,7085,44,1.002,253.0,133.7
g: ファンキージャグラー2,1052,7226,-1541,0.929,602.2,195.3,5344,-312,0.981,485.8,167.0,1882,-1229,0.782,1882.0,376.4
g: ファンキージャグラー2,1053,3007,-576,0.936,751.8,214.8,1773,-179,0.966,591.0,197.0,1234,-397,0.893,1234.0,246.8
g: ファンキージャグラー2,1054,3323,-1097,0.89,302.1,166.2,733,-68,0.969,366.5,146.6,2590,-1029,0.868,287.8,172.7
g: ファンキージャグラー2,1055,5273,985,1.062,263.6,125.5,3918,1394,1.119,230.5,111.9,1355,-409,0.899,451.7,193.6
h: ファンキージャグラー2,1056,5006,-79,0.995,625.8,166.9,3406,265,1.026,681.2,154.8,1600,-344,0.928,533.3,200.0
h: ファンキージャグラー2,1057,1724,-1217,0.765,574.7,287.3,357,-432,0.597,,,1367,-785,0.809,455.7,227.8
h: ファンキージャグラー2,1058,6472,18,1.001,294.2,143.8,3045,121,1.013,217.5,126.9,3427,-103,0.99,428.4,163.2
h: ファンキージャグラー2,1059,1404,-288,0.932,702.0,234.0,777,-132,0.943,388.5,194.2,627,-156,0.917,,313.5
h: ファンキージャグラー2,1060,7889,68,1.003,563.5,164.4,2195,-503,0.924,548.8,199.5,5694,571,1.033,569.4,153.9
i: ファンキージャグラー2,1061,3087,-1094,0.882,441.0,220.5,1654,-191,0.962,330.8,165.4,1433,-903,0.79,716.5,358.2
i: ファンキージャグラー2,1062,4155,-438,0.965,461.7,159.8,2081,838,1.134,346.8,115.6,2074,-1276,0.795,691.3,259.2
i: ファンキージャグラー2,1063,3241,-1006,0.897,540.2,216.1,701,-391,0.814,,350.5,2540,-615,0.919,423.3,195.4
i: ファンキージャグラー2,1064,9635,1653,1.057,418.9,137.6,6906,1985,1.096,406.2,130.3,2729,-332,0.959,454.8,160.5
j: ファンキージャグラー2,1065,5557,-523,0.969,347.3,163.4,3016,-285,0.969,301.6,150.8,2541,-238,0.969,423.5,181.5
j: ファンキージャグラー2,1066,2326,-341,0.951,581.5,193.8,308,-144,0.844,,308.0,2018,-197,0.967,504.5,183.5
j: ファンキージャグラー2,1067,9342,2626,1.094,346.0,129.8,6307,3750,1.198,315.4,106.9,3035,-1124,0.877,433.6,233.5
k: マイジャグラーV,1069,10633,409,1.013,425.3,149.8,8280,724,1.029,414.0,147.9,2353,-315,0.955,470.6,156.9
k: マイジャグラーV,1070,5762,65,1.004,338.9,147.7,176,-203,0.616,,,5586,268,1.016,328.6,143.2
k: マイジャグラーV,1071,8929,-161,0.994,297.6,144.0,6199,18,1.001,295.2,140.9,2730,-179,0.978,303.3,151.7
k: マイジャグラーV,1072,2970,-1470,0.835,990.0,270.0,1376,-785,0.81,458.7,275.2,1594,-685,0.857,,265.7
k: マイジャグラーV,1073,9371,-286,0.99,493.2,164.4,6500,688,1.035,500.0,151.2,2871,-974,0.887,478.5,205.1
k: マイジャグラーV,1074,6375,-1083,0.943,490.4,182.1,1351,-509,0.874,675.5,225.2,5024,-574,0.962,456.7,173.2
k: マイジャグラーV,1075,1448,-824,0.81,482.7,241.3,517,-421,0.729,517.0,258.5,931,-403,0.856,465.5,232.8
k: マイジャグラーV,1076,9621,79,1.003,320.7,148.0,2701,-750,0.907,450.2,192.9,6920,829,1.04,288.3,135.7
k: マイジャグラーV,1077,11843,5550,1.156,338.4,115.0,5870,4485,1.255,366.9,103.0,5973,1065,1.059,314.4,129.8
k: マイジャグラーV,1078,1330,-882,0.779,665.0,332.5,160,-232,0.517,,,1170,-650,0.815,585.0,292.5
k: マイジャグラーV,1079,2881,-1041,0.88,360.1,192.1,444,-391,0.706,444.0,444.0,2437,-650,0.911,348.1,174.1
k: マイジャグラーV,1080,10470,50,1.002,349.0,151.7,4608,362,1.026,307.2,139.6,5862,-312,0.982,390.8,162.8
k: マイジャグラーV,1081,7976,-115,0.995,284.9,145.0,6027,735,1.041,262.0,131.0,1949,-850,0.855,389.8,216.6
k: マイジャグラーV,1082,9795,-714,0.976,306.1,160.6,1763,-226,0.957,293.8,146.9,8032,-488,0.98,308.9,163.9
k: マイジャグラーV,1083,6813,-1368,0.933,324.4,170.3,456,-503,0.632,,,6357,-865,0.955,302.7,158.9
k: マイジャグラーV,1084,11073,-303,0.991,299.3,149.6,4469,409,1.031,297.9,139.7,6604,-712,0.964,300.2,157.2
l: マイジャグラーV,1085,10355,1544,1.05,383.5,141.8,6332,629,1.033,333.3,137.7,4023,915,1.076,502.9,149.0
l: マイジャグラーV,1086,5803,-612,0.965,414.5,170.7,418,-238,0.81,,418.0,5385,-374,0.977,384.6,163.2
l: マイジャグラーV,1087,14600,909,1.021,339.5,144.6,8220,288,1.012,357.4,155.1,6380,621,1.032,319.0,132.9
l: マイジャグラーV,1088,3610,-694,0.936,328.2,171.9,2155,-179,0.972,307.9,165.8,1455,-515,0.882,363.8,181.9
l: マイジャグラーV,1089,3734,-1105,0.901,746.8,233.4,997,-379,0.873,,332.3,2737,-726,0.912,547.4,210.5
l: マイジャグラーV,1090,2800,-953,0.887,700.0,233.3,638,-668,0.651,,638.0,2162,-285,0.956,540.5,196.5
l: マイジャグラーV,1091,7352,409,1.019,350.1,153.2,6389,971,1.051,354.9,145.2,963,-562,0.805,321.0,240.8
l: マイジャグラーV,1092,8192,1282,1.052,327.7,134.3,1447,-456,0.895,289.4,160.8,6745,1738,1.086,337.2,129.7
m: マイジャグラーV,1093,3521,-559,0.947,1173.7,195.6,1018,-238,0.922,509.0,169.7,2503,-321,0.957,2503.0,208.6
m: マイジャグラーV,1094,9030,1685,1.062,451.5,145.6,4970,2832,1.19,497.0,121.2,4060,-1147,0.906,406.0,193.3
m: マイジャグラーV,1095,3972,-853,0.928,567.4,198.6,1142,-468,0.863,1142.0,380.7,2830,-385,0.955,471.7,166.5
m: マイジャグラーV,1096,7634,1247,1.054,381.7,141.4,6218,1421,1.076,327.3,132.3,1416,-174,0.959,1416.0,202.3
m: マイジャグラーV,1097,3252,-779,0.92,650.4,203.2,1044,509,1.163,,149.1,2208,-1288,0.806,441.6,245.3
m: マイジャグラーV,1098,10730,1706,1.053,315.6,134.1,6391,2515,1.131,266.3,114.1,4339,-809,0.938,433.9,180.8
m: マイジャグラーV,1099,5462,-300,0.982,606.9,170.7,3235,126,1.013,647.0,161.8,2227,-426,0.936,556.8,185.6
n: アイムジャグラーEX-TP,1100,8907,-500,0.981,342.6,146.0,2593,-744,0.904,185.2,136.5,6314,244,1.013,526.2,150.3
n: アイムジャグラーEX-TP,1101,2633,-253,0.968,438.8,164.6,1449,-62,0.986,362.2,144.9,1184,-191,0.946,592.0,197.3
n: アイムジャグラーEX-TP,1102,1922,-212,0.963,640.7,174.7,375,-374,0.668,,,1547,162,1.035,515.7,140.6
n: アイムジャグラーEX-TP,1103,9568,1473,1.051,368.0,134.8,2795,432,1.052,465.8,147.1,6773,1041,1.051,338.6,130.2
n: アイムジャグラーEX-TP,1104,8584,1368,1.053,306.6,128.1,4857,-688,0.953,285.7,156.7,3727,2056,1.184,338.8,103.5
n: アイムジャグラーEX-TP,1105,1483,-606,0.864,494.3,185.4,290,-144,0.834,,290.0,1193,-462,0.871,397.7,170.4
n: アイムジャグラーEX-TP,1106,3659,-606,0.945,609.8,183.0,2234,-56,0.992,372.3,148.9,1425,-550,0.871,,285.0
o: ミスタージャグラー,1107,6610,3108,1.157,440.7,118.0,857,-268,0.896,857.0,214.2,5753,3376,1.196,410.9,110.6
o: ミスタージャグラー,1108,3512,-1271,0.879,439.0,195.1,1767,-674,0.873,353.4,196.3,1745,-597,0.886,581.7,193.9
o: ミスタージャグラー,1109,1571,-776,0.835,785.5,261.8,1274,-332,0.913,637.0,212.3,297,-444,0.502,,
o: ミスタージャグラー,1110,7286,-83,0.996,347.0,151.8,4365,279,1.021,256.8,136.4,2921,-362,0.959,730.2,182.6
o: ミスタージャグラー,1111,8004,2077,1.086,307.8,123.1,2534,1121,1.147,281.6,115.2,5470,956,1.058,321.8,127.2
o: ミスタージャグラー,1112,5874,779,1.044,279.7,125.0,1147,632,1.184,286.8,104.3,4727,147,1.01,278.1,131.3
o: ミスタージャグラー,1113,3292,-326,0.967,411.5,156.8,1357,-429,0.895,678.5,193.9,1935,103,1.018,322.5,138.2
p: ウルトラミラクルジャグラー,1115,2788,-417,0.95,929.3,199.1,306,-126,0.863,,306.0,2482,-291,0.961,827.3,190.9
p: ウルトラミラクルジャグラー,1116,6002,65,1.004,461.7,157.9,3746,209,1.019,340.5,144.1,2256,-144,0.979,1128.0,188.0
p: ウルトラミラクルジャグラー,1117,1589,-1082,0.773,397.2,264.8,399,-138,0.885,399.0,199.5,1190,-944,0.736,396.7,297.5
p: ウルトラミラクルジャグラー,1118,7444,182,1.008,338.4,148.9,3926,697,1.059,356.9,135.4,3518,-515,0.951,319.8,167.5
p: ウルトラミラクルジャグラー,1119,696,-864,0.586,696.0,696.0,370,-379,0.659,370.0,370.0,326,-485,0.504,,
p: ウルトラミラクルジャグラー,1120,9138,233,1.008,351.5,147.4,1642,-385,0.922,410.5,182.4,7496,618,1.027,340.7,141.4
p: ウルトラミラクルジャグラー,1121,2030,-982,0.839,676.7,225.6,685,-444,0.784,,342.5,1345,-538,0.867,448.3,192.1
p: ウルトラミラクルジャグラー,1122,4141,-1174,0.905,460.1,207.0,2078,-309,0.95,415.6,188.9,2063,-865,0.86,515.8,229.2
q: アイムジャグラーEX-TP,1123,4900,-1997,0.864,544.4,222.7,813,-226,0.907,813.0,271.0,4087,-1771,0.856,510.9,215.1
q: アイムジャグラーEX-TP,1124,8084,-241,0.99,288.7,141.8,2896,-432,0.95,222.8,144.8,5188,191,1.012,345.9,140.2
q: アイムジャグラーEX-TP,1125,1751,-1182,0.775,350.2,291.8,837,-591,0.765,279.0,279.0,914,-591,0.784,457.0,304.7
q: アイムジャグラーEX-TP,1126,8120,1524,1.063,324.8,128.9,1223,403,1.11,1223.0,152.9,6897,1121,1.054,287.4,125.4
q: アイムジャグラーEX-TP,1127,6124,-1844,0.9,408.3,185.6,1671,-850,0.83,835.5,278.5,4453,-994,0.926,342.5,164.9
q: アイムジャグラーEX-TP,1128,4420,-12,0.999,442.0,163.7,780,85,1.036,780.0,156.0,3640,-97,0.991,404.4,165.5
q: アイムジャグラーEX-TP,1129,8917,-256,0.99,297.2,143.8,6524,-606,0.969,271.8,148.3,2393,350,1.049,398.8,132.9
r: アイムジャグラーEX-TP,1130,6921,365,1.018,407.1,147.3,2129,-97,0.985,532.2,163.8,4792,462,1.032,368.6,140.9
r: アイムジャグラーEX-TP,1131,4940,-738,0.95,548.9,176.4,842,-732,0.71,842.0,421.0,4098,-6,1.0,512.2,157.6
r: アイムジャグラーEX-TP,1132,6390,-1276,0.933,375.9,168.2,787,-938,0.603,393.5,393.5,5603,-338,0.98,373.5,155.6
r: アイムジャグラーEX-TP,1133,6664,421,1.021,289.7,138.8,4100,547,1.044,256.2,128.1,2564,-126,0.984,366.3,160.2
r: アイムジャグラーEX-TP,1134,5740,-802,0.953,441.5,173.9,3849,274,1.024,349.9,142.6,1891,-1076,0.81,945.5,315.2
r: アイムジャグラーEX-TP,1135,4485,-1176,0.913,448.5,195.0,560,-550,0.673,280.0,280.0,3925,-626,0.947,490.6,186.9
r: アイムジャグラーEX-TP,1136,6665,-4080,0.796,416.6,238.0,3659,-2109,0.808,365.9,228.7,3006,-1971,0.781,501.0,250.5
s: ハッピージャグラーVIII,1137,8734,-735,0.972,311.9,150.6,1289,-450,0.884,644.5,214.8,7445,-285,0.987,286.3,143.2
s: ハッピージャグラーVIII,1138,6616,444,1.022,367.6,153.9,5895,782,1.044,327.5,143.8,721,-338,0.844,,360.5
s: ハッピージャグラーVIII,1139,1514,-400,0.912,378.5,189.2,464,-309,0.778,464.0,232.0,1050,-91,0.971,350.0,175.0
s: ハッピージャグラーVIII,1140,7731,2064,1.089,309.2,124.7,1590,-115,0.976,530.0,176.7,6141,2179,1.118,279.1,115.9
s: ハッピージャグラーVIII,1141,1096,-641,0.805,548.0,274.0,657,-285,0.855,328.5,219.0,439,-356,0.73,,439.0
s: ハッピージャグラーVIII,1142,4345,-1850,0.858,334.2,188.9,2916,-562,0.936,324.0,162.0,1429,-1288,0.7,357.2,285.8
s: ハッピージャグラーVIII,1143,9469,2133,1.075,220.2,114.1,2232,-735,0.89,318.9,171.7,7237,2868,1.132,201.0,103.4
t: ジャグラーガールズ,1145,6967,14,1.001,409.8,151.5,2090,-274,0.956,522.5,174.2,4877,288,1.02,375.2,143.4
t: ジャグラーガールズ,1146,3937,-1012,0.914,656.2,218.7,2629,-474,0.94,657.2,202.2,1308,-538,0.863,654.0,261.6
t: ジャグラーガールズ,1147,2620,-1300,0.835,873.3,262.0,1112,-326,0.902,1112.0,222.4,1508,-974,0.785,754.0,301.6
t: ジャグラーガールズ,1148,2853,350,1.041,570.6,158.5,360,-338,0.687,360.0,360.0,2493,688,1.092,623.2,146.6
t: ジャグラーガールズ,1149,7413,97,1.004,285.1,137.3,6615,476,1.024,275.6,132.3,798,-379,0.842,399.0,199.5
t: ジャグラーガールズ,1150,3962,-118,0.99,495.2,165.1,882,-374,0.859,441.0,220.5,3080,256,1.028,513.3,154.0
u: アイムジャグラーEX-TP,1151,6825,109,1.005,379.2,151.7,2485,56,1.008,355.0,155.3,4340,53,1.004,394.5,149.7
u: アイムジャグラーEX-TP,1152,4526,-1156,0.915,377.2,181.0,1394,-291,0.93,348.5,174.2,3132,-865,0.908,391.5,184.2
u: アイムジャグラーEX-TP,1153,5951,1003,1.056,297.6,132.2,612,-250,0.864,306.0,204.0,5339,1253,1.078,296.6,127.1
u: アイムジャグラーEX-TP,1154,2491,-611,0.918,311.4,166.1,2035,-279,0.954,254.4,145.4,456,-332,0.757,,456.0
u: アイムジャグラーEX-TP,1155,8697,502,1.019,347.9,147.4,1753,426,1.081,250.4,125.2,6944,76,1.004,385.8,154.3
total,,924301,-10606,0.996,366.5,152.4,406793,10117,1.008,350.1,147.5,517508,-20723,0.987,380.5,156.5
