model_name,unit_no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ウルトラミラクルジャグラー,1117,379.2,,434.7,1103.5,458.7,1062.0,321.2,281.8,321.5,546.4,591.6,702.5,333.0,679.5,303.6,399.0,542.0,291.0,897.5,,,266.4,,387.4,474.0,311.5,488.5,322.6,411.5,557.0,403.5,618.0,343.4,840.3,620.0,441.0,335.1,301.1,270.3,538.0,284.0,340.3,308.6,493.4,288.5,396.7,701.3,453.3,,402.2,,494.4,777.3,275.8,299.5,358.1,328.1,330.4
ウルトラミラクルジャグラー,1118,378.6,230.1,582.2,377.0,573.0,682.5,679.0,306.2,701.0,409.0,402.4,1228.0,873.0,349.9,584.0,356.9,1158.0,431.1,1026.0,352.6,391.3,501.0,310.2,268.4,572.5,632.0,308.2,362.4,1011.0,341.0,361.1,353.4,268.2,471.2,517.5,,403.7,851.0,564.5,485.4,562.3,548.7,776.0,365.3,347.2,319.8,384.8,260.8,364.5,,,611.5,280.8,473.9,277.1,463.0,,314.1
ウルトラミラクルジャグラー,1119,381.8,262.8,,450.6,320.1,1141.0,317.7,240.8,190.5,354.8,977.0,566.0,396.6,839.2,,370.0,,322.7,544.5,660.0,389.0,348.5,514.3,383.9,656.7,747.0,,419.2,239.3,557.6,366.1,325.5,409.0,404.0,244.6,310.5,377.5,358.2,281.9,489.5,726.0,405.7,339.4,486.9,343.2,,476.9,2071.0,257.1,837.3,366.7,334.1,571.5,706.1,719.0,624.3,338.6,410.1
ウルトラミラクルジャグラー,1120,408.1,399.6,366.7,365.2,654.8,376.5,1702.0,601.0,313.3,358.8,315.2,777.5,608.0,289.4,,410.5,536.9,388.1,325.0,,963.7,,394.0,425.1,365.6,456.1,224.3,363.4,364.6,468.5,310.0,406.9,496.3,394.4,,315.0,325.8,608.0,752.2,376.7,,546.4,717.0,486.7,1074.0,340.7,355.3,419.7,358.3,550.0,303.2,646.7,300.7,313.4,435.5,501.0,533.0,536.0
ウルトラミラクルジャグラー,1121,372.4,325.5,546.2,324.3,434.5,254.0,499.3,481.1,582.0,,401.0,363.2,611.3,409.7,,,273.4,368.2,405.4,172.2,240.8,263.2,349.0,355.5,785.7,466.0,287.0,677.8,1026.0,369.9,503.4,518.1,398.4,340.2,776.2,657.7,564.4,515.7,467.4,715.2,220.7,297.5,277.5,366.8,390.2,448.3,398.4,1509.0,335.4,,450.5,320.1,383.2,466.6,300.8,520.3,244.5,352.0
ウルトラミラクルジャグラー,1122,419.6,1014.0,403.5,2106.0,308.7,366.9,502.5,264.9,,328.1,643.3,536.8,457.7,508.8,422.0,415.6,348.3,287.5,304.4,218.3,,329.8,1349.8,620.0,644.0,390.5,1136.0,281.4,537.3,325.1,319.8,674.8,307.7,329.8,865.0,456.0,412.8,337.8,466.3,947.0,323.4,490.1,1195.0,559.3,1147.0,515.8,1421.5,390.4,519.0,1248.0,,512.3,326.1,343.4,465.7,654.0,532.5,484.0
ゴーゴージャグラー3,1001,321.6,547.0,252.8,308.0,308.0,501.2,344.5,294.9,315.9,251.0,596.3,196.2,279.8,298.7,490.2,299.7,366.9,309.8,253.7,304.6,,312.8,290.8,335.7,458.1,351.2,295.4,584.0,275.6,301.1,304.1,422.5,272.4,294.9,451.6,648.2,361.3,452.1,2194.0,385.4,356.9,288.8,268.8,291.3,327.1,,,,,,,,,,,,,
ゴーゴージャグラー3,1002,296.9,310.0,244.2,333.3,317.0,233.2,,324.3,445.7,360.0,233.1,528.0,348.5,228.7,647.0,318.0,349.0,288.7,601.5,688.0,236.3,348.8,317.6,243.8,345.0,440.3,635.0,201.1,238.3,929.0,345.0,382.1,285.4,429.5,298.6,443.7,266.4,306.8,273.3,418.4,518.5,400.0,401.0,286.7,1236.5,,,,,,,,,,,,,
ゴーゴージャグラー3,1003,301.2,232.8,380.0,380.8,265.9,374.2,702.0,240.0,430.0,512.0,321.1,1279.0,371.2,502.0,340.4,231.4,544.0,200.5,229.4,229.6,,302.1,267.1,292.3,484.0,1338.0,346.5,239.4,376.8,271.6,371.5,218.2,324.1,454.5,478.5,277.8,,571.2,323.6,504.4,455.0,349.7,346.6,483.8,205.2,,,,,,,,,,,,,
ゴーゴージャグラー3,1004,339.6,400.9,680.3,276.0,354.1,223.2,259.5,371.4,383.0,243.2,382.5,446.1,318.3,196.3,465.0,418.2,,342.5,454.2,326.7,718.0,771.6,207.2,269.3,445.5,1189.5,234.9,304.9,245.2,396.4,,453.1,418.4,440.3,533.7,383.6,504.9,298.1,335.7,1245.0,258.9,339.0,686.0,336.3,379.2,,,,,,,,,,,,,
ゴーゴージャグラー3,1005,308.5,403.6,371.2,303.8,755.0,472.8,284.0,326.8,,238.4,480.0,417.6,447.4,279.0,566.3,,205.8,380.4,232.0,317.1,248.2,281.5,1236.0,406.4,348.2,292.8,894.0,306.2,319.2,307.5,263.2,441.3,197.2,343.7,381.9,253.2,330.8,1210.0,364.8,223.4,,260.7,285.8,268.2,291.4,,,,,,,,,,,,,
ゴーゴージャグラー3,1006,324.5,280.4,346.2,438.5,334.0,245.3,314.2,312.3,318.4,448.8,383.9,267.1,600.0,643.1,389.3,354.0,260.6,349.5,248.9,338.1,516.2,413.3,375.6,412.9,516.7,271.7,,245.7,692.1,321.4,,361.0,212.8,264.4,245.9,,,333.4,324.7,453.4,280.7,290.8,324.9,252.0,592.7,,,,,,,,,,,,,
ゴーゴージャグラー3,1007,310.2,359.0,400.8,330.6,623.0,394.2,236.0,253.7,,264.2,268.8,182.4,252.6,989.0,990.0,360.0,251.2,205.9,,378.8,479.3,479.0,,283.5,301.5,341.4,342.1,349.8,301.0,,263.5,313.8,354.0,328.1,386.2,191.5,427.8,292.4,732.2,328.0,215.7,332.9,583.5,356.9,362.2,,,,,,,,,,,,,
ゴーゴージャグラー3,1008,318.5,377.0,335.4,319.0,380.7,303.3,343.0,513.0,418.7,655.0,688.5,348.6,892.0,287.5,580.8,257.1,,199.2,409.6,382.8,,336.4,254.8,299.3,,348.0,,289.8,287.1,342.8,281.6,523.3,284.2,215.0,411.0,,458.0,454.0,358.0,338.3,269.3,269.8,367.5,340.6,410.2,,,,,,,,,,,,,
ゴーゴージャグラー3,1009,315.6,240.2,283.4,246.1,335.2,,946.0,290.1,237.6,243.5,343.2,383.2,499.4,264.2,270.0,463.2,,345.4,353.8,242.7,,246.0,315.9,398.5,443.2,234.2,245.8,247.8,906.0,322.5,588.0,410.4,395.0,484.6,359.4,302.7,272.9,256.2,507.7,489.0,1067.0,466.6,,398.1,251.5,,,,,,,,,,,,,
ゴーゴージャグラー3,1010,319.4,718.3,341.1,1058.0,294.0,440.4,392.8,213.1,271.4,322.7,328.4,1110.3,302.8,259.3,505.0,701.0,288.1,212.8,351.5,510.5,225.2,354.2,304.3,278.3,483.8,365.3,254.4,276.7,278.4,280.4,593.0,367.4,331.0,362.6,408.8,301.7,457.8,1219.0,308.8,276.5,315.6,432.3,369.0,352.4,398.6,,,,,,,,,,,,,
ゴーゴージャグラー3,1011,308.4,198.1,264.0,326.1,490.6,456.5,330.8,312.0,886.0,221.4,2311.0,263.6,269.0,179.9,638.4,348.9,460.4,303.6,489.0,395.0,643.0,870.0,401.4,247.7,354.7,272.1,532.2,309.7,316.7,326.0,238.0,335.7,231.4,266.2,413.1,816.0,392.8,392.2,450.2,418.9,453.8,236.3,523.0,321.1,301.6,,,,,,,,,,,,,
ゴーゴージャグラー3,1012,332.9,295.4,268.0,563.2,296.5,782.0,266.6,209.4,326.2,292.5,301.2,335.0,439.2,422.5,450.4,198.1,357.1,342.6,232.8,400.0,559.9,302.2,313.0,468.7,309.2,1370.0,241.8,223.1,329.9,395.1,664.5,643.3,717.9,646.5,865.0,492.8,263.7,279.9,346.2,505.3,314.7,702.5,351.9,444.7,549.0,,,,,,,,,,,,,
