,,GAME,MEDALS,BB,RB,MEDAL_RATE,RB_RATE,TOTAL_RATE,GAME,MEDALS,BB,RB,MEDAL_RATE,RB_RATE,TOTAL_RATE,GAME,MEDALS,BB,RB,MEDAL_RATE,RB_RATE,TOTAL_RATE,GAME,MEDALS,BB,RB,MEDAL_RATE,RB_RATE,TOTAL_RATE,GAME,MEDALS,BB,RB,MEDAL_RATE,RB_RATE,TOTAL_RATE,GAME,MEDALS,BB,RB,MEDAL_RATE,RB_RATE,TOTAL_RATE,GAME,MEDALS,BB,RB,MEDAL_RATE,RB_RATE,TOTAL_RATE
date,,total,total,total,total,total,total,total,2025-05-15 00:00:00,2025-05-15 00:00:00,2025-05-15 00:00:00,2025-05-15 00:00:00,2025-05-15 00:00:00,2025-05-15 00:00:00,2025-05-15 00:00:00,2025-04-15 00:00:00,2025-04-15 00:00:00,2025-04-15 00:00:00,2025-04-15 00:00:00,2025-04-15 00:00:00,2025-04-15 00:00:00,2025-04-15 00:00:00,2025-03-15 00:00:00,2025-03-15 00:00:00,2025-03-15 00:00:00,2025-03-15 00:00:00,2025-03-15 00:00:00,2025-03-15 00:00:00,2025-03-15 00:00:00,2025-02-15 00:00:00,2025-02-15 00:00:00,2025-02-15 00:00:00,2025-02-15 00:00:00,2025-02-15 00:00:00,2025-02-15 00:00:00,2025-02-15 00:00:00,2025-01-15 00:00:00,2025-01-15 00:00:00,2025-01-15 00:00:00,2025-01-15 00:00:00,2025-01-15 00:00:00,2025-01-15 00:00:00,2025-01-15 00:00:00,2024-12-15 00:00:00,2024-12-15 00:00:00,2024-12-15 00:00:00,2024-12-15 00:00:00,2024-12-15 00:00:00,2024-12-15 00:00:00,2024-12-15 00:00:00
area,unit_no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
その他,338,33871,2779,145,84,1.027,403.2,147.9,5402.0,391.0,22.0,15.0,1.024,360.1,146.0,7581.0,1522.0,36.0,21.0,1.067,361.0,133.0,5940.0,600.0,22.0,23.0,1.034,258.3,132.0,5928.0,930.0,30.0,8.0,1.052,741.0,156.0,1672.0,-552.0,6.0,2.0,0.89,836.0,209.0,7348.0,-112.0,29.0,15.0,0.995,489.9,167.0
その他,339,22479,-4694,80,40,0.93,562.0,187.3,1602.0,68.0,8.0,1.0,1.014,1602.0,178.0,1904.0,-1249.0,3.0,5.0,0.781,380.8,238.0,4592.0,-141.0,18.0,10.0,0.99,459.2,164.0,5535.0,-1220.0,20.0,7.0,0.927,790.7,205.0,2756.0,-1307.0,7.0,6.0,0.842,459.3,212.0,6090.0,-845.0,24.0,11.0,0.954,553.6,174.0
その他,340,28040,3212,125,77,1.038,364.2,138.8,2489.0,1058.0,14.0,5.0,1.142,497.8,131.0,4983.0,-436.0,18.0,15.0,0.971,332.2,151.0,7150.0,2117.0,40.0,15.0,1.099,476.7,130.0,6474.0,-965.0,20.0,19.0,0.95,340.7,166.0,5280.0,2126.0,28.0,20.0,1.134,264.0,110.0,1664.0,-688.0,5.0,3.0,0.862,554.7,208.0
その他,341,26412,-3767,91,70,0.952,377.3,164.0,1808.0,-314.0,7.0,1.0,0.942,1808.0,226.0,2720.0,-312.0,11.0,5.0,0.962,544.0,170.0,6615.0,126.0,26.0,19.0,1.006,348.2,147.0,5425.0,-1996.0,13.0,18.0,0.877,301.4,175.0,5088.0,-668.0,17.0,15.0,0.956,339.2,159.0,4756.0,-603.0,17.0,12.0,0.958,396.3,164.0
その他,342,36231,4708,157,117,1.043,309.7,132.2,3059.0,-861.0,8.0,11.0,0.906,278.1,161.0,4292.0,-657.0,13.0,16.0,0.949,268.2,148.0,6536.0,236.0,28.0,15.0,1.012,435.7,152.0,9042.0,762.0,35.0,31.0,1.028,291.7,137.0,6912.0,4837.0,44.0,28.0,1.233,246.9,96.0,6390.0,391.0,29.0,16.0,1.02,399.4,142.0
その他,343,19757,-3341,68,44,0.944,449.0,176.4,2198.0,-170.0,9.0,5.0,0.974,439.6,157.0,1455.0,-514.0,5.0,0.0,0.882,,291.0,3344.0,-680.0,11.0,8.0,0.932,418.0,176.0,3580.0,-565.0,12.0,8.0,0.947,447.5,179.0,4980.0,-291.0,17.0,13.0,0.981,383.1,166.0,4200.0,-1121.0,14.0,10.0,0.911,420.0,175.0
その他,344,37925,3943,169,91,1.035,416.8,145.9,3537.0,1104.0,20.0,7.0,1.104,505.3,131.0,5511.0,-74.0,23.0,10.0,0.996,551.1,167.0,7130.0,-704.0,27.0,19.0,0.967,375.3,155.0,7644.0,1180.0,36.0,16.0,1.051,477.8,147.0,8625.0,3716.0,44.0,25.0,1.144,345.0,125.0,5478.0,-1279.0,19.0,14.0,0.922,391.3,166.0
その他,345,29953,-3451,103,89,0.962,336.6,156.0,5922.0,1278.0,24.0,23.0,1.072,257.5,126.0,5134.0,-125.0,21.0,13.0,0.992,394.9,151.0,4370.0,-1991.0,8.0,11.0,0.848,397.3,230.0,2835.0,-952.0,8.0,7.0,0.888,405.0,189.0,4968.0,54.0,20.0,16.0,1.004,310.5,138.0,6724.0,-1715.0,22.0,19.0,0.915,353.9,164.0
その他,346,28494,1,107,85,1.0,335.2,148.4,8308.0,1835.0,35.0,32.0,1.074,259.6,124.0,977.0,-955.0,1.0,0.0,0.674,,977.0,5143.0,390.0,21.0,16.0,1.025,321.4,139.0,7728.0,-135.0,29.0,19.0,0.994,406.7,161.0,1688.0,-607.0,6.0,2.0,0.88,844.0,211.0,4650.0,-527.0,15.0,16.0,0.962,290.6,150.0
その他,347,30241,1812,122,90,1.02,336.0,142.6,5984.0,722.0,25.0,19.0,1.04,314.9,136.0,6149.0,-488.0,19.0,24.0,0.974,256.2,143.0,3266.0,-123.0,11.0,12.0,0.987,272.2,142.0,7198.0,3252.0,41.0,18.0,1.151,399.9,122.0,3864.0,-1087.0,10.0,13.0,0.906,297.2,168.0,3780.0,-464.0,16.0,4.0,0.959,945.0,189.0
その他,348,31795,1610,127,110,1.017,289.0,134.2,6758.0,2230.0,31.0,31.0,1.11,218.0,109.0,6627.0,-894.0,19.0,28.0,0.955,236.7,141.0,6784.0,1770.0,34.0,19.0,1.087,357.1,128.0,2682.0,-1586.0,6.0,3.0,0.803,894.0,298.0,4464.0,-404.0,16.0,15.0,0.97,297.6,144.0,4480.0,494.0,21.0,14.0,1.037,320.0,128.0
その他,349,27635,3551,117,83,1.043,333.0,138.2,7502.0,2248.0,31.0,31.0,1.1,242.0,121.0,2912.0,-552.0,10.0,6.0,0.937,485.3,182.0,2782.0,-1006.0,9.0,4.0,0.879,695.5,214.0,5616.0,-357.0,20.0,16.0,0.979,351.0,156.0,1263.0,-767.0,3.0,0.0,0.798,,421.0,7560.0,3985.0,44.0,26.0,1.176,290.8,108.0
その他,350,28003,-744,115,61,0.991,459.1,159.1,1992.0,-1696.0,2.0,2.0,0.716,996.0,498.0,4152.0,-865.0,14.0,10.0,0.931,415.2,173.0,4959.0,-223.0,20.0,9.0,0.985,551.0,171.0,5811.0,114.0,25.0,14.0,1.007,415.1,149.0,3565.0,-65.0,15.0,8.0,0.994,445.6,155.0,7524.0,1991.0,39.0,18.0,1.088,418.0,132.0
その他,351,30794,-1522,120,75,0.984,410.6,157.9,3168.0,-1029.0,8.0,10.0,0.892,316.8,176.0,7009.0,-310.0,27.0,16.0,0.985,438.1,163.0,5542.0,-241.0,23.0,11.0,0.986,503.8,163.0,5781.0,681.0,26.0,15.0,1.039,385.4,141.0,3300.0,-159.0,11.0,11.0,0.984,300.0,150.0,5994.0,-464.0,25.0,12.0,0.974,499.5,162.0
