,,GAME,MEDALS,BB,RB,MEDAL_RATE,RB_RATE,TOTAL_RATE,GAME,MEDALS,BB,RB,MEDAL_RATE,RB_RATE,TOTAL_RATE,GAME,MEDALS,BB,RB,MEDAL_RATE,RB_RATE,TOTAL_RATE,GAME,MEDALS,BB,RB,MEDAL_RATE,RB_RATE,TOTAL_RATE,GAME,MEDALS,BB,RB,MEDAL_RATE,RB_RATE,TOTAL_RATE,GAME,MEDALS,BB,RB,MEDAL_RATE,RB_RATE,TOTAL_RATE,GAME,MEDALS,BB,RB,MEDAL_RATE,RB_RATE,TOTAL_RATE,GAME,MEDALS,BB,RB,MEDAL_RATE,RB_RATE,TOTAL_RATE
date,,total,total,total,total,total,total,total,2025-05-25 00:00:00,2025-05-25 00:00:00,2025-05-25 00:00:00,2025-05-25 00:00:00,2025-05-25 00:00:00,2025-05-25 00:00:00,2025-05-25 00:00:00,2025-04-25 00:00:00,2025-04-25 00:00:00,2025-04-25 00:00:00,2025-04-25 00:00:00,2025-04-25 00:00:00,2025-04-25 00:00:00,2025-04-25 00:00:00,2025-03-25 00:00:00,2025-03-25 00:00:00,2025-03-25 00:00:00,2025-03-25 00:00:00,2025-03-25 00:00:00,2025-03-25 00:00:00,2025-03-25 00:00:00,2025-02-25 00:00:00,2025-02-25 00:00:00,2025-02-25 00:00:00,2025-02-25 00:00:00,2025-02-25 00:00:00,2025-02-25 00:00:00,2025-02-25 00:00:00,2025-01-25 00:00:00,2025-01-25 00:00:00,2025-01-25 00:00:00,2025-01-25 00:00:00,2025-01-25 00:00:00,2025-01-25 00:00:00,2025-01-25 00:00:00,2024-12-25 00:00:00,2024-12-25 00:00:00,2024-12-25 00:00:00,2024-12-25 00:00:00,2024-12-25 00:00:00,2024-12-25 00:00:00,2024-12-25 00:00:00,2024-11-25 00:00:00,2024-11-25 00:00:00,2024-11-25 00:00:00,2024-11-25 00:00:00,2024-11-25 00:00:00,2024-11-25 00:00:00,2024-11-25 00:00:00
area,unit_no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a: ゴーゴージャグラー3,1001,42863,-1112,164,109,0.991,393.2,157.0,6159,-535,22,20,0.971,308.0,146.6,8256,1076,35,28,1.043,294.9,131.0,7084,438,30,17,1.021,416.7,150.7,4002,-1218,11,6,0.899,667.0,235.4,5115,-2003,13,11,0.869,465.0,213.1,8224,1721,38,21,1.07,391.6,139.4,4023,-591,15,6,0.951,670.5,191.6
a: ゴーゴージャグラー3,1002,26120,574,101,67,1.007,389.9,155.5,4333,-403,13,13,0.969,333.3,166.7,859,-768,1,2,0.702,429.5,286.3,1371,-132,6,1,0.968,1371.0,195.9,5854,-735,18,17,0.958,344.4,167.3,8451,3603,46,25,1.142,338.0,119.0,3671,-65,14,8,0.994,458.9,166.9,1581,-926,3,1,0.805,1581.0,395.2
a: ゴーゴージャグラー3,1003,24735,-4924,80,54,0.934,458.1,184.6,4189,-1747,10,11,0.861,380.8,199.5,2727,568,14,6,1.069,454.5,136.4,5424,-1218,16,9,0.925,602.7,217.0,3391,-1029,9,10,0.899,339.1,178.5,5100,-268,20,11,0.982,463.6,164.5,1396,-862,2,3,0.794,465.3,279.2,2508,-368,9,4,0.951,627.0,192.9
a: ゴーゴージャグラー3,1004,36953,1766,146,100,1.016,369.5,150.2,7728,3212,39,28,1.139,276.0,115.3,2642,-291,10,6,0.963,440.3,165.1,6392,362,26,16,1.019,399.5,152.2,7303,-829,22,24,0.962,304.3,158.8,6606,418,26,16,1.021,412.9,157.3,1888,-1335,3,2,0.764,944.0,377.6,4394,229,20,8,1.017,549.2,156.9
a: ゴーゴージャグラー3,1005,26504,-4176,90,64,0.947,414.1,172.1,6379,382,27,21,1.02,303.8,132.9,3093,-1041,8,9,0.888,343.7,181.9,3310,-994,10,4,0.9,827.5,236.4,1125,-1006,1,2,0.702,562.5,375.0,5547,-391,19,14,0.977,396.2,168.1,3810,-132,17,5,0.988,762.0,173.2,3240,-994,8,9,0.898,360.0,190.6
a: ゴーゴージャグラー3,1006,31813,-2144,118,88,0.978,361.5,154.4,1754,-1312,3,4,0.751,438.5,250.6,3701,312,16,14,1.028,264.4,123.4,4427,-191,16,11,0.986,402.5,164.0,4818,-1112,17,9,0.923,535.3,185.3,7402,-585,24,26,0.974,284.7,148.0,3269,162,15,5,1.017,653.8,163.4,6442,582,27,19,1.03,339.1,140.0
a: ゴーゴージャグラー3,1007,45178,3361,175,153,1.025,295.3,137.7,5290,-538,21,16,0.966,330.6,143.0,5249,-862,16,16,0.945,328.1,164.0,8979,453,32,31,1.017,289.6,142.5,6007,1088,29,16,1.06,375.4,133.5,9048,841,32,41,1.031,220.7,123.9,9021,2788,41,30,1.103,300.7,127.1,1584,-409,4,3,0.914,528.0,226.3
a: ゴーゴージャグラー3,1008,41568,3205,152,154,1.026,269.9,135.8,4147,29,17,13,1.002,319.0,138.2,8384,171,28,39,1.007,215.0,125.1,1489,-574,4,2,0.872,744.5,248.2,5286,-100,22,9,0.994,587.3,170.5,9693,4926,43,45,1.169,215.4,110.1,5293,-41,19,18,0.997,294.1,143.1,7276,-1206,19,28,0.945,259.9,154.8
a: ゴーゴージャグラー3,1009,40632,-3715,131,122,0.97,333.0,160.6,7136,26,25,29,1.001,246.1,132.1,3392,-309,13,7,0.97,484.6,169.6,6252,782,27,15,1.042,416.8,148.9,4898,-1229,14,12,0.916,408.2,188.4,3736,-2691,4,6,0.76,622.7,373.6,6229,344,22,21,1.018,296.6,144.9,8989,-638,26,32,0.976,280.9,155.0
a: ゴーゴージャグラー3,1010,35710,2033,150,94,1.019,379.9,146.4,4232,-779,19,4,0.939,1058.0,184.0,3263,-994,9,9,0.898,362.6,181.3,7172,750,29,21,1.035,341.5,143.4,6843,618,29,17,1.03,402.5,148.8,8430,3612,44,31,1.143,271.9,112.4,4188,-512,15,11,0.959,380.7,161.1,1582,-662,5,1,0.861,1582.0,263.7
b: ゴーゴージャグラー3,1011,43350,-5128,145,119,0.961,364.3,164.2,7827,-656,26,24,0.972,326.1,156.5,8520,-1159,25,32,0.955,266.2,149.5,3558,-1653,8,7,0.845,508.3,237.2,6471,685,28,17,1.035,380.6,143.8,8858,432,38,20,1.016,442.9,152.7,2907,-1453,6,4,0.833,726.8,290.7,5209,-1324,14,15,0.915,347.3,179.6
b: ゴーゴージャグラー3,1012,32884,1421,127,95,1.014,346.1,148.1,2816,-591,10,5,0.93,563.2,187.7,1293,-738,3,2,0.81,646.5,258.6,7311,2426,31,30,1.111,243.7,119.9,5510,500,22,15,1.03,367.3,148.9,7668,1065,33,24,1.046,319.5,134.5,5755,-515,20,14,0.97,411.1,169.3,2531,-726,8,5,0.904,506.2,194.7
b: ゴーゴージャグラー3,1013,35942,3264,146,123,1.03,292.2,133.6,4099,-1747,10,17,0.858,241.1,151.8,5862,-1300,17,19,0.926,308.5,162.8,6459,-21,23,18,0.999,358.8,157.5,8099,3729,39,36,1.153,225.0,108.0,3468,794,18,10,1.076,346.8,123.9,4412,262,19,12,1.02,367.7,142.3,3543,1547,20,11,1.146,322.1,114.3
b: ゴーゴージャグラー3,1014,41595,1976,167,119,1.016,349.5,145.4,8184,2624,35,43,1.107,190.3,104.9,4644,-868,17,10,0.938,464.4,172.0,1901,-521,7,3,0.909,633.7,190.1,8798,-759,31,19,0.971,463.1,176.0,7439,-285,29,17,0.987,437.6,161.7,7023,309,28,18,1.015,390.2,152.7,3606,1476,20,9,1.136,400.7,124.3
b: ゴーゴージャグラー3,1015,33215,1494,132,100,1.015,332.2,143.2,7095,2956,35,34,1.139,208.7,102.8,779,-491,2,0,0.79,,389.5,2838,-544,10,6,0.936,473.0,177.4,8042,1068,35,22,1.044,365.5,141.1,7104,-712,26,18,0.967,394.7,161.5,1343,-521,3,3,0.871,447.7,223.8,6014,-262,21,17,0.985,353.8,158.3
b: ゴーゴージャグラー3,1016,40158,2199,153,140,1.018,286.8,137.1,3037,-909,10,6,0.9,506.2,189.8,6330,1703,29,27,1.09,234.4,113.0,3703,-865,13,9,0.922,411.4,168.3,2514,-1006,6,8,0.867,314.2,179.6,8670,1594,37,32,1.061,270.9,125.7,8820,735,32,32,1.028,275.6,137.8,7084,947,26,26,1.045,272.5,136.2
b: ゴーゴージャグラー3,1017,37289,3942,149,118,1.035,316.0,139.7,5784,74,21,19,1.004,304.4,144.6,1525,-497,5,2,0.891,762.5,217.9,2147,-971,6,4,0.849,536.8,214.7,8135,-26,26,31,0.999,262.4,142.7,8487,3353,46,20,1.132,424.4,128.6,2486,-262,10,5,0.965,497.2,165.7,8725,2271,35,37,1.087,235.8,121.2
b: ゴーゴージャグラー3,1018,50896,6115,208,160,1.04,318.1,138.3,5933,1147,29,18,1.064,329.6,126.2,8151,2109,36,31,1.086,262.9,121.7,6653,-197,29,7,0.99,950.4,184.8,8630,535,33,26,1.021,331.9,146.3,6106,-1229,16,19,0.933,321.4,174.5,6834,185,22,28,1.009,244.1,136.7,8589,3565,43,31,1.138,277.1,116.1
b: ゴーゴージャグラー3,1019,26892,-3948,88,69,0.951,389.7,171.3,4797,-1288,12,17,0.91,282.2,165.4,3972,-274,16,8,0.977,496.5,165.5,1502,-556,3,2,0.877,751.0,300.4,1978,-209,8,3,0.965,659.3,179.8,5641,-262,19,19,0.985,296.9,148.4,3528,-574,11,9,0.946,392.0,176.4,5474,-785,19,11,0.952,497.6,182.5
