,,GAME,MEDALS,BB,RB,MEDAL_RATE,RB_RATE,TOTAL_RATE,GAME,MEDALS,BB,RB,MEDAL_RATE,RB_RATE,TOTAL_RATE,GAME,MEDALS,BB,RB,MEDAL_RATE,RB_RATE,TOTAL_RATE,GAME,MEDALS,BB,RB,MEDAL_RATE,RB_RATE,TOTAL_RATE,GAME,MEDALS,BB,RB,MEDAL_RATE,RB_RATE,TOTAL_RATE
date,,total,total,total,total,total,total,total,2025-06-29 00:00:00,2025-06-29 00:00:00,2025-06-29 00:00:00,2025-06-29 00:00:00,2025-06-29 00:00:00,2025-06-29 00:00:00,2025-06-29 00:00:00,2025-05-29 00:00:00,2025-05-29 00:00:00,2025-05-29 00:00:00,2025-05-29 00:00:00,2025-05-29 00:00:00,2025-05-29 00:00:00,2025-05-29 00:00:00,2025-04-29 00:00:00,2025-04-29 00:00:00,2025-04-29 00:00:00,2025-04-29 00:00:00,2025-04-29 00:00:00,2025-04-29 00:00:00,2025-04-29 00:00:00,2025-03-29 00:00:00,2025-03-29 00:00:00,2025-03-29 00:00:00,2025-03-29 00:00:00,2025-03-29 00:00:00,2025-03-29 00:00:00,2025-03-29 00:00:00
area,unit_no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FJ2 a,1429,14545,-2280,52,28,0.948,519.5,181.8,5545.0,-29.0,25.0,7.0,0.998,792.1,173.3,1226.0,-293.0,4.0,3.0,0.92,408.7,175.1,3314.0,-579.0,11.0,5.0,0.942,662.8,207.1,4460.0,-1379.0,12.0,13.0,0.897,343.1,178.4
FJ2 b,1446,24980,810,107,53,1.011,471.3,156.1,4916.0,-593.0,21.0,5.0,0.96,983.2,189.1,6432.0,-293.0,25.0,14.0,0.985,459.4,164.9,7857.0,2432.0,41.0,21.0,1.103,374.1,126.7,5775.0,-736.0,20.0,13.0,0.958,444.2,175.0
FJ2 b,1447,12396,-2459,44,23,0.934,539.0,185.0,5177.0,-1879.0,15.0,10.0,0.879,517.7,207.1,1881.0,821.0,12.0,3.0,1.145,627.0,125.4,4118.0,-779.0,14.0,9.0,0.937,457.6,179.0,1220.0,-622.0,3.0,1.0,0.83,1220.0,305.0
FJ2 b,1448,21170,-969,85,46,0.985,460.2,161.6,3862.0,-993.0,12.0,8.0,0.914,482.8,193.1,4409.0,-179.0,18.0,10.0,0.986,440.9,157.5,6367.0,825.0,30.0,12.0,1.043,530.6,151.6,6532.0,-622.0,25.0,16.0,0.968,408.2,159.3
FJ2 b,1449,18509,-2446,62,46,0.956,402.4,171.4,6430.0,392.0,27.0,16.0,1.02,401.9,149.5,2914.0,-1208.0,7.0,6.0,0.862,485.7,224.2,4789.0,-765.0,15.0,11.0,0.947,435.4,184.2,4376.0,-865.0,13.0,13.0,0.934,336.6,168.3
FJ2 b,1450,22214,513,91,57,1.008,389.7,150.1,8422.0,778.0,39.0,17.0,1.031,495.4,150.4,2345.0,-850.0,7.0,5.0,0.879,469.0,195.4,4027.0,-1136.0,12.0,8.0,0.906,503.4,201.4,7420.0,1721.0,33.0,27.0,1.077,274.8,123.7
FJ2 b,1451,15430,-787,56,37,0.983,417.0,165.9,3915.0,-1393.0,11.0,7.0,0.881,559.3,217.5,1421.0,35.0,6.0,2.0,1.008,710.5,177.6,4733.0,150.0,17.0,15.0,1.011,315.5,147.9,5361.0,421.0,22.0,13.0,1.026,412.4,153.2
FJ2 b,1452,15329,-2451,57,29,0.947,528.6,178.2,2183.0,-1093.0,6.0,2.0,0.833,1091.5,272.9,6321.0,-350.0,23.0,18.0,0.982,351.2,154.2,4634.0,-100.0,21.0,7.0,0.993,662.0,165.5,2191.0,-908.0,7.0,2.0,0.862,1095.5,243.4
FJ2 b,1453,20839,-133,78,59,0.998,353.2,152.1,6299.0,878.0,26.0,22.0,1.046,286.3,131.2,3910.0,121.0,17.0,5.0,1.01,782.0,177.7,8004.0,850.0,32.0,27.0,1.035,296.4,135.7,2626.0,-1982.0,3.0,5.0,0.748,525.2,328.2
FJ2 b,1454,18756,-3202,62,40,0.943,468.9,183.9,4081.0,-565.0,15.0,7.0,0.954,583.0,185.5,4553.0,321.0,19.0,11.0,1.024,413.9,151.8,4618.0,-1436.0,13.0,9.0,0.896,513.1,209.9,5504.0,-1522.0,15.0,13.0,0.908,423.4,196.6
GJ3 a,1521,24805,-280,97,77,0.996,322.1,142.6,6042.0,735.0,28.0,15.0,1.041,402.8,140.5,8479.0,-29.0,29.0,38.0,0.999,223.1,126.6,3372.0,-1336.0,10.0,9.0,0.868,374.7,177.5,6912.0,350.0,30.0,15.0,1.017,460.8,153.6
GJ3 a,1522,24711,3685,105,91,1.05,271.5,126.1,5648.0,-636.0,21.0,16.0,0.962,353.0,152.6,7957.0,3418.0,41.0,34.0,1.143,234.0,106.1,7667.0,2239.0,35.0,31.0,1.097,247.3,116.2,3439.0,-1336.0,8.0,10.0,0.871,343.9,191.1
GJ3 a,1523,19967,-2502,62,69,0.958,289.4,152.4,5066.0,-1665.0,13.0,16.0,0.89,316.6,174.7,8526.0,764.0,29.0,40.0,1.03,213.2,123.6,3245.0,-479.0,12.0,5.0,0.951,649.0,190.9,3130.0,-1122.0,8.0,8.0,0.881,391.2,195.6
GJ3 a,1524,23871,1406,95,83,1.02,287.6,134.1,5104.0,-1065.0,17.0,15.0,0.93,340.3,159.5,8128.0,1961.0,33.0,37.0,1.08,219.7,116.1,7666.0,1575.0,38.0,20.0,1.068,383.3,132.2,2973.0,-1065.0,7.0,11.0,0.881,270.3,165.2
GJ3 a,1525,21001,-2730,71,69,0.957,304.4,150.0,4817.0,-479.0,17.0,13.0,0.967,370.5,160.6,3221.0,-193.0,11.0,14.0,0.98,230.1,128.8,5539.0,-1336.0,16.0,21.0,0.92,263.8,149.7,7424.0,-722.0,27.0,21.0,0.968,353.5,154.7
