,,GAME,MEDALS,BB,RB,MEDAL_RATE,RB_RATE,TOTAL_RATE,GAME,MEDALS,BB,RB,MEDAL_RATE,RB_RATE,TOTAL_RATE,GAME,MEDALS,BB,RB,MEDAL_RATE,RB_RATE,TOTAL_RATE,GAME,MEDALS,BB,RB,MEDAL_RATE,RB_RATE,TOTAL_RATE,GAME,MEDALS,BB,RB,MEDAL_RATE,RB_RATE,TOTAL_RATE,GAME,MEDALS,BB,RB,MEDAL_RATE,RB_RATE,TOTAL_RATE,GAME,MEDALS,BB,RB,MEDAL_RATE,RB_RATE,TOTAL_RATE
date,,total,total,total,total,total,total,total,2025-06-25 00:00:00,2025-06-25 00:00:00,2025-06-25 00:00:00,2025-06-25 00:00:00,2025-06-25 00:00:00,2025-06-25 00:00:00,2025-06-25 00:00:00,2025-05-25 00:00:00,2025-05-25 00:00:00,2025-05-25 00:00:00,2025-05-25 00:00:00,2025-05-25 00:00:00,2025-05-25 00:00:00,2025-05-25 00:00:00,2025-04-25 00:00:00,2025-04-25 00:00:00,2025-04-25 00:00:00,2025-04-25 00:00:00,2025-04-25 00:00:00,2025-04-25 00:00:00,2025-04-25 00:00:00,2025-03-25 00:00:00,2025-03-25 00:00:00,2025-03-25 00:00:00,2025-03-25 00:00:00,2025-03-25 00:00:00,2025-03-25 00:00:00,2025-03-25 00:00:00,2025-02-25 00:00:00,2025-02-25 00:00:00,2025-02-25 00:00:00,2025-02-25 00:00:00,2025-02-25 00:00:00,2025-02-25 00:00:00,2025-02-25 00:00:00,2024-12-25 00:00:00,2024-12-25 00:00:00,2024-12-25 00:00:00,2024-12-25 00:00:00,2024-12-25 00:00:00,2024-12-25 00:00:00,2024-12-25 00:00:00
area,unit_no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e,1053,33954,-3923,108,100,0.961,339.5,163.2,3032.0,-821.0,9.0,5.0,0.91,606.4,216.6,8468.0,-229.0,27.0,30.0,0.991,282.3,148.6,5791.0,-662.0,20.0,16.0,0.962,361.9,160.9,6860.0,-1053.0,19.0,26.0,0.949,263.8,152.4,4131.0,-926.0,13.0,5.0,0.925,826.2,229.5,5672.0,-232.0,20.0,18.0,0.986,315.1,149.3
e,1055,33792,2332,134,106,1.023,318.8,140.8,6625.0,-147.0,21.0,26.0,0.993,254.8,141.0,7969.0,326.0,32.0,24.0,1.014,332.0,142.3,4321.0,-221.0,16.0,11.0,0.983,392.8,160.0,8270.0,1441.0,36.0,31.0,1.058,266.8,123.4,2581.0,-932.0,6.0,6.0,0.88,430.2,215.1,4026.0,1865.0,23.0,8.0,1.154,503.2,129.9
e,1056,27320,-1823,102,68,0.978,401.8,160.7,3047.0,-626.0,9.0,7.0,0.932,435.3,190.4,6016.0,403.0,25.0,19.0,1.022,316.6,136.7,3998.0,-1618.0,9.0,12.0,0.865,333.2,190.4,6295.0,-1841.0,20.0,11.0,0.903,572.3,203.1,5146.0,2621.0,31.0,12.0,1.17,428.8,119.7,2818.0,-762.0,8.0,7.0,0.91,402.6,187.9
f,1057,39502,5450,173,118,1.046,334.8,135.7,6227.0,315.0,25.0,19.0,1.017,327.7,141.5,9503.0,524.0,39.0,31.0,1.018,306.5,135.8,3749.0,-297.0,14.0,9.0,0.974,416.6,163.0,6689.0,688.0,29.0,19.0,1.034,352.1,139.4,7558.0,2885.0,38.0,27.0,1.127,279.9,116.3,5776.0,1335.0,28.0,13.0,1.077,444.3,140.9
f,1058,29612,-1050,110,95,0.988,311.7,144.4,1974.0,79.0,9.0,5.0,1.013,394.8,141.0,7604.0,-100.0,30.0,21.0,0.996,362.1,149.1,5393.0,453.0,24.0,12.0,1.028,449.4,149.8,5667.0,-438.0,17.0,26.0,0.974,218.0,131.8,3921.0,691.0,18.0,13.0,1.059,301.6,126.5,5053.0,-1735.0,12.0,18.0,0.886,280.7,168.4
f,1060,38668,5746,173,110,1.05,351.5,136.6,6076.0,-1159.0,18.0,18.0,0.936,337.6,168.8,7479.0,1088.0,35.0,17.0,1.048,439.9,143.8,6004.0,2532.0,33.0,22.0,1.141,272.9,109.2,5308.0,1300.0,26.0,14.0,1.082,379.1,132.7,5042.0,-474.0,18.0,12.0,0.969,420.2,168.1,8759.0,2459.0,43.0,27.0,1.094,324.4,125.1
f,1061,35509,-3450,125,96,0.968,369.9,160.7,6243.0,547.0,28.0,15.0,1.029,416.2,145.2,7624.0,-2126.0,23.0,16.0,0.907,476.5,195.5,7293.0,429.0,32.0,21.0,1.02,347.3,137.6,8128.0,-509.0,26.0,29.0,0.979,280.3,147.8,3185.0,-279.0,11.0,7.0,0.971,455.0,176.9,3036.0,-1512.0,5.0,8.0,0.834,379.5,233.5
f,1062,34584,2756,138,106,1.027,326.3,141.7,3194.0,-685.0,10.0,6.0,0.929,532.3,199.6,8422.0,2515.0,40.0,26.0,1.1,323.9,127.6,3814.0,-1253.0,9.0,13.0,0.89,293.4,173.4,6630.0,324.0,22.0,27.0,1.016,245.6,135.3,8496.0,2129.0,39.0,27.0,1.084,314.7,128.7,4028.0,-274.0,18.0,7.0,0.977,575.4,161.1
その他,1083,36773,1000,149,113,1.009,325.4,140.4,7117.0,-738.0,26.0,22.0,0.965,323.5,148.3,7269.0,-3118.0,20.0,14.0,0.857,519.2,213.8,4538.0,3.0,19.0,11.0,1.0,412.5,151.3,5012.0,-1665.0,16.0,9.0,0.889,556.9,200.5,6715.0,3424.0,36.0,25.0,1.17,268.6,110.1,6122.0,3094.0,32.0,32.0,1.168,191.3,95.7
その他,1085,36196,-1850,123,117,0.983,309.4,150.8,7066.0,1809.0,31.0,26.0,1.085,271.8,124.0,7394.0,-3094.0,13.0,25.0,0.861,295.8,194.6,6469.0,41.0,21.0,26.0,1.002,248.8,137.6,5098.0,-50.0,20.0,13.0,0.997,392.2,154.5,4894.0,215.0,20.0,14.0,1.015,349.6,143.9,5275.0,-771.0,18.0,13.0,0.951,405.8,170.2
