,hall_name,date,model_name,unit_no,game,BB,RB,medals,BB_rate,RB_rate,Grape_rate,Total_rate,month,day,weekday,year,unit_last,area,5_more
0,EXA FIRST,2025-04-30,ゴーゴージャグラー3,1001,5513,19,20,-750,290.2,275.6,6.41,141.4,2025-04,30,2,2025,1,a: ゴーゴージャグラー3,0.06999999999999999
1,EXA FIRST,2025-04-30,ゴーゴージャグラー3,1002,1430,3,6,-550,476.7,238.3,6.31,158.9,2025-04,30,2,2025,2,a: ゴーゴージャグラー3,0.0
2,EXA FIRST,2025-04-30,ゴーゴージャグラー3,1003,1884,3,5,-1171,628.0,376.8,6.17,235.5,2025-04,30,2,2025,3,a: ゴーゴージャグラー3,0.0
3,EXA FIRST,2025-04-30,ゴーゴージャグラー3,1004,1962,10,8,726,196.2,245.2,6.08,109.0,2025-04,30,2,2025,4,a: ゴーゴージャグラー3,0.0
4,EXA FIRST,2025-04-30,ゴーゴージャグラー3,1005,1277,2,4,-732,638.5,319.2,6.12,212.8,2025-04,30,2,2025,5,a: ゴーゴージャグラー3,0.0
5,EXA FIRST,2025-04-30,ゴーゴージャグラー3,1006,4845,25,7,732,193.8,692.1,6.0,151.4,2025-04,30,2,2025,6,a: ゴーゴージャグラー3,0.0
6,EXA FIRST,2025-04-30,ゴーゴージャグラー3,1007,1806,6,6,-309,301.0,301.0,6.29,150.5,2025-04,30,2,2025,7,a: ゴーゴージャグラー3,0.0
7,EXA FIRST,2025-04-30,ゴーゴージャグラー3,1008,6604,24,23,-429,275.2,287.1,6.21,140.5,2025-04,30,2,2025,8,a: ゴーゴージャグラー3,0.1
8,EXA FIRST,2025-04-30,ゴーゴージャグラー3,1009,906,2,1,-621,453.0,906.0,6.48,302.0,2025-04,30,2,2025,9,a: ゴーゴージャグラー3,0.0
9,EXA FIRST,2025-04-30,ゴーゴージャグラー3,1010,6959,26,25,-124,267.7,278.4,6.16,136.5,2025-04,30,2,2025,0,a: ゴーゴージャグラー3,0.18
10,EXA FIRST,2025-04-30,ゴーゴージャグラー3,1011,3800,13,12,-594,292.3,316.7,6.26,152.0,2025-04,30,2,2025,1,b: ゴーゴージャグラー3,0.0
11,EXA FIRST,2025-04-30,ゴーゴージャグラー3,1012,4619,20,14,838,231.0,329.9,5.67,135.9,2025-04,30,2,2025,2,b: ゴーゴージャグラー3,0.0
12,EXA FIRST,2025-04-30,ゴーゴージャグラー3,1013,3895,20,12,971,194.8,324.6,6.24,121.7,2025-04,30,2,2025,3,b: ゴーゴージャグラー3,0.0
13,EXA FIRST,2025-04-30,ゴーゴージャグラー3,1014,1162,0,3,-1029,0.0,387.3,5.63,387.3,2025-04,30,2,2025,4,b: ゴーゴージャグラー3,0.0
14,EXA FIRST,2025-04-30,ゴーゴージャグラー3,1015,7731,33,34,1206,234.3,227.4,6.3,115.4,2025-04,30,2,2025,5,b: ゴーゴージャグラー3,0.51
15,EXA FIRST,2025-04-30,ゴーゴージャグラー3,1016,2209,6,7,-603,368.2,315.6,6.02,169.9,2025-04,30,2,2025,6,b: ゴーゴージャグラー3,0.0
16,EXA FIRST,2025-04-30,ゴーゴージャグラー3,1017,3477,10,10,-1100,347.7,347.7,6.28,173.8,2025-04,30,2,2025,7,b: ゴーゴージャグラー3,0.0
17,EXA FIRST,2025-04-30,ゴーゴージャグラー3,1018,814,1,2,-591,814.0,407.0,6.16,271.3,2025-04,30,2,2025,8,b: ゴーゴージャグラー3,0.0
18,EXA FIRST,2025-04-30,ゴーゴージャグラー3,1019,4113,19,9,197,216.5,457.0,6.21,146.9,2025-04,30,2,2025,9,b: ゴーゴージャグラー3,0.0
19,EXA FIRST,2025-04-30,ゴーゴージャグラー3,1020,4498,14,16,-803,321.3,281.1,6.19,149.9,2025-04,30,2,2025,0,b: ゴーゴージャグラー3,0.0
20,EXA FIRST,2025-04-30,マイジャグラーV,1021,6977,14,23,-2603,498.4,303.3,5.8,188.6,2025-04,30,2,2025,1,c: マイジャグラーV,0.05
21,EXA FIRST,2025-04-30,マイジャグラーV,1022,5396,19,12,-903,284.0,449.7,6.04,174.1,2025-04,30,2,2025,2,c: マイジャグラーV,0.01
22,EXA FIRST,2025-04-30,マイジャグラーV,1023,927,2,2,-456,463.5,463.5,6.0,231.8,2025-04,30,2,2025,3,c: マイジャグラーV,0.0
23,EXA FIRST,2025-04-30,マイジャグラーV,1024,7662,31,31,1738,247.2,247.2,5.63,123.6,2025-04,30,2,2025,4,c: マイジャグラーV,0.8700000000000001
24,EXA FIRST,2025-04-30,マイジャグラーV,1025,3007,10,9,-468,300.7,334.1,6.11,158.3,2025-04,30,2,2025,5,c: マイジャグラーV,0.0
25,EXA FIRST,2025-04-30,マイジャグラーV,1026,4958,18,7,-797,275.4,708.3,5.78,198.3,2025-04,30,2,2025,6,c: マイジャグラーV,0.0
