,,GAME,MEDALS,BB,RB,MEDAL_RATE,RB_RATE,TOTAL_RATE,GAME,MEDALS,BB,RB,MEDAL_RATE,RB_RATE,TOTAL_RATE,GAME,MEDALS,BB,RB,MEDAL_RATE,RB_RATE,TOTAL_RATE,GAME,MEDALS,BB,RB,MEDAL_RATE,RB_RATE,TOTAL_RATE,GAME,MEDALS,BB,RB,MEDAL_RATE,RB_RATE,TOTAL_RATE,GAME,MEDALS,BB,RB,MEDAL_RATE,RB_RATE,TOTAL_RATE,GAME,MEDALS,BB,RB,MEDAL_RATE,RB_RATE,TOTAL_RATE
date,,total,total,total,total,total,total,total,2025-04-24 00:00:00,2025-04-24 00:00:00,2025-04-24 00:00:00,2025-04-24 00:00:00,2025-04-24 00:00:00,2025-04-24 00:00:00,2025-04-24 00:00:00,2025-03-24 00:00:00,2025-03-24 00:00:00,2025-03-24 00:00:00,2025-03-24 00:00:00,2025-03-24 00:00:00,2025-03-24 00:00:00,2025-03-24 00:00:00,2025-02-24 00:00:00,2025-02-24 00:00:00,2025-02-24 00:00:00,2025-02-24 00:00:00,2025-02-24 00:00:00,2025-02-24 00:00:00,2025-02-24 00:00:00,2025-01-24 00:00:00,2025-01-24 00:00:00,2025-01-24 00:00:00,2025-01-24 00:00:00,2025-01-24 00:00:00,2025-01-24 00:00:00,2025-01-24 00:00:00,2024-12-24 00:00:00,2024-12-24 00:00:00,2024-12-24 00:00:00,2024-12-24 00:00:00,2024-12-24 00:00:00,2024-12-24 00:00:00,2024-12-24 00:00:00,2024-11-24 00:00:00,2024-11-24 00:00:00,2024-11-24 00:00:00,2024-11-24 00:00:00,2024-11-24 00:00:00,2024-11-24 00:00:00,2024-11-24 00:00:00
area,unit_no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
n: アイムジャグラーEX-TP,1104,12902,-4486,33,44,0.884,293.2,167.6,1760,-644,4,6,0.878,293.3,176.0,2102,-844,5,7,0.866,300.3,175.2,5481,-1924,13,21,0.883,261.0,161.2,1522,-238,5,5,0.948,304.4,152.2,1317,-568,4,3,0.856,439.0,188.1,720,-268,2,2,0.876,360.0,180.0
n: アイムジャグラーEX-TP,1105,14233,211,59,37,1.005,384.7,148.3,2057,-974,4,4,0.842,514.2,257.1,3952,709,18,12,1.06,329.3,131.7,2604,685,13,11,1.088,236.7,108.5,1192,-491,3,3,0.863,397.3,198.7,173,-209,0,0,0.597,,,4255,491,21,7,1.038,607.9,152.0
n: アイムジャグラーEX-TP,1106,22639,-2726,78,72,0.96,314.4,150.9,3335,-750,10,9,0.925,370.6,175.5,1834,-356,6,4,0.935,458.5,183.4,3644,-1241,9,12,0.886,303.7,173.5,6435,121,24,26,1.006,247.5,128.7,5266,-215,22,16,0.986,329.1,138.6,2125,-285,7,5,0.955,425.0,177.1
o: ミスタージャグラー,1107,15211,-4152,44,47,0.909,323.6,167.2,2514,-888,5,9,0.882,279.3,179.6,4674,-774,15,17,0.945,274.9,146.1,1425,-732,3,3,0.829,475.0,237.5,4320,-1194,12,15,0.908,288.0,160.0,163,-185,0,0,0.622,,,2115,-379,9,3,0.94,705.0,176.2
o: ミスタージャグラー,1108,17918,873,74,57,1.016,314.4,136.8,2673,-474,9,7,0.941,381.9,167.1,2263,91,10,6,1.013,377.2,141.4,447,-421,1,0,0.686,,447.0,631,-379,1,1,0.8,631.0,315.5,7940,2250,38,31,1.094,256.1,115.1,3964,-194,15,12,0.984,330.3,146.8
o: ミスタージャグラー,1109,28741,5792,134,98,1.067,293.3,123.9,2779,-1429,7,4,0.829,694.8,252.6,3807,497,19,8,1.044,475.9,141.0,6399,2568,35,22,1.134,290.9,112.3,7833,2038,36,35,1.087,223.8,110.3,1326,1594,11,5,1.401,265.2,82.9,6597,524,26,24,1.026,274.9,131.9
o: ミスタージャグラー,1110,10421,-573,38,30,0.982,347.4,153.2,661,-303,2,0,0.847,,330.5,749,-197,3,0,0.912,,249.7,5354,606,21,20,1.038,267.7,130.6,1639,-332,5,6,0.932,273.2,149.0,961,62,4,2,1.022,480.5,160.2,1057,-409,3,2,0.871,528.5,211.4
o: ミスタージャグラー,1111,25301,2853,115,74,1.038,341.9,133.9,6237,1535,30,17,1.082,366.9,132.7,647,-450,1,1,0.768,647.0,323.5,5510,1006,27,17,1.061,324.1,125.2,4636,53,19,17,1.004,272.7,128.8,294,-215,0,1,0.756,294.0,294.0,7977,924,38,21,1.039,379.9,135.2
o: ミスタージャグラー,1112,20891,-1671,80,58,0.973,360.2,151.4,1906,409,11,2,1.072,953.0,146.6,4272,-615,14,14,0.952,305.1,152.6,1488,-1171,2,2,0.738,744.0,372.0,5801,441,26,17,1.025,341.2,134.9,5493,-103,21,21,0.994,261.6,130.8,1931,-632,6,2,0.891,965.5,241.4
o: ミスタージャグラー,1113,20423,-1556,76,57,0.975,358.3,153.6,2952,-1053,7,9,0.881,328.0,184.5,4227,-9,19,9,0.999,469.7,151.0,2789,-150,11,5,0.982,557.8,174.3,5646,1159,24,24,1.068,235.2,117.6,1398,-344,4,4,0.918,349.5,174.8,3411,-1159,11,6,0.887,568.5,200.6
p: ウルトラミラクルジャグラー,1115,22605,1009,93,60,1.015,376.8,147.7,3723,-9,14,11,0.999,338.5,148.9,6164,2409,32,22,1.13,280.2,114.1,3540,-126,14,7,0.988,505.7,168.6,3133,-1112,8,6,0.882,522.2,223.8,4086,982,20,10,1.08,408.6,136.2,1959,-1135,5,4,0.807,489.8,217.7
p: ウルトラミラクルジャグラー,1116,27652,-1413,105,74,0.983,373.7,154.5,5029,-759,17,12,0.95,419.1,173.4,1035,-468,1,2,0.849,517.5,345.0,6154,-359,23,18,0.981,341.9,150.1,6981,315,30,22,1.015,317.3,134.2,6175,-171,24,14,0.991,441.1,162.5,2278,29,10,6,1.004,379.7,142.4
p: ウルトラミラクルジャグラー,1117,19749,-660,72,60,0.989,329.2,149.6,1240,26,5,2,1.007,620.0,177.1,6622,1053,29,18,1.053,367.9,140.9,4826,76,16,22,1.005,219.4,127.0,3023,-921,9,6,0.898,503.8,201.5,537,-379,1,0,0.765,,537.0,3501,-515,12,12,0.951,291.8,145.9
p: ウルトラミラクルジャグラー,1118,19560,-4294,61,54,0.927,362.2,170.1,1035,-503,2,2,0.838,517.5,258.8,627,-44,3,0,0.977,,209.0,3906,-956,12,9,0.918,434.0,186.0,5765,-935,19,17,0.946,339.1,160.1,3493,-850,10,9,0.919,388.1,183.8,4734,-1006,15,17,0.929,278.5,147.9
