,,GAME,MEDALS,BB,RB,MEDAL_RATE,RB_RATE,TOTAL_RATE,GAME,MEDALS,BB,RB,MEDAL_RATE,RB_RATE,TOTAL_RATE,GAME,MEDALS,BB,RB,MEDAL_RATE,RB_RATE,TOTAL_RATE,GAME,MEDALS,BB,RB,MEDAL_RATE,RB_RATE,TOTAL_RATE,GAME,MEDALS,BB,RB,MEDAL_RATE,RB_RATE,TOTAL_RATE,GAME,MEDALS,BB,RB,MEDAL_RATE,RB_RATE,TOTAL_RATE
date,,total,total,total,total,total,total,total,2025-05-27 00:00:00,2025-05-27 00:00:00,2025-05-27 00:00:00,2025-05-27 00:00:00,2025-05-27 00:00:00,2025-05-27 00:00:00,2025-05-27 00:00:00,2025-04-27 00:00:00,2025-04-27 00:00:00,2025-04-27 00:00:00,2025-04-27 00:00:00,2025-04-27 00:00:00,2025-04-27 00:00:00,2025-04-27 00:00:00,2025-03-27 00:00:00,2025-03-27 00:00:00,2025-03-27 00:00:00,2025-03-27 00:00:00,2025-03-27 00:00:00,2025-03-27 00:00:00,2025-03-27 00:00:00,2025-02-27 00:00:00,2025-02-27 00:00:00,2025-02-27 00:00:00,2025-02-27 00:00:00,2025-02-27 00:00:00,2025-02-27 00:00:00,2025-02-27 00:00:00,2025-01-27 00:00:00,2025-01-27 00:00:00,2025-01-27 00:00:00,2025-01-27 00:00:00,2025-01-27 00:00:00,2025-01-27 00:00:00,2025-01-27 00:00:00
area,unit_no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
その他,955,13146,0,51,30,1.0,438.2,162.3,3078,0,11,8,1.0,384.8,162.0,3431,0,11,8,1.0,428.9,180.6,1704,0,7,3,1.0,568.0,170.4,522,0,0,1,1.0,522.0,522.0,4411,0,22,10,1.0,441.1,137.8
その他,956,18231,0,58,51,1.0,357.5,167.3,2549,0,5,5,1.0,509.8,254.9,2533,0,8,4,1.0,633.2,211.1,6254,0,25,20,1.0,312.7,139.0,1385,0,4,2,1.0,692.5,230.8,5510,0,16,20,1.0,275.5,153.1
その他,957,23200,0,86,68,1.0,341.2,150.6,3906,0,12,8,1.0,488.2,195.3,6329,0,29,20,1.0,316.4,129.2,7417,0,30,26,1.0,285.3,132.4,1531,0,2,2,1.0,765.5,382.8,4017,0,13,12,1.0,334.8,160.7
その他,958,20618,0,87,63,1.0,327.3,137.5,3402,0,11,8,1.0,425.2,179.1,5375,0,28,18,1.0,298.6,116.8,3598,0,19,12,1.0,299.8,116.1,4114,0,14,13,1.0,316.5,152.4,4129,0,15,12,1.0,344.1,152.9
その他,959,8473,0,30,15,1.0,564.9,188.3,2941,0,9,4,1.0,735.2,226.2,2391,0,10,4,1.0,597.8,170.8,1603,0,3,2,1.0,801.5,320.6,719,0,4,3,1.0,239.7,102.7,819,0,4,2,1.0,409.5,136.5
その他,960,15218,0,58,47,1.0,323.8,144.9,933,0,3,1,1.0,933.0,233.2,4274,0,20,10,1.0,427.4,142.5,1277,0,3,3,1.0,425.7,212.8,1519,0,6,2,1.0,759.5,189.9,7215,0,26,31,1.0,232.7,126.6
その他,961,13310,0,53,40,1.0,332.8,143.1,5219,0,23,13,1.0,401.5,145.0,5686,0,23,24,1.0,236.9,121.0,1337,0,3,3,1.0,445.7,222.8,745,0,4,0,1.0,,186.2,323,0,0,0,1.0,,
その他,962,15916,0,53,57,1.0,279.2,144.7,2340,0,3,6,1.0,390.0,260.0,6813,0,27,32,1.0,212.9,115.5,1021,0,1,3,1.0,340.3,255.2,4057,0,17,13,1.0,312.1,135.2,1685,0,5,3,1.0,561.7,210.6
その他,963,16082,0,65,46,1.0,349.6,144.9,6504,0,31,19,1.0,342.3,130.1,6148,0,25,22,1.0,279.5,130.8,810,0,2,1,1.0,810.0,270.0,2162,0,7,2,1.0,1081.0,240.2,458,0,0,2,1.0,229.0,229.0
その他,964,5429,0,19,9,1.0,603.2,193.9,1209,0,3,5,1.0,241.8,151.1,1390,0,3,0,1.0,,463.3,2187,0,12,3,1.0,729.0,145.8,473,0,1,1,1.0,473.0,236.5,170,0,0,0,1.0,,
その他,965,20121,0,85,73,1.0,275.6,127.3,2098,0,6,5,1.0,419.6,190.7,5362,0,19,20,1.0,268.1,137.5,841,0,5,1,1.0,841.0,140.2,5900,0,30,22,1.0,268.2,113.5,5920,0,25,25,1.0,236.8,118.4
その他,966,18034,0,71,43,1.0,419.4,158.2,5737,0,28,12,1.0,478.1,143.4,2133,0,5,5,1.0,426.6,213.3,2230,0,8,3,1.0,743.3,202.7,5833,0,21,20,1.0,291.6,142.3,2101,0,9,3,1.0,700.3,175.1
total,,1181864,0,4376,3207,1.0,368.5,155.9,248180,0,913,630,1.0,393.9,160.8,299382,0,1134,836,1.0,358.1,152.0,224845,0,847,613,1.0,366.8,154.0,212867,0,763,593,1.0,359.0,157.0,196590,0,719,535,1.0,367.5,156.8
