,GAME,MEDALS,BB,RB,MEDAL_RATE,RB_RATE,TOTAL_RATE,GAME,MEDALS,BB,RB,MEDAL_RATE,RB_RATE,TOTAL_RATE,GAME,MEDALS,BB,RB,MEDAL_RATE,RB_RATE,TOTAL_RATE
344,15913,4427,74,51,1.093,312.0,127.3,6885,1684,35,16,1.082,430.3,135.0,9028,2743,39,35,1.101,257.9,122.0
345,12619,-1314,53,20,0.965,631.0,172.9,4510,-1226,17,5,0.909,902.0,205.0,8109,-88,36,15,0.996,540.6,159.0
346,15384,1405,65,48,1.03,320.5,136.1,6720,2370,35,21,1.118,320.0,120.0,8664,-965,30,27,0.963,320.9,152.0
347,10960,-2350,37,26,0.929,421.5,174.0,6020,54,25,18,1.003,334.4,140.0,4940,-2404,12,8,0.838,617.5,247.0
348,13337,18,53,38,1.0,351.0,146.6,8211,2083,38,31,1.085,264.9,119.0,5126,-2065,15,7,0.866,732.3,233.0
349,11814,742,49,31,1.021,381.1,147.7,5610,-254,21,12,0.985,467.5,170.0,6204,996,28,19,1.054,326.5,132.0
350,15239,-1044,53,46,0.977,331.3,153.9,7130,165,28,18,1.008,396.1,155.0,8109,-1209,25,28,0.95,289.6,153.0
351,14019,-444,53,32,0.989,438.1,164.9,6771,-814,24,13,0.96,520.8,183.0,7248,370,29,19,1.017,381.5,151.0
352,14609,-881,54,33,0.98,442.7,167.9,7693,362,31,18,1.016,427.4,157.0,6916,-1243,23,15,0.94,461.1,182.0
353,14404,-1043,45,49,0.976,294.0,153.2,7009,-1104,18,25,0.947,280.4,163.0,7395,61,27,24,1.003,308.1,145.0
354,13552,3373,65,43,1.083,315.2,125.5,6480,-378,26,14,0.981,462.9,162.0,7072,3751,39,29,1.177,243.9,104.0
355,16805,7578,84,78,1.15,215.4,103.7,9379,3542,46,37,1.126,253.5,113.0,7426,4036,38,41,1.181,181.1,94.0
356,13617,1126,57,36,1.028,378.2,146.4,7380,2648,38,22,1.12,335.5,123.0,6237,-1522,19,14,0.919,445.5,189.0
357,11922,-1148,46,29,0.968,411.1,159.0,4290,-1597,12,10,0.876,429.0,195.0,7632,449,34,19,1.02,401.7,144.0
358,13894,1235,64,35,1.03,397.0,140.3,8122,1777,41,21,1.073,386.8,131.0,5772,-542,23,14,0.969,412.3,156.0
359,13509,-964,52,33,0.976,409.4,158.9,6579,135,27,16,1.007,411.2,153.0,6930,-1099,25,17,0.947,407.6,165.0
390,17619,3342,69,76,1.063,231.8,121.5,8591,2422,40,31,1.094,277.1,121.0,9028,920,29,45,1.034,200.6,122.0
391,19113,2978,73,81,1.052,236.0,124.1,9477,2013,39,42,1.071,225.6,117.0,9636,965,34,39,1.033,247.1,132.0
392,17319,174,63,62,1.003,279.3,138.6,8646,681,34,32,1.026,270.2,131.0,8673,-507,29,30,0.981,289.1,147.0
393,17082,3047,69,74,1.059,230.8,119.5,8640,3554,42,38,1.137,227.4,108.0,8442,-507,27,36,0.98,234.5,134.0
394,15648,1460,61,51,1.031,306.8,139.7,7872,1822,32,32,1.077,246.0,123.0,7776,-362,29,19,0.984,409.3,162.0
395,12268,-2219,39,33,0.94,371.8,170.4,6808,-355,25,21,0.983,324.2,148.0,5460,-1864,14,12,0.886,455.0,210.0
396,14584,-623,58,32,0.986,455.8,162.0,6475,-877,24,13,0.955,498.1,175.0,8109,254,34,19,1.01,426.8,153.0
397,12248,-307,47,33,0.992,371.2,153.1,4296,-1272,12,12,0.901,358.0,179.0,7952,965,35,21,1.04,378.7,142.0
398,12937,-839,48,32,0.978,404.3,161.7,5511,-814,19,14,0.951,393.6,167.0,7426,-25,29,18,0.999,412.6,158.0
413,14608,-729,54,52,0.983,280.9,137.8,6256,-1578,22,12,0.916,521.3,184.0,8352,849,32,40,1.034,208.8,116.0
414,14587,1810,59,58,1.041,251.5,124.7,5152,-1064,17,15,0.931,343.5,161.0,9435,2874,42,43,1.102,219.4,111.0
415,15060,-1237,58,40,0.973,376.5,153.7,6960,-57,29,19,0.997,366.3,145.0,8100,-1180,29,21,0.951,385.7,162.0
416,13348,634,52,43,1.016,310.4,140.5,5040,-1586,13,15,0.895,336.0,180.0,8308,2220,39,28,1.089,296.7,124.0
417,15815,1526,69,55,1.032,287.5,127.5,8280,1939,42,27,1.078,306.7,120.0,7535,-413,27,28,0.982,269.1,137.0
418,13258,-677,59,24,0.983,552.4,159.7,6570,119,30,15,1.006,438.0,146.0,6688,-796,29,9,0.96,743.1,176.0
419,16579,-1455,59,58,0.971,285.8,141.7,8494,-706,29,33,0.972,257.4,137.0,8085,-749,30,25,0.969,323.4,147.0
total,657903,11400,2589,1916,1.006,343.4,146.0,316100,14232,1290,914,1.015,345.8,143.4,341803,-2832,1299,1002,0.997,341.1,148.5
