,,GAME,MEDALS,BB,RB,MEDAL_RATE,RB_RATE,TOTAL_RATE,GAME,MEDALS,BB,RB,MEDAL_RATE,RB_RATE,TOTAL_RATE,GAME,MEDALS,BB,RB,MEDAL_RATE,RB_RATE,TOTAL_RATE,GAME,MEDALS,BB,RB,MEDAL_RATE,RB_RATE,TOTAL_RATE,GAME,MEDALS,BB,RB,MEDAL_RATE,RB_RATE,TOTAL_RATE
date,,total,total,total,total,total,total,total,2025-04-29 00:00:00,2025-04-29 00:00:00,2025-04-29 00:00:00,2025-04-29 00:00:00,2025-04-29 00:00:00,2025-04-29 00:00:00,2025-04-29 00:00:00,2025-03-29 00:00:00,2025-03-29 00:00:00,2025-03-29 00:00:00,2025-03-29 00:00:00,2025-03-29 00:00:00,2025-03-29 00:00:00,2025-03-29 00:00:00,2025-01-29 00:00:00,2025-01-29 00:00:00,2025-01-29 00:00:00,2025-01-29 00:00:00,2025-01-29 00:00:00,2025-01-29 00:00:00,2025-01-29 00:00:00,2024-12-29 00:00:00,2024-12-29 00:00:00,2024-12-29 00:00:00,2024-12-29 00:00:00,2024-12-29 00:00:00,2024-12-29 00:00:00,2024-12-29 00:00:00
area,unit_no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a: ゴーゴージャグラー3,1001,20154,-2762,63,67,0.954,300.8,155.0,6625,959,30,22,1.048,301.1,127.4,5305,-368,18,17,0.977,312.1,151.6,3418,-1453,6,12,0.858,284.8,189.9,4806,-1900,9,16,0.868,300.4,192.2
a: ゴーゴージャグラー3,1002,9216,-2313,25,25,0.916,368.6,184.3,929,-274,3,1,0.902,929.0,232.2,3394,-715,10,9,0.93,377.1,178.6,3256,-362,11,9,0.963,361.8,162.8,1637,-962,1,6,0.804,272.8,233.9
a: ゴーゴージャグラー3,1003,13856,633,54,41,1.015,338.0,145.9,3803,-85,14,14,0.993,271.6,135.8,3525,-209,12,10,0.98,352.5,160.2,1161,-679,2,2,0.805,580.5,290.2,5367,1606,26,15,1.1,357.8,130.9
a: ゴーゴージャグラー3,1004,24343,-86,95,62,0.999,392.6,155.1,7532,-1559,26,19,0.931,396.4,167.4,7585,97,30,18,1.004,421.4,158.0,2358,-256,8,5,0.964,471.6,181.4,6868,1632,31,20,1.079,343.4,134.7
a: ゴーゴージャグラー3,1005,16293,-4047,42,51,0.917,319.5,175.2,3383,-1629,7,11,0.839,307.5,187.9,7607,-1324,19,31,0.942,245.4,152.1,1019,-868,0,2,0.716,509.5,509.5,4284,-226,16,7,0.982,612.0,186.3
a: ゴーゴージャグラー3,1006,10484,-842,39,30,0.973,349.5,151.9,3214,-509,12,10,0.947,321.4,146.1,2940,-74,12,6,0.992,490.0,163.3,670,-121,3,0,0.94,,223.3,3660,-138,12,14,0.987,261.4,140.8
a: ゴーゴージャグラー3,1007,14069,809,53,45,1.019,312.6,143.6,526,-162,2,0,0.897,,263.0,6148,653,25,19,1.035,323.6,139.7,3565,403,13,15,1.038,237.7,127.3,3830,-85,13,11,0.993,348.2,159.6
a: ゴーゴージャグラー3,1008,14141,1295,63,38,1.031,372.1,140.0,7541,1065,35,22,1.047,342.8,132.3,1123,-285,4,2,0.915,561.5,187.2,3922,1500,21,11,1.127,356.5,122.6,1555,-985,3,3,0.789,518.3,259.2
a: ゴーゴージャグラー3,1009,20761,2064,80,76,1.033,273.2,133.1,2580,-150,10,8,0.981,322.5,143.3,9458,579,34,36,1.02,262.7,135.1,471,-350,1,0,0.752,,471.0,8252,1985,35,32,1.08,257.9,123.2
a: ゴーゴージャグラー3,1010,14261,-2671,44,41,0.938,347.8,167.8,4767,-591,16,17,0.959,280.4,144.5,5905,-335,20,17,0.981,347.4,159.6,2240,-1324,4,7,0.803,320.0,203.6,1349,-421,4,0,0.896,,337.2
b: ゴーゴージャグラー3,1011,26467,-1577,96,78,0.98,339.3,152.1,6845,-1312,21,21,0.936,326.0,163.0,3642,-959,11,9,0.912,404.7,182.1,7843,1406,35,27,1.06,290.5,126.5,8137,-712,29,21,0.971,387.5,162.7
b: ゴーゴージャグラー3,1012,9131,-574,36,21,0.979,434.8,160.2,4741,394,22,12,1.028,395.1,139.4,1845,-221,7,3,0.96,615.0,184.5,343,-285,0,1,0.723,343.0,343.0,2202,-462,7,5,0.93,440.4,183.5
b: ゴーゴージャグラー3,1013,23929,4042,104,81,1.056,295.4,129.3,5675,115,24,11,1.007,515.9,162.1,7231,2162,36,24,1.1,301.3,120.5,7540,2374,34,32,1.105,235.6,114.2,3483,-609,10,14,0.942,248.8,145.1
b: ゴーゴージャグラー3,1014,11109,-2532,34,25,0.924,444.4,188.3,770,-485,1,1,0.79,770.0,385.0,3549,174,15,8,1.016,443.6,154.3,1201,-709,2,2,0.803,600.5,300.2,5589,-1512,16,14,0.91,399.2,186.3
