,,GAME,MEDALS,MEDAL_RATE,RB_RATE,TOTAL_RATE,GAME,MEDALS,MEDAL_RATE,RB_RATE,TOTAL_RATE,GAME,MEDALS,MEDAL_RATE,RB_RATE,TOTAL_RATE,GAME,MEDALS,MEDAL_RATE,RB_RATE,TOTAL_RATE,GAME,MEDALS,MEDAL_RATE,RB_RATE,TOTAL_RATE,GAME,MEDALS,MEDAL_RATE,RB_RATE,TOTAL_RATE,GAME,MEDALS,MEDAL_RATE,RB_RATE,TOTAL_RATE
i: ゴーゴージャグラー3,809,22159,-3681,0.945,388.8,162.9,3600.0,-471.0,0.956,514.3,171.4,4408.0,-285.0,0.978,314.9,142.2,3633.0,-1291.0,0.882,403.7,181.6,3857.0,-448.0,0.961,385.7,160.7,4478.0,-483.0,0.964,298.5,149.3,2183.0,-703.0,0.893,1091.5,218.3
i: ゴーゴージャグラー3,810,15320,-1592,0.965,494.2,176.1,1725.0,-738.0,0.857,862.5,246.4,6585.0,29.0,1.001,365.8,153.1,900.0,-331.0,0.877,900.0,225.0,568.0,-180.0,0.894,568.0,189.3,4030.0,663.0,1.055,503.8,149.3,1512.0,-1035.0,0.772,1512.0,504.0
i: ゴーゴージャグラー3,811,20715,598,1.01,422.8,152.3,2439.0,1244.0,1.17,406.5,110.9,2787.0,988.0,1.118,1393.5,139.4,2554.0,-808.0,0.895,425.7,182.4,2897.0,110.0,1.013,413.9,144.8,2437.0,378.0,1.052,609.2,162.5,7601.0,-1314.0,0.942,316.7,168.9
i: ゴーゴージャグラー3,812,11910,-46,0.999,330.8,148.9,4308.0,134.0,1.01,287.2,139.0,1622.0,-215.0,0.956,324.4,162.2,843.0,0.0,1.0,281.0,140.5,854.0,-564.0,0.78,284.7,213.5,3975.0,1035.0,1.087,397.5,137.1,308.0,-436.0,0.528,,
i: ゴーゴージャグラー3,813,17834,-277,0.995,396.3,151.1,1119.0,-703.0,0.791,1119.0,279.8,2069.0,-331.0,0.947,689.7,188.1,5487.0,35.0,1.002,288.8,137.2,701.0,-587.0,0.721,701.0,350.5,6016.0,826.0,1.046,334.2,133.7,2442.0,483.0,1.066,814.0,152.6
i: ゴーゴージャグラー3,814,14861,-1466,0.967,464.4,167.0,835.0,-692.0,0.724,417.5,278.3,3087.0,-64.0,0.993,343.0,154.4,2795.0,308.0,1.037,310.6,127.0,4187.0,360.0,1.029,598.1,155.1,1886.0,-1081.0,0.809,,377.2,2071.0,-297.0,0.952,414.2,172.6
i: ゴーゴージャグラー3,815,20171,390,1.006,420.2,151.7,4525.0,-215.0,0.984,452.5,161.6,4108.0,-64.0,0.995,373.5,146.7,2403.0,41.0,1.006,480.6,150.2,2066.0,-715.0,0.885,413.2,187.8,4599.0,1640.0,1.119,511.0,135.3,2470.0,-297.0,0.96,308.8,154.4
i: ゴーゴージャグラー3,827,25408,-2686,0.965,409.8,161.8,6236.0,-1174.0,0.937,311.8,152.1,3888.0,-1663.0,0.857,277.7,194.4,1458.0,-820.0,0.813,729.0,243.0,4163.0,157.0,1.013,594.7,160.1,4422.0,-709.0,0.947,631.7,192.3,5241.0,1523.0,1.097,436.8,127.8
i: ゴーゴージャグラー3,828,19628,-4470,0.924,306.7,160.9,1168.0,-552.0,0.842,292.0,194.7,874.0,-576.0,0.78,874.0,291.3,3148.0,-1616.0,0.829,314.8,196.8,3575.0,-994.0,0.907,275.0,162.5,2525.0,-1174.0,0.845,631.2,229.5,8338.0,442.0,1.018,260.6,130.3
i: ゴーゴージャグラー3,829,24480,1662,1.023,313.8,137.5,8203.0,953.0,1.039,256.3,132.3,777.0,-320.0,0.863,,259.0,2717.0,401.0,1.049,339.6,143.0,2507.0,-64.0,0.991,417.8,147.5,1833.0,-855.0,0.845,305.5,183.3,8443.0,1547.0,1.061,324.7,126.0
i: ゴーゴージャグラー3,830,21214,-2245,0.965,378.8,154.8,4187.0,-1384.0,0.89,598.1,199.4,4580.0,378.0,1.028,416.4,143.1,601.0,-587.0,0.674,,601.0,848.0,-285.0,0.888,848.0,212.0,6688.0,174.0,1.009,278.7,133.8,4310.0,-541.0,0.958,331.5,148.6
i: ゴーゴージャグラー3,831,17406,-3314,0.937,355.2,164.2,2619.0,-593.0,0.925,261.9,154.1,2418.0,-634.0,0.913,268.7,161.2,1862.0,-616.0,0.89,931.0,206.9,2307.0,-738.0,0.893,329.6,164.8,5471.0,-599.0,0.964,364.7,156.3,2729.0,-134.0,0.984,454.8,170.6
i: ゴーゴージャグラー3,832,24784,-2953,0.96,295.0,146.7,2597.0,-343.0,0.956,519.4,173.1,772.0,-750.0,0.676,772.0,386.0,6603.0,-52.0,0.997,300.1,137.6,2011.0,-983.0,0.837,251.4,167.6,4577.0,-808.0,0.941,326.9,163.5,8224.0,-17.0,0.999,241.9,128.5
i: ゴーゴージャグラー3,833,28765,3180,1.037,290.6,131.9,8847.0,1930.0,1.073,201.1,113.4,1718.0,-250.0,0.951,343.6,171.8,5440.0,1337.0,1.082,388.6,126.5,686.0,-436.0,0.788,686.0,343.0,7727.0,1035.0,1.045,386.4,138.0,4347.0,-436.0,0.967,289.8,149.9
i: ゴーゴージャグラー3,834,24242,2976,1.041,310.8,129.6,718.0,-552.0,0.744,359.0,239.3,2750.0,773.0,1.094,343.8,131.0,7485.0,2395.0,1.107,226.8,110.1,8636.0,1035.0,1.04,332.2,127.0,2178.0,-797.0,0.878,363.0,181.5,2475.0,122.0,1.016,825.0,165.0
i: ゴーゴージャグラー3,835,19595,-1320,0.978,316.0,150.7,2697.0,-622.0,0.923,269.7,158.6,5436.0,-250.0,0.985,302.0,151.0,2920.0,459.0,1.052,265.5,121.7,2012.0,-587.0,0.903,402.4,182.9,1133.0,-471.0,0.861,1133.0,226.6,5397.0,151.0,1.009,317.5,145.9
i: ゴーゴージャグラー3,836,25164,2239,1.03,405.9,139.8,7217.0,587.0,1.027,424.5,141.5,974.0,-273.0,0.907,974.0,194.8,4609.0,1593.0,1.115,288.1,112.4,3098.0,-203.0,0.978,442.6,154.9,5936.0,1570.0,1.088,312.4,116.4,3330.0,-1035.0,0.896,1665.0,277.5
i: ゴーゴージャグラー3,837,13924,-4093,0.902,296.3,163.8,3818.0,-1174.0,0.898,238.6,152.7,1060.0,-250.0,0.921,353.3,176.7,366.0,-262.0,0.761,,366.0,2238.0,-634.0,0.906,447.6,172.2,2128.0,-436.0,0.932,236.4,141.9,4314.0,-1337.0,0.897,308.1,172.6
i: ゴーゴージャグラー3,838,19890,82,1.001,310.8,145.2,870.0,-703.0,0.731,435.0,290.0,3383.0,-715.0,0.93,338.3,161.1,4625.0,965.0,1.07,256.9,121.7,2274.0,320.0,1.047,324.9,133.8,6379.0,907.0,1.047,303.8,138.7,2359.0,-692.0,0.902,393.2,196.6
