,,GAME,MEDALS,MEDAL_RATE,RB_RATE,TOTAL_RATE,GAME,MEDALS,MEDAL_RATE,RB_RATE,TOTAL_RATE,GAME,MEDALS,MEDAL_RATE,RB_RATE,TOTAL_RATE,GAME,MEDALS,MEDAL_RATE,RB_RATE,TOTAL_RATE,GAME,MEDALS,MEDAL_RATE,RB_RATE,TOTAL_RATE,GAME,MEDALS,MEDAL_RATE,RB_RATE,TOTAL_RATE,GAME,MEDALS,MEDAL_RATE,RB_RATE,TOTAL_RATE
date,,total,total,total,total,total,2025-05-06 00:00:00,2025-05-06 00:00:00,2025-05-06 00:00:00,2025-05-06 00:00:00,2025-05-06 00:00:00,2025-04-06 00:00:00,2025-04-06 00:00:00,2025-04-06 00:00:00,2025-04-06 00:00:00,2025-04-06 00:00:00,2025-03-06 00:00:00,2025-03-06 00:00:00,2025-03-06 00:00:00,2025-03-06 00:00:00,2025-03-06 00:00:00,2025-02-06 00:00:00,2025-02-06 00:00:00,2025-02-06 00:00:00,2025-02-06 00:00:00,2025-02-06 00:00:00,2025-01-06 00:00:00,2025-01-06 00:00:00,2025-01-06 00:00:00,2025-01-06 00:00:00,2025-01-06 00:00:00,2024-12-06 00:00:00,2024-12-06 00:00:00,2024-12-06 00:00:00,2024-12-06 00:00:00,2024-12-06 00:00:00
area,unit_no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
d: マイジャグラーV,797,18255,-383,0.993,351.1,150.9,3163.0,-878.0,0.907,451.9,197.7,5061.0,1035.0,1.068,337.4,129.8,767.0,-494.0,0.785,383.5,255.7,4344.0,919.0,1.071,334.2,131.6,3700.0,-308.0,0.972,284.6,148.0,1220.0,-657.0,0.82,610.0,244.0
d: マイジャグラーV,798,25977,366,1.005,351.0,148.4,6882.0,105.0,1.005,344.1,146.4,4414.0,-471.0,0.964,339.5,157.6,2199.0,-1035.0,0.843,366.5,219.9,2024.0,-669.0,0.89,404.8,184.0,6665.0,2349.0,1.117,333.2,123.4,3793.0,87.0,1.008,379.3,151.7
d: マイジャグラーV,799,21729,-1220,0.981,472.4,168.4,2058.0,-843.0,0.863,411.6,205.8,5324.0,576.0,1.036,380.3,143.9,838.0,-308.0,0.877,,279.3,5357.0,-122.0,0.992,765.3,184.7,6724.0,29.0,1.001,373.6,152.8,1428.0,-552.0,0.871,714.0,238.0
d: マイジャグラーV,800,19435,1925,1.033,308.5,141.9,5972.0,3233.0,1.18,238.9,104.8,2343.0,-750.0,0.893,468.6,213.0,1023.0,-634.0,0.793,511.5,255.8,1311.0,378.0,1.096,262.2,131.1,6443.0,215.0,1.011,280.1,146.4,2343.0,-517.0,0.926,781.0,213.0
d: マイジャグラーV,801,26850,-628,0.992,298.3,145.9,3943.0,-878.0,0.926,328.6,179.2,8478.0,349.0,1.014,273.5,136.7,239.0,-366.0,0.49,,,5571.0,151.0,1.009,309.5,142.8,4650.0,180.0,1.013,357.7,150.0,3969.0,-64.0,0.995,248.1,132.3
d: マイジャグラーV,802,19613,1319,1.022,276.2,137.2,5418.0,506.0,1.031,246.3,126.0,1272.0,-1012.0,0.735,636.0,424.0,2225.0,-250.0,0.963,556.2,185.4,3581.0,2349.0,1.219,188.5,94.2,6134.0,267.0,1.015,292.1,142.7,983.0,-541.0,0.817,327.7,245.8
d: マイジャグラーV,803,12800,-1255,0.967,492.3,170.7,6050.0,593.0,1.033,355.9,140.7,1375.0,-1058.0,0.744,458.3,343.8,528.0,-250.0,0.842,,264.0,731.0,-308.0,0.86,,365.5,3195.0,390.0,1.041,532.5,145.2,921.0,-622.0,0.775,,460.5
d: マイジャグラーV,804,29800,4011,1.045,354.8,139.3,4046.0,988.0,1.081,238.0,112.4,7419.0,407.0,1.018,412.2,151.4,2508.0,-76.0,0.99,836.0,192.9,6493.0,2116.0,1.109,309.2,122.5,7876.0,1000.0,1.042,358.0,140.6,1458.0,-424.0,0.903,486.0,208.3
d: マイジャグラーV,805,17995,2605,1.048,352.8,140.6,6042.0,2349.0,1.13,431.6,125.9,1800.0,-750.0,0.861,450.0,225.0,1828.0,-355.0,0.935,457.0,203.1,1189.0,-715.0,0.8,594.5,297.2,2242.0,-924.0,0.863,448.4,224.2,4894.0,3000.0,1.204,222.5,99.9
d: マイジャグラーV,806,20842,-2092,0.967,378.9,165.4,5418.0,-378.0,0.977,541.8,186.8,5884.0,-779.0,0.956,267.5,147.1,312.0,-366.0,0.609,,,704.0,-936.0,0.557,,,8090.0,640.0,1.026,351.7,144.5,434.0,-273.0,0.79,,434.0
