,,GAME,MEDALS,BB,RB,MEDAL_RATE,RB_RATE,TOTAL_RATE,GAME,MEDALS,BB,RB,MEDAL_RATE,RB_RATE,TOTAL_RATE,GAME,MEDALS,BB,RB,MEDAL_RATE,RB_RATE,TOTAL_RATE,GAME,MEDALS,BB,RB,MEDAL_RATE,RB_RATE,TOTAL_RATE,GAME,MEDALS,BB,RB,MEDAL_RATE,RB_RATE,TOTAL_RATE,GAME,MEDALS,BB,RB,MEDAL_RATE,RB_RATE,TOTAL_RATE
date,,total,total,total,total,total,total,total,2025-04-25 00:00:00,2025-04-25 00:00:00,2025-04-25 00:00:00,2025-04-25 00:00:00,2025-04-25 00:00:00,2025-04-25 00:00:00,2025-04-25 00:00:00,2025-02-25 00:00:00,2025-02-25 00:00:00,2025-02-25 00:00:00,2025-02-25 00:00:00,2025-02-25 00:00:00,2025-02-25 00:00:00,2025-02-25 00:00:00,2025-01-25 00:00:00,2025-01-25 00:00:00,2025-01-25 00:00:00,2025-01-25 00:00:00,2025-01-25 00:00:00,2025-01-25 00:00:00,2025-01-25 00:00:00,2024-12-25 00:00:00,2024-12-25 00:00:00,2024-12-25 00:00:00,2024-12-25 00:00:00,2024-12-25 00:00:00,2024-12-25 00:00:00,2024-12-25 00:00:00,2024-11-25 00:00:00,2024-11-25 00:00:00,2024-11-25 00:00:00,2024-11-25 00:00:00,2024-11-25 00:00:00,2024-11-25 00:00:00,2024-11-25 00:00:00
area,unit_no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
その他,416,17173,-1172,62,46,0.977,373.3,159.0,2022.0,-895.0,3.0,6.0,0.852,337.0,224.7,2270.0,-1267.0,4.0,8.0,0.814,283.8,189.2,8016.0,1244.0,35.0,22.0,1.052,364.4,140.6,1925.0,-410.0,6.0,6.0,0.929,320.8,160.4,2940.0,156.0,14.0,4.0,1.018,735.0,163.3
その他,417,26765,-457,100,76,0.994,352.2,152.1,7270.0,640.0,29.0,23.0,1.029,316.1,139.8,5502.0,640.0,22.0,19.0,1.039,289.6,134.2,6850.0,-560.0,25.0,18.0,0.973,380.6,159.3,5213.0,-323.0,20.0,13.0,0.979,401.0,158.0,1930.0,-854.0,4.0,3.0,0.853,643.3,275.7
その他,418,15410,-1833,50,48,0.96,321.0,157.2,4391.0,285.0,18.0,13.0,1.022,337.8,141.6,1157.0,203.0,6.0,1.0,1.058,1157.0,165.3,4188.0,-7.0,16.0,14.0,0.999,299.1,139.6,861.0,-394.0,2.0,1.0,0.847,861.0,287.0,4813.0,-1920.0,8.0,19.0,0.867,253.3,178.3
その他,419,17630,-1560,65,44,0.971,400.7,161.7,4092.0,-122.0,17.0,8.0,0.99,511.5,163.7,3588.0,320.0,16.0,9.0,1.03,398.7,143.5,5625.0,-474.0,20.0,15.0,0.972,375.0,160.7,716.0,-536.0,1.0,1.0,0.75,716.0,358.0,3609.0,-748.0,11.0,11.0,0.931,328.1,164.0
その他,420,20646,-1296,74,57,0.979,362.2,157.6,5813.0,1012.0,27.0,15.0,1.058,387.5,138.4,2278.0,-773.0,8.0,2.0,0.887,1139.0,227.8,5925.0,-752.0,19.0,18.0,0.958,329.2,160.1,4086.0,-433.0,11.0,17.0,0.965,240.4,145.9,2544.0,-350.0,9.0,5.0,0.954,508.8,181.7
その他,421,14072,-578,56,27,0.986,521.2,169.5,1905.0,436.0,9.0,5.0,1.076,381.0,136.1,3001.0,-541.0,9.0,8.0,0.94,375.1,176.5,3982.0,-176.0,15.0,8.0,0.985,497.8,173.1,2072.0,-138.0,8.0,3.0,0.978,690.7,188.4,3112.0,-159.0,15.0,3.0,0.983,1037.3,172.9
その他,422,15116,1769,65,37,1.039,408.5,148.2,3640.0,1081.0,17.0,11.0,1.099,330.9,130.0,1163.0,-483.0,3.0,2.0,0.862,581.5,232.6,7305.0,2037.0,36.0,19.0,1.093,384.5,132.8,2133.0,-136.0,8.0,4.0,0.979,533.2,177.8,875.0,-730.0,1.0,1.0,0.722,875.0,437.5
その他,423,10798,-1700,39,14,0.948,771.3,203.7,1507.0,-157.0,6.0,1.0,0.965,1507.0,215.3,4191.0,221.0,18.0,7.0,1.018,598.7,167.6,2553.0,-392.0,10.0,1.0,0.949,2553.0,232.1,1644.0,-440.0,5.0,2.0,0.911,822.0,234.9,903.0,-932.0,0.0,3.0,0.656,301.0,301.0
その他,424,19270,370,72,57,1.006,338.1,149.4,1740.0,-506.0,6.0,1.0,0.903,1740.0,248.6,3667.0,-262.0,13.0,8.0,0.976,458.4,174.6,4938.0,361.0,21.0,12.0,1.024,411.5,149.6,1431.0,-891.0,3.0,0.0,0.792,,477.0,7494.0,1668.0,29.0,36.0,1.074,208.2,115.3
その他,425,15772,-3212,48,39,0.932,404.4,181.3,3260.0,-1523.0,6.0,8.0,0.844,407.5,232.9,2879.0,250.0,13.0,4.0,1.029,719.8,169.4,4205.0,-812.0,12.0,11.0,0.936,382.3,182.8,3605.0,-652.0,12.0,9.0,0.94,400.6,171.7,1823.0,-475.0,5.0,7.0,0.913,260.4,151.9
その他,426,8226,-3481,18,19,0.859,432.9,222.3,1642.0,-1012.0,3.0,1.0,0.795,1642.0,410.5,1297.0,-145.0,4.0,4.0,0.963,324.2,162.1,4027.0,-1604.0,9.0,11.0,0.867,366.1,201.4,745.0,-214.0,2.0,1.0,0.904,745.0,248.3,515.0,-506.0,0.0,2.0,0.672,257.5,257.5
その他,427,26522,2098,104,90,1.026,294.7,136.7,6555.0,-587.0,23.0,18.0,0.97,364.2,159.9,1028.0,-494.0,2.0,2.0,0.84,514.0,257.0,7103.0,2140.0,32.0,30.0,1.1,236.8,114.6,6107.0,-270.0,20.0,27.0,0.985,226.2,129.9,5729.0,1309.0,27.0,13.0,1.076,440.7,143.2
その他,428,21450,-2615,74,58,0.959,369.8,162.5,6002.0,-2395.0,14.0,17.0,0.867,353.1,193.6,5029.0,657.0,22.0,13.0,1.044,386.8,143.7,5067.0,-755.0,17.0,13.0,0.95,389.8,168.9,3434.0,100.0,14.0,10.0,1.01,343.4,143.1,1918.0,-222.0,7.0,5.0,0.961,383.6,159.8
その他,429,12010,-698,49,23,0.981,522.2,166.8,1950.0,-203.0,7.0,5.0,0.965,390.0,162.5,3007.0,238.0,13.0,7.0,1.026,429.6,150.4,4097.0,102.0,19.0,6.0,1.008,682.8,163.9,850.0,-366.0,2.0,2.0,0.856,425.0,212.5,2106.0,-469.0,8.0,3.0,0.926,702.0,191.5
その他,430,19543,194,72,59,1.003,331.2,149.2,5913.0,1977.0,27.0,21.0,1.111,281.6,123.2,1223.0,-203.0,4.0,3.0,0.945,407.7,174.7,6241.0,-1248.0,19.0,17.0,0.933,367.1,173.4,2667.0,-311.0,7.0,10.0,0.961,266.7,156.9,3499.0,-21.0,15.0,8.0,0.998,437.4,152.1
その他,431,19585,114,80,47,1.002,416.7,154.2,4030.0,343.0,17.0,8.0,1.028,503.8,161.2,2195.0,-331.0,9.0,2.0,0.95,1097.5,199.5,6325.0,1523.0,30.0,21.0,1.08,301.2,124.0,4325.0,-943.0,14.0,12.0,0.927,360.4,166.3,2710.0,-478.0,10.0,4.0,0.941,677.5,193.6
その他,432,19026,-1723,72,50,0.97,380.5,156.0,6780.0,-285.0,26.0,23.0,0.986,294.8,138.4,2572.0,-1314.0,4.0,10.0,0.83,257.2,183.7,5903.0,814.0,28.0,14.0,1.046,421.6,140.5,1253.0,-1038.0,2.0,0.0,0.724,,626.5,2518.0,100.0,12.0,3.0,1.013,839.3,167.9
その他,433,20773,2700,94,62,1.043,335.0,133.2,2277.0,-564.0,6.0,9.0,0.917,253.0,151.8,5531.0,314.0,24.0,13.0,1.019,425.5,149.5,3897.0,-562.0,13.0,11.0,0.952,354.3,162.4,5479.0,3024.0,33.0,21.0,1.184,260.9,101.5,3589.0,488.0,18.0,8.0,1.045,448.6,138.0
