,,GAME,MEDALS,MEDAL_RATE,RB_RATE,TOTAL_RATE,GAME,MEDALS,MEDAL_RATE,RB_RATE,TOTAL_RATE,GAME,MEDALS,MEDAL_RATE,RB_RATE,TOTAL_RATE,GAME,MEDALS,MEDAL_RATE,RB_RATE,TOTAL_RATE,GAME,MEDALS,MEDAL_RATE,RB_RATE,TOTAL_RATE
c: アイムジャグラーEX-TP,866,9050,-2297,0.915,393.5,181.0,2522.0,-1570.0,0.792,420.3,252.2,1818.0,-826.0,0.849,363.6,202.0,4710.0,99.0,1.007,392.5,151.9,,,,,
c: アイムジャグラーEX-TP,867,7530,-681,0.97,376.5,163.7,2717.0,-541.0,0.934,452.8,181.1,982.0,-506.0,0.828,,327.3,3831.0,366.0,1.032,273.6,136.8,,,,,
c: アイムジャグラーEX-TP,868,8347,-227,0.991,379.4,160.5,1107.0,-541.0,0.837,369.0,221.4,2187.0,52.0,1.008,546.8,168.2,5053.0,262.0,1.017,336.9,148.6,,,,,
c: アイムジャグラーEX-TP,869,4558,-907,0.934,569.8,189.9,3640.0,29.0,1.003,606.7,165.5,918.0,-936.0,0.66,459.0,459.0,,,,,,,,,,
c: アイムジャグラーEX-TP,870,3865,-1773,0.847,386.5,227.4,1663.0,-1244.0,0.751,831.5,415.8,2202.0,-529.0,0.92,275.2,169.4,,,,,,,,,,
c: アイムジャグラーEX-TP,871,7919,-1645,0.931,416.8,176.0,3305.0,-308.0,0.969,1101.7,194.4,4614.0,-1337.0,0.903,288.4,164.8,,,,,,,,,,
c: アイムジャグラーEX-TP,872,2789,157,1.019,557.8,164.1,1391.0,-552.0,0.868,695.5,231.8,1398.0,709.0,1.169,466.0,127.1,,,,,,,,,,
c: アイムジャグラーEX-TP,873,2160,-1046,0.839,360.0,240.0,1466.0,-738.0,0.832,366.5,244.3,694.0,-308.0,0.852,347.0,231.3,,,,,,,,,,
c: アイムジャグラーEX-TP,874,3740,854,1.076,623.3,149.6,1502.0,-227.0,0.95,751.0,187.8,2238.0,1081.0,1.161,559.5,131.6,,,,,,,,,,
c: アイムジャグラーEX-TP,875,1164,-884,0.747,1164.0,388.0,659.0,-587.0,0.703,,659.0,505.0,-297.0,0.804,505.0,252.5,,,,,,,,,,
c: アイムジャグラーEX-TP,876,2527,81,1.011,2527.0,194.4,1523.0,-227.0,0.95,1523.0,217.6,1004.0,308.0,1.102,,167.3,,,,,,,,,,
c: アイムジャグラーEX-TP,877,5280,1238,1.078,660.0,155.3,4202.0,1128.0,1.089,700.3,155.6,1078.0,110.0,1.034,539.0,154.0,,,,,,,,,,
c: アイムジャグラーEX-TP,878,1418,-1070,0.748,354.5,283.6,576.0,-541.0,0.687,576.0,576.0,842.0,-529.0,0.791,280.7,210.5,,,,,,,,,,
c: アイムジャグラーEX-TP,879,2159,-1186,0.817,269.9,196.3,1969.0,-936.0,0.842,246.1,179.0,190.0,-250.0,0.561,,,,,,,,,,,,
c: アイムジャグラーEX-TP,880,3280,-511,0.948,1093.3,192.9,1574.0,-87.0,0.982,787.0,174.9,1706.0,-424.0,0.917,1706.0,213.2,,,,,,,,,,
c: アイムジャグラーEX-TP,881,1305,-849,0.783,652.5,326.2,538.0,-366.0,0.773,,538.0,767.0,-483.0,0.79,383.5,255.7,,,,,,,,,,
c: アイムジャグラーEX-TP,882,4811,-1174,0.919,300.7,165.9,4494.0,-843.0,0.937,280.9,155.0,317.0,-331.0,0.652,,,,,,,,,,,,
d: マイジャグラーV,789,23541,5169,1.073,367.8,133.0,6917.0,1198.0,1.058,276.7,123.5,4596.0,988.0,1.072,510.7,143.6,7267.0,2721.0,1.125,363.4,123.2,4761.0,262.0,1.018,476.1,158.7
d: マイジャグラーV,790,17658,-1215,0.977,367.9,157.7,3526.0,-1477.0,0.86,503.7,220.4,3668.0,-1453.0,0.868,733.6,244.5,3514.0,215.0,1.02,390.4,152.8,6950.0,1500.0,1.072,257.4,119.8
d: マイジャグラーV,791,15285,552,1.012,305.7,144.2,7325.0,1058.0,1.048,252.6,130.8,1266.0,87.0,1.023,1266.0,180.9,5188.0,-436.0,0.972,288.2,148.2,1506.0,-157.0,0.965,753.0,188.2
d: マイジャグラーV,792,22665,3342,1.049,302.2,131.8,6784.0,-669.0,0.967,339.2,165.5,4666.0,1430.0,1.102,259.2,116.6,5481.0,1314.0,1.08,274.0,124.6,5734.0,1267.0,1.074,337.3,122.0
d: マイジャグラーV,793,21939,-12,1.0,318.0,146.3,7403.0,-1105.0,0.95,336.5,160.9,4183.0,-506.0,0.96,298.8,154.9,6503.0,1756.0,1.09,260.1,120.4,3850.0,-157.0,0.986,481.2,167.4
d: マイジャグラーV,794,14376,-1959,0.955,449.2,175.3,4707.0,-1093.0,0.923,392.2,181.0,1028.0,-157.0,0.949,1028.0,205.6,2725.0,-424.0,0.948,681.2,194.6,5916.0,-285.0,0.984,394.4,159.9
d: マイジャグラーV,795,18221,-2407,0.956,379.6,164.2,5994.0,-360.0,0.98,315.5,146.2,3196.0,-285.0,0.97,290.5,145.3,5323.0,-820.0,0.949,443.6,177.4,3708.0,-942.0,0.915,618.0,206.0
d: マイジャグラーV,796,20669,-1808,0.971,328.1,156.6,7541.0,453.0,1.02,269.3,139.6,5963.0,-453.0,0.975,372.7,156.9,2193.0,-913.0,0.861,438.6,219.3,4972.0,-895.0,0.94,355.1,165.7
d: マイジャグラーV,797,13754,-1883,0.954,491.2,183.4,3676.0,-1360.0,0.877,919.0,262.6,2260.0,529.0,1.078,376.7,132.9,4012.0,192.0,1.016,401.2,154.3,3806.0,-1244.0,0.891,475.8,211.4
d: マイジャグラーV,798,14462,-384,0.991,498.7,170.1,3293.0,-1802.0,0.818,658.6,299.4,2614.0,715.0,1.091,373.4,130.7,3155.0,273.0,1.029,788.8,166.1,5400.0,430.0,1.027,415.4,154.3
d: マイジャグラーV,799,15750,459,1.01,366.3,148.6,6447.0,802.0,1.041,379.2,140.2,2038.0,459.0,1.075,407.6,127.4,1972.0,-738.0,0.875,394.4,197.2,5293.0,-64.0,0.996,330.8,155.7
d: マイジャグラーV,800,19207,-3191,0.945,349.2,168.5,8863.0,-959.0,0.964,316.5,155.5,3665.0,1105.0,1.101,366.5,130.9,3362.0,-1267.0,0.874,280.2,176.9,3317.0,-2070.0,0.792,663.4,331.7
d: マイジャグラーV,801,13730,-3099,0.925,416.1,185.5,5495.0,-587.0,0.964,392.5,171.7,991.0,-157.0,0.947,991.0,198.2,2852.0,-878.0,0.897,356.5,190.1,4392.0,-1477.0,0.888,439.2,199.6
d: マイジャグラーV,802,17316,1290,1.025,376.4,139.6,7581.0,1453.0,1.064,329.6,130.7,2292.0,703.0,1.102,573.0,134.8,3161.0,-1267.0,0.866,632.2,210.7,4282.0,401.0,1.031,305.9,125.9
d: マイジャグラーV,803,20383,-372,0.994,313.6,147.7,8279.0,1128.0,1.045,250.9,127.4,2398.0,76.0,1.011,266.4,141.1,5926.0,-378.0,0.979,370.4,155.9,3780.0,-1198.0,0.894,540.0,210.0
d: マイジャグラーV,804,13318,-2081,0.948,512.2,182.4,6073.0,-203.0,0.989,433.8,159.8,1252.0,-390.0,0.896,313.0,208.7,4236.0,-994.0,0.922,847.2,211.8,1757.0,-494.0,0.906,585.7,195.2
d: マイジャグラーV,805,21353,-1854,0.971,410.6,165.5,5918.0,1826.0,1.103,422.7,131.5,4455.0,-1267.0,0.905,318.2,178.2,5292.0,122.0,1.008,481.1,155.6,5688.0,-2535.0,0.851,437.5,227.5
d: マイジャグラーV,806,16724,-593,0.988,418.1,162.4,6965.0,459.0,1.022,435.3,154.8,977.0,-308.0,0.895,,244.2,3363.0,-878.0,0.913,373.7,177.0,5419.0,134.0,1.008,361.3,154.8
d: マイジャグラーV,807,15417,-2796,0.94,453.4,181.4,5607.0,244.0,1.015,400.5,151.5,2701.0,-1058.0,0.869,385.9,192.9,2970.0,-645.0,0.928,424.3,185.6,4139.0,-1337.0,0.892,689.8,229.9
d: マイジャグラーV,808,21359,-471,0.993,314.1,147.3,7792.0,-1802.0,0.923,268.7,155.8,2365.0,-733.0,0.897,295.6,181.9,4667.0,-331.0,0.976,666.7,179.5,6535.0,2395.0,1.122,272.3,116.7
e: ファンキージャグラー2,819,11406,-808,0.976,407.4,165.3,3667.0,99.0,1.009,407.4,146.7,901.0,0.0,1.0,450.5,180.2,3190.0,-680.0,0.929,290.0,167.9,3648.0,-227.0,0.979,608.0,182.4
e: ファンキージャグラー2,820,10044,1070,1.036,478.3,154.5,1663.0,-703.0,0.859,554.3,237.6,886.0,-343.0,0.871,443.0,221.5,4296.0,1616.0,1.125,358.0,126.4,3199.0,500.0,1.052,799.8,160.0
e: ファンキージャグラー2,821,6509,-1250,0.936,929.9,210.0,1936.0,-686.0,0.882,,276.6,336.0,157.0,1.156,,168.0,2065.0,-424.0,0.932,688.3,206.5,2172.0,-297.0,0.954,543.0,181.0
e: ファンキージャグラー2,822,7576,-2099,0.908,631.3,204.8,1665.0,-262.0,0.948,555.0,185.0,158.0,-250.0,0.473,,,2089.0,-320.0,0.949,2089.0,232.1,3664.0,-1267.0,0.885,458.0,192.8
e: ファンキージャグラー2,823,5153,-2139,0.862,644.1,224.0,2087.0,-610.0,0.903,2087.0,231.9,177.0,-134.0,0.748,177.0,177.0,1115.0,-936.0,0.72,,557.5,1774.0,-459.0,0.914,295.7,161.3
e: ファンキージャグラー2,824,11479,-1855,0.946,499.1,176.6,5797.0,-942.0,0.946,414.1,170.5,347.0,227.0,1.218,347.0,115.7,1320.0,-285.0,0.928,1320.0,220.0,4015.0,-855.0,0.929,573.6,182.5
e: ファンキージャグラー2,825,8835,1536,1.058,552.2,149.7,905.0,-401.0,0.852,452.5,226.2,25.0,-23.0,0.693,,,5184.0,1640.0,1.105,518.4,132.9,2721.0,320.0,1.039,680.2,170.1
e: ファンキージャグラー2,826,17099,-227,0.996,363.8,154.0,4774.0,-727.0,0.949,341.0,170.5,4623.0,1477.0,1.106,355.6,128.4,3108.0,-401.0,0.957,310.8,155.4,4594.0,-576.0,0.958,459.4,170.1
f: ウルトラミラクルジャグラー,860,6074,-1125,0.938,552.2,189.8,2574.0,-686.0,0.911,514.8,198.0,232.0,-15.0,0.978,,232.0,3268.0,-424.0,0.957,544.7,181.6,,,,,
f: ウルトラミラクルジャグラー,861,8245,-1501,0.939,358.5,171.8,3162.0,-948.0,0.9,451.7,197.6,179.0,-169.0,0.685,,,4904.0,-384.0,0.974,306.5,153.2,,,,,
f: ウルトラミラクルジャグラー,862,10553,-82,0.997,422.1,155.2,3100.0,-750.0,0.919,344.4,172.2,733.0,-390.0,0.823,,366.5,6720.0,1058.0,1.052,420.0,140.0,,,,,
f: ウルトラミラクルジャグラー,863,3204,-1338,0.861,1068.0,267.0,1509.0,-297.0,0.934,1509.0,215.6,385.0,-29.0,0.975,,192.5,1310.0,-1012.0,0.742,655.0,436.7,,,,,
f: ウルトラミラクルジャグラー,864,8806,-1883,0.929,463.5,191.4,5491.0,-203.0,0.988,422.4,161.5,173.0,-227.0,0.563,,,3142.0,-1453.0,0.846,523.7,261.8,,,,,
f: ウルトラミラクルジャグラー,865,7726,-1558,0.933,386.3,168.0,1952.0,-1035.0,0.823,278.9,195.2,63.0,-70.0,0.63,,,5711.0,-453.0,0.974,439.3,158.6,,,,,
g: ジャグラーガールズ,816,12414,1593,1.043,376.2,141.1,6383.0,1279.0,1.067,335.9,133.0,895.0,-99.0,0.963,447.5,149.2,1455.0,-366.0,0.916,485.0,181.9,3681.0,779.0,1.071,409.0,141.6
g: ジャグラーガールズ,817,12503,913,1.024,329.0,143.7,1052.0,-1058.0,0.665,1052.0,1052.0,329.0,-110.0,0.889,,329.0,7173.0,-35.0,0.998,326.0,146.4,3949.0,2116.0,1.179,263.3,109.7
g: ジャグラーガールズ,818,9887,-2489,0.916,581.6,197.7,1781.0,-762.0,0.857,890.5,222.6,530.0,366.0,1.23,176.7,88.3,4607.0,-500.0,0.964,658.1,184.3,2969.0,-1593.0,0.821,593.8,269.9
h: ハッピージャグラーVIII,849,6191,-111,0.994,476.2,158.7,235.0,-297.0,0.579,,,606.0,-622.0,0.658,,,2019.0,99.0,1.016,336.5,144.2,3331.0,709.0,1.071,475.9,133.2
h: ハッピージャグラーVIII,850,12661,1424,1.037,308.8,136.1,7093.0,1837.0,1.086,272.8,122.3,734.0,-308.0,0.86,244.7,183.5,2766.0,-471.0,0.943,395.1,172.9,2068.0,366.0,1.059,413.6,137.9
h: ハッピージャグラーVIII,851,4708,-1372,0.903,672.6,224.2,426.0,-529.0,0.586,,,140.0,-122.0,0.71,,,946.0,-343.0,0.879,,315.3,3196.0,-378.0,0.961,456.6,177.6
h: ハッピージャグラーVIII,852,7299,-1110,0.949,384.2,165.9,2977.0,-180.0,0.98,425.3,165.4,551.0,-308.0,0.814,551.0,275.5,558.0,0.0,1.0,558.0,186.0,3213.0,-622.0,0.935,321.3,153.0
h: ハッピージャグラーVIII,853,6981,-1895,0.91,367.4,174.5,1279.0,-901.0,0.765,639.5,319.8,402.0,-541.0,0.551,,,2384.0,-994.0,0.861,397.3,198.7,2916.0,541.0,1.062,265.1,121.5
h: ハッピージャグラーVIII,854,4088,-814,0.934,1022.0,194.7,1773.0,134.0,1.025,886.5,147.8,95.0,-169.0,0.407,,,805.0,-99.0,0.959,805.0,201.2,1415.0,-680.0,0.84,1415.0,283.0
h: ハッピージャグラーVIII,855,5913,-1726,0.903,454.8,197.1,1064.0,-169.0,0.947,532.0,212.8,667.0,-180.0,0.91,333.5,166.8,2251.0,-110.0,0.984,281.4,140.7,1931.0,-1267.0,0.781,1931.0,386.2
i: ゴーゴージャグラー3,809,11828,-2843,0.92,473.1,187.7,5941.0,-1105.0,0.938,330.1,165.0,443.0,-52.0,0.961,,221.5,2426.0,-855.0,0.883,1213.0,242.6,3018.0,-831.0,0.908,603.6,201.2
i: ゴーゴージャグラー3,810,6125,-1674,0.909,612.5,204.2,1133.0,-41.0,0.988,566.5,161.9,1028.0,-459.0,0.851,257.0,171.3,1537.0,-203.0,0.956,768.5,192.1,2427.0,-971.0,0.867,1213.5,269.7
i: ゴーゴージャグラー3,811,10017,-1314,0.956,477.0,175.7,3056.0,-471.0,0.949,436.6,160.8,182.0,-273.0,0.5,,,3507.0,-413.0,0.961,438.4,175.4,3272.0,-157.0,0.984,545.3,181.8
i: ゴーゴージャグラー3,812,6820,-1407,0.931,454.7,184.3,2473.0,-366.0,0.951,274.8,154.6,381.0,-285.0,0.751,,381.0,2131.0,-390.0,0.939,426.2,177.6,1835.0,-366.0,0.934,1835.0,229.4
i: ゴーゴージャグラー3,813,11787,779,1.022,436.6,153.1,4990.0,1930.0,1.129,332.7,118.8,1092.0,-134.0,0.959,546.0,182.0,2842.0,64.0,1.008,947.3,189.5,2863.0,-1081.0,0.874,409.0,204.5
i: ゴーゴージャグラー3,814,5917,-1023,0.942,493.1,174.0,1401.0,-622.0,0.852,467.0,200.1,515.0,-273.0,0.823,515.0,257.5,2225.0,52.0,1.008,445.0,148.3,1776.0,-180.0,0.966,592.0,177.6
i: ゴーゴージャグラー3,815,16132,2180,1.045,358.5,141.5,2573.0,-1523.0,0.803,367.6,233.9,642.0,-238.0,0.876,321.0,160.5,5630.0,1360.0,1.081,375.3,134.0,7287.0,2581.0,1.118,347.0,127.8
i: ゴーゴージャグラー3,827,16087,989,1.02,342.3,135.2,4010.0,-924.0,0.923,334.2,154.2,826.0,-203.0,0.918,826.0,206.5,5023.0,1081.0,1.072,418.6,132.2,6228.0,1035.0,1.055,283.1,122.1
i: ゴーゴージャグラー3,828,12157,-744,0.98,357.6,148.3,3297.0,-308.0,0.969,299.7,143.3,961.0,-471.0,0.837,480.5,240.2,4730.0,-250.0,0.982,394.2,147.8,3169.0,285.0,1.03,352.1,137.8
i: ゴーゴージャグラー3,829,9636,-978,0.966,566.8,169.1,1869.0,-41.0,0.993,623.0,169.9,246.0,-297.0,0.598,,,4056.0,-169.0,0.986,676.0,169.0,3465.0,-471.0,0.955,433.1,157.5
i: ゴーゴージャグラー3,830,7968,-1768,0.926,569.1,185.3,3801.0,453.0,1.04,422.3,140.8,246.0,-308.0,0.583,,,1736.0,-1523.0,0.708,,578.7,2185.0,-390.0,0.941,437.0,168.1
i: ゴーゴージャグラー3,831,16526,3233,1.065,243.0,118.0,5989.0,2442.0,1.136,181.5,99.8,589.0,76.0,1.043,589.0,147.2,5704.0,1035.0,1.06,271.6,121.4,4244.0,-320.0,0.975,326.5,146.3
i: ゴーゴージャグラー3,832,12141,-460,0.987,296.1,139.6,2304.0,-983.0,0.858,288.0,177.2,309.0,-145.0,0.844,,309.0,5279.0,1174.0,1.074,329.9,125.7,4249.0,-506.0,0.96,249.9,137.1
i: ゴーゴージャグラー3,833,16471,401,1.008,261.4,135.0,1072.0,-262.0,0.919,536.0,214.4,3533.0,-180.0,0.983,321.2,141.3,4830.0,477.0,1.033,439.1,146.4,7036.0,366.0,1.017,180.4,119.3
i: ゴーゴージャグラー3,834,6768,-1663,0.918,676.8,188.0,4022.0,-797.0,0.934,574.6,174.9,109.0,-145.0,0.557,,,777.0,-459.0,0.803,777.0,259.0,1860.0,-262.0,0.953,930.0,186.0
i: ゴーゴージャグラー3,835,15451,1204,1.026,359.3,141.8,2719.0,41.0,1.005,453.2,159.9,979.0,227.0,1.077,489.5,139.9,5750.0,1198.0,1.069,319.4,127.8,6003.0,-262.0,0.985,353.1,150.1
i: ゴーゴージャグラー3,836,5801,-2901,0.833,446.2,223.1,1374.0,-494.0,0.88,1374.0,229.0,612.0,-343.0,0.813,306.0,204.0,1821.0,-1105.0,0.798,364.2,227.6,1994.0,-959.0,0.84,398.8,221.6
i: ゴーゴージャグラー3,837,9162,-1081,0.961,315.9,152.7,1178.0,-1081.0,0.694,589.0,392.7,911.0,29.0,1.011,455.5,151.8,1585.0,-901.0,0.811,792.5,264.2,5488.0,872.0,1.053,238.6,122.0
i: ゴーゴージャグラー3,838,13802,529,1.013,353.9,146.8,4884.0,366.0,1.025,287.3,135.7,686.0,-52.0,0.975,686.0,171.5,2565.0,-913.0,0.881,427.5,197.3,5667.0,1128.0,1.066,377.8,138.2
i: ゴーゴージャグラー3,839,4501,-2826,0.791,346.2,225.0,1637.0,-866.0,0.824,327.4,204.6,125.0,-192.0,0.488,,,1576.0,-820.0,0.827,315.2,197.0,1163.0,-948.0,0.728,387.7,290.8
i: ゴーゴージャグラー3,840,10455,401,1.013,435.6,149.4,3424.0,105.0,1.01,380.4,142.7,222.0,-250.0,0.625,,,2848.0,52.0,1.006,356.0,142.4,3961.0,494.0,1.042,565.9,152.3
i: ゴーゴージャグラー3,841,9240,953,1.034,462.0,149.0,709.0,-913.0,0.571,709.0,709.0,1630.0,1453.0,1.297,407.5,95.9,3716.0,-343.0,0.969,464.5,177.0,3185.0,756.0,1.079,455.0,138.5
i: ゴーゴージャグラー3,842,9239,-2413,0.913,385.0,177.7,1315.0,-552.0,0.86,657.5,219.2,1316.0,-506.0,0.872,329.0,188.0,3239.0,-756.0,0.922,404.9,179.9,3369.0,-599.0,0.941,336.9,160.4
i: ゴーゴージャグラー3,843,11720,-822,0.977,316.8,152.2,4440.0,-1547.0,0.884,341.5,185.0,35.0,-42.0,0.6,,,2834.0,-41.0,0.995,404.9,157.4,4411.0,808.0,1.061,259.5,126.0
i: ゴーゴージャグラー3,844,8302,1558,1.063,286.3,127.7,3755.0,1058.0,1.094,187.8,107.3,1573.0,849.0,1.18,262.2,104.9,1782.0,-471.0,0.912,1782.0,222.8,1192.0,122.0,1.034,596.0,170.3
i: ゴーゴージャグラー3,845,9011,1663,1.062,375.5,136.5,1356.0,610.0,1.15,1356.0,135.6,22.0,-46.0,0.303,,,1167.0,-506.0,0.855,,291.8,6466.0,1605.0,1.083,281.1,124.3
i: ゴーゴージャグラー3,846,13410,1604,1.04,383.1,142.7,3999.0,134.0,1.011,499.9,153.8,12.0,-12.0,0.667,,,4597.0,145.0,1.011,459.7,164.2,4802.0,1337.0,1.093,282.5,120.0
i: ゴーゴージャグラー3,847,9386,-1506,0.947,391.1,167.6,4620.0,-424.0,0.969,420.0,159.3,1460.0,424.0,1.097,292.0,112.3,1256.0,-471.0,0.875,628.0,251.2,2050.0,-1035.0,0.832,341.7,227.8
i: ゴーゴージャグラー3,848,15292,-186,0.996,402.4,152.9,2012.0,-1012.0,0.832,503.0,223.6,2732.0,506.0,1.062,303.6,118.8,6223.0,198.0,1.011,366.1,148.2,4325.0,122.0,1.009,540.6,166.3
total,,997268,-56911,0.981,388.2,158.7,328757.0,-26832.0,0.973,380.5,160.2,123960.0,-9367.0,0.975,406.4,162.3,275871.0,-13604.0,0.984,409.9,160.2,268680.0,-7108.0,0.991,369.6,153.9
